rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ulrich Biesinger,Unknown,223,121,0,20.070,N/A,Biesinger,-,0,0,FC Augsburg,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/ulrich-biesinger/profil/spieler/102166,https://img.a.transfermarkt.technology/portrait/small/102166-1519979102.jpg?lm=1,N/A,06.08.1933,Augsburg,---
2,Georg Platzer,Unknown,204,87,0,18.360,N/A,Platzer,Unknown,0,0,FC Augsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/georg-platzer/profil/spieler/1089835,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.07.1923,Unknown,---
3,Ludwig Schuller,Unknown,139,71,0,12.510,N/A,Schuller,Unknown,0,0,FC Augsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/ludwig-schuller/profil/spieler/1095435,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.12.1923,Unknown,---
4,Christian Radlmaier,Unknown,117,62,0,9.856,N/A,Radlmaier,Unknown,3,0,FC Augsburg,Attack,"1,85 m",Germany,de,https://www.transfermarkt.us/christian-radlmaier/profil/spieler/100099,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1967,Unknown,---
5,Hans Jörg,Unknown,207,58,1,17.427,N/A,Jörg,Unknown,12,0,FC Augsburg,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/hans-jorg/profil/spieler/95503,https://img.a.transfermarkt.technology/portrait/small/95503-1599467029.jpg?lm=1,N/A,04.11.1950,Unknown,Retired
6,Michael Thurk,Unknown,114,56,18,9.090,N/A,Thurk,-,27,0,FC Augsburg,Attack - Centre-Forward,"1,78 m",Germany,de,https://www.transfermarkt.us/michael-thurk/profil/spieler/1077,https://img.a.transfermarkt.technology/portrait/small/1077-1599466953.jpg?lm=1,N/A,28.05.1976,Frankfurt am Main,Retired
7,Ludwig Schlump,Unknown,182,46,0,16.372,N/A,Schlump,-,0,2,FC Augsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/ludwig-schlump/profil/spieler/1026600,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.06.1928,Augsburg,Retired
8,Georg Beichle,Unknown,114,43,0,9.944,N/A,Beichle,-,11,0,FC Augsburg,Attack - Right Winger,Unknown,Germany,de,https://www.transfermarkt.us/georg-beichle/profil/spieler/102761,https://img.a.transfermarkt.technology/portrait/small/102761-1599467127.jpg?lm=1,N/A,16.09.1948,Unknown,Retired
9,Helmut Haller,Unknown,157,40,0,13.112,N/A,Haller,-,6,0,FC Augsburg,Attack - Second Striker,,Germany,de,https://www.transfermarkt.us/helmut-haller/profil/spieler/72380,https://img.a.transfermarkt.technology/portrait/small/72380-1519919984.jpg?lm=1,N/A,21.07.1939,Augsburg,---
10,Gerhard Müller,Unknown,182,40,0,16.380,N/A,Müller,Unknown,0,0,FC Augsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/gerhard-muller/profil/spieler/1065691,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.01.1928,Unknown,---
11,Alfred Finnbogason,Alfreð Finnbogason,122,39,14,7.650,N/A,Finnbogason,11,9,1,FC Augsburg,Attack - Centre-Forward,"1,84 m",Iceland,is,https://www.transfermarkt.us/alfred-finnbogason/profil/spieler/90024,https://img.a.transfermarkt.technology/portrait/small/90024-1658601093.jpg?lm=1,N/A,01.02.1989,Reykjavík,Retired
12,Tobias Werner,Unknown,208,38,38,14.568,N/A,Werner,Unknown,37,0,FC Augsburg,Attack - Left Winger,"1,74 m",Germany,de,https://www.transfermarkt.us/tobias-werner/profil/spieler/26878,https://img.a.transfermarkt.technology/portrait/small/26878-1501150853.jpg?lm=1,N/A,19.07.1985,Gera,Retired
13,André Hahn,Unknown,171,36,31,12.110,N/A,Hahn,8,35,0,FC Augsburg,Attack - Right Winger,"1,85 m",Germany,de,https://www.transfermarkt.us/andre-hahn/profil/spieler/42783,https://img.a.transfermarkt.technology/portrait/small/42783-1658600603.jpg?lm=1,N/A,13.08.1990,Otterndorf,KSV Urberach
14,Mikheil Sajaia,მიხეილ საჯაია,96,34,0,5.891,N/A,Sajaia,-,8,1,FC Augsburg,Attack - Centre-Forward,,Georgia,ge,https://www.transfermarkt.us/mikheil-sajaia/profil/spieler/1029,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.12.1976,Sokhumi,Retired
15,Christian Okpala,Unknown,67,34,0,4.715,N/A,Okpala,-,7,0,FC Augsburg,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/christian-okpala/profil/spieler/4297,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.11.1976,Enugu,Retired
16,Willi Hoffmann,Unknown,97,32,1,8.379,N/A,Hoffmann,Unknown,23,0,FC Augsburg,Attack - Left Winger,Unknown,Germany,de,https://www.transfermarkt.us/willi-hoffmann/profil/spieler/95499,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.03.1948,Göppingen,Retired
17,Gert Fröhlich,Unknown,56,32,0,5.040,N/A,Fröhlich,Unknown,0,0,FC Augsburg,Midfield - Attacking Midfield,Unknown,Germany,de,https://www.transfermarkt.us/gert-frohlich/profil/spieler/119893,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.10.1940,Bietigheim,Retired
18,Michael Gregoritsch,Unknown,129,31,8,8.321,N/A,Gregoritsch,9,13,0,FC Augsburg,Attack - Centre-Forward,"1,93 m",Austria,at,https://www.transfermarkt.us/michael-gregoritsch/profil/spieler/120205,https://img.a.transfermarkt.technology/portrait/small/120205-1658413549.jpg?lm=1,N/A,18.04.1994,Graz,SC Freiburg
19,Otmar Maurus,Unknown,101,31,0,9.090,N/A,Maurus,Unknown,0,0,FC Augsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/otmar-maurus/profil/spieler/533340,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.02.1940,Unknown,Retired
20,Vladimir Manislavić,Unknown,65,30,1,4.027,N/A,Manislavić,Unknown,11,0,FC Augsburg,Attack - Centre-Forward,,Serbia,rs,https://www.transfermarkt.us/vladimir-manislavic/profil/spieler/2269,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1974,Unknown,Retired
21,Florian Niederlechner,Unknown,107,30,21,6.934,N/A,Niederlechner,Unknown,4,0,FC Augsburg,Attack - Centre-Forward,"1,87 m",Germany,de,https://www.transfermarkt.us/florian-niederlechner/profil/spieler/152963,https://img.a.transfermarkt.technology/portrait/small/152963-1720778535.jpg?lm=1,N/A,24.10.1990,Ebersberg,Hertha BSC
22,Klaus Vöhringer,Unknown,105,29,0,8.633,N/A,Vöhringer,Unknown,7,0,FC Augsburg,Midfield - Central Midfield,Unknown,Germany,de,https://www.transfermarkt.us/klaus-vohringer/profil/spieler/118120,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.06.1951,Wittlingen,Retired
23,Raúl Bobadilla,Raúl Marcelo Bobadilla,105,29,10,6.987,N/A,Bobadilla,7,10,1,FC Augsburg,Attack - Centre-Forward,"1,80 m",Paraguay,py,https://www.transfermarkt.us/raul-bobadilla/profil/spieler/51356,https://img.a.transfermarkt.technology/portrait/small/51356-1722871541.jpg?lm=1,N/A,18.06.1987,Buenos Aires,FC Aarau
24,Joseph Babatunde,Unknown,66,27,0,5.170,N/A,Babatunde,-,0,1,FC Augsburg,Attack,Unknown,Nigeria,ng,https://www.transfermarkt.us/joseph-babatunde/profil/spieler/206081,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1969,Unknown,Retired
25,Mark Römer,Unknown,55,27,0,4.209,N/A,Römer,Unknown,4,0,FC Augsburg,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/mark-romer/profil/spieler/2436,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.06.1975,Esslingen,Retired
