rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Milan Baros,Milan Baroš,163,49,20,10.837,N/A,Baros,Unknown,30,2,FC Banik Ostrava,Attack - Centre-Forward,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/milan-baros/profil/spieler/3216,https://img.a.transfermarkt.technology/portrait/small/3216-1578925365.jpg?lm=1,N/A,28.10.1981,Valašské Meziříčí,FK Vigantice
2,Martin Lukes,Martin Lukeš,326,42,69,23.801,N/A,Lukes,Unknown,47,1,FC Banik Ostrava,Midfield - Attacking Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/martin-lukes/profil/spieler/21074,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.11.1978,Bruntál,Retired
3,Vaclav Sverkos,Václav Svěrkoš,125,41,13,8.309,N/A,Sverkos,Unknown,24,1,FC Banik Ostrava,Attack - Centre-Forward,,Czech Republic,cz,https://www.transfermarkt.us/vaclav-sverkos/profil/spieler/3528,https://img.a.transfermarkt.technology/portrait/small/3528-1683798868.jpg?lm=1,N/A,01.11.1983,Třinec,Retired
4,Ewerton,Unknown,61,29,13,4.801,N/A,Ewerton,#32,5,0,FC Banik Ostrava,Attack - Left Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/ewerton/profil/spieler/456893,https://img.a.transfermarkt.technology/portrait/small/456893-1666193845.png?lm=1,N/A,28.12.1996,Macapá,FC Banik Ostrava
5,Dyjan Azevedo,Dyjan Carlos de Azevedo,179,29,19,11.464,N/A,Azevedo,Unknown,24,0,FC Banik Ostrava,Attack - Left Winger,"1,68 m",Brazil,br,https://www.transfermarkt.us/dyjan-azevedo/profil/spieler/154335,https://img.a.transfermarkt.technology/portrait/small/s_154335_709_2010_1.jpg?lm=1,N/A,23.06.1991,Dois Córregos,1.FC Slovacko
6,David Buchta,Unknown,162,29,22,9.345,N/A,Buchta,#9,12,0,FC Banik Ostrava,Attack - Right Winger,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/david-buchta/profil/spieler/405856,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.06.1999,Krnov,FC Banik Ostrava
7,Tomas Micola,Tomáš Mičola,145,27,10,9.490,N/A,Micola,Unknown,30,0,FC Banik Ostrava,Midfield - Attacking Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-micola/profil/spieler/62789,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1988,Ostrava,FK Vigantice
8,Martin Cizek,Martin Čížek,200,27,30,16.191,N/A,Cizek,Unknown,14,1,FC Banik Ostrava,Midfield - Left Midfield,,Czech Republic,cz,https://www.transfermarkt.us/martin-cizek/profil/spieler/549,https://img.a.transfermarkt.technology/portrait/small/549-1601362494.jpg?lm=1,N/A,09.06.1974,Vítkov,Retired
9,Petr Samec,Unknown,94,27,5,5.368,N/A,Samec,Unknown,16,1,FC Banik Ostrava,Attack - Centre-Forward,Unknown,Czech Republic,cz,https://www.transfermarkt.us/petr-samec/profil/spieler/188772,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.02.1964,Frýdek-Místek,Retired
10,Mario Lička,Unknown,130,26,8,9.990,N/A,Lička,Unknown,7,1,FC Banik Ostrava,Midfield - Central Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/mario-licka/profil/spieler/22053,https://img.a.transfermarkt.technology/portrait/small/s_22053_3911_2012_1.jpg?lm=1,N/A,30.04.1982,Ostrava,Retired
11,Ladislav Almasi,Ladislav Almási,75,25,3,4.309,N/A,Almasi,#19,9,0,FC Banik Ostrava,Attack - Centre-Forward,"1,96 m",Slovakia,sk,https://www.transfermarkt.us/ladislav-almasi/profil/spieler/412638,https://img.a.transfermarkt.technology/portrait/small/412638-1617369787.png?lm=1,N/A,06.03.1999,Bratislava,Zalaegerszegi TE FC
12,Nemanja Kuzmanovic,Немања Кузмановић,151,25,17,9.569,N/A,Kuzmanovic,Unknown,21,0,FC Banik Ostrava,Midfield - Attacking Midfield,"1,80 m",Serbia,rs,https://www.transfermarkt.us/nemanja-kuzmanovic/profil/spieler/60472,https://img.a.transfermarkt.technology/portrait/small/60472-1589963786.jpg?lm=1,N/A,27.05.1989,Šabac,MFK Havirov
13,Lukas Magera,Lukáš Magera,129,25,9,7.482,N/A,Magera,Unknown,18,0,FC Banik Ostrava,Attack - Centre-Forward,"1,95 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-magera/profil/spieler/22055,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.01.1983,Opava,SK Slovan Podebrady
14,Rene Bolf,René Bolf,242,24,6,20.707,N/A,Bolf,Unknown,36,0,FC Banik Ostrava,Defender - Centre-Back,"1,88 m",Czech Republic,cz,https://www.transfermarkt.us/rene-bolf/profil/spieler/15314,https://img.a.transfermarkt.technology/portrait/small/s_15314_123_2013_10_10_1.jpg?lm=1,N/A,25.02.1974,Ostrava,FK Vigantice
15,Libor Zurek,Libor Žůrek,171,23,11,6.649,N/A,Zurek,Unknown,13,0,FC Banik Ostrava,Attack - Left Winger,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/libor-zurek/profil/spieler/21229,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.11.1979,Přerov,Slavoj Kojetin
16,Adam Varadi,Unknown,123,21,19,8.205,N/A,Varadi,Unknown,21,0,FC Banik Ostrava,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/adam-varadi/profil/spieler/21228,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.04.1985,Frýdek-Místek,MFK Havirov
17,Robert Zeher,Róbert Zeher,124,20,5,5.841,N/A,Zeher,Unknown,13,0,FC Banik Ostrava,Attack - Centre-Forward,"1,82 m",Slovakia,sk,https://www.transfermarkt.us/robert-zeher/profil/spieler/15241,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.02.1985,Košice,Mladost Kalsa
