rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lionel Messi,Lionel Andrés Messi Cuccitini,778,672,303,63.513,N/A,Messi,#10,81,1,FC Barcelona,Attack - Right Winger,"1,70 m",Argentina,ar,https://www.transfermarkt.us/lionel-messi/profil/spieler/28003,https://img.a.transfermarkt.technology/portrait/small/28003-1740766555.jpg?lm=1,N/A,24.06.1987,Rosario,Inter Miami CF
2,César Rodríguez,César Rodríguez Álvarez,344,226,2,30.990,N/A,Rodríguez,Unknown,0,0,FC Barcelona,Attack - Centre-Forward,Unknown,Spain,es,https://www.transfermarkt.us/cesar-rodriguez/profil/spieler/135771,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1920,Léon,---
3,Luis Suárez,Luis Alberto Suárez Díaz,283,195,113,23.847,N/A,Suárez,#9,59,0,FC Barcelona,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/luis-suarez/profil/spieler/44352,https://img.a.transfermarkt.technology/portrait/small/44352-1740775519.jpg?lm=1,N/A,24.01.1987,Salto,Inter Miami CF
4,László Kubala,Kubala Stécz László,254,193,9,22.822,N/A,Kubala,Unknown,0,2,FC Barcelona,Attack - Second Striker,,Hungary,hu,https://www.transfermarkt.us/laszlo-kubala/profil/spieler/156145,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.06.1927,Budapest,---
5,Samuel Eto'o,Samuel Eto'o Fils,199,130,34,16.354,N/A,Eto'o,Unknown,24,0,FC Barcelona,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/samuel-etoo/profil/spieler/4257,https://img.a.transfermarkt.technology/portrait/small/4257-1683640611.jpg?lm=1,N/A,10.03.1981,Douala,Retired
6,Rivaldo,Unknown,235,130,46,19.948,N/A,Rivaldo,Unknown,30,0,FC Barcelona,Midfield - Attacking Midfield,"1,86 m",Brazil,br,https://www.transfermarkt.us/rivaldo/profil/spieler/3372,https://img.a.transfermarkt.technology/portrait/small/3372-1588239928.jpg?lm=1,N/A,19.04.1972,Paulista,Retired
7,Mariano Martín,Mariano Martín Alonso,144,129,0,12.975,N/A,Martín,Unknown,0,1,FC Barcelona,Attack - Centre-Forward,Unknown,Spain,es,https://www.transfermarkt.us/mariano-martin/profil/spieler/135768,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.10.1919,"Dueñas, Léon",---
8,Carles Rexach,Carles Rexach i Cerdà,449,122,22,37.041,N/A,Rexach,Unknown,8,2,FC Barcelona,Attack - Right Winger,,Spain,es,https://www.transfermarkt.us/carles-rexach/profil/spieler/135104,https://img.a.transfermarkt.technology/portrait/small/135104-1474540068.jpg?lm=1,N/A,13.01.1947,Pedralbes,Retired
9,Patrick Kluivert,Patrick Stephan Kluivert,257,122,60,20.821,N/A,Kluivert,Unknown,40,2,FC Barcelona,Attack - Centre-Forward,"1,91 m",Netherlands,nl,https://www.transfermarkt.us/patrick-kluivert/profil/spieler/4385,https://img.a.transfermarkt.technology/portrait/small/4385-1495621412.jpg?lm=1,N/A,01.07.1976,Amsterdam,Retired
10,Josep Escolà,Josep Escolà Segalés,191,120,0,17.220,N/A,Escolà,Unknown,0,0,FC Barcelona,Attack - Centre-Forward,Unknown,Spain,es,https://www.transfermarkt.us/josep-escola/profil/spieler/171128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.08.1914,Barcelona,---
