rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Josef Hügi,Unknown,290,235,0,25.971,N/A,Hügi,Unknown,0,1,FC Basel 1893,Attack - Centre-Forward,"1,73 m",Switzerland,ch,https://www.transfermarkt.us/josef-hugi/profil/spieler/215431,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.01.1930,Basel,---
2,Marco Streller,Unknown,325,144,100,25.263,N/A,Streller,Unknown,49,0,FC Basel 1893,Attack - Centre-Forward,"1,96 m",Switzerland,ch,https://www.transfermarkt.us/marco-streller/profil/spieler/4879,https://img.a.transfermarkt.technology/portrait/small/s_4879_26_2013_10_02_1.jpg?lm=1,N/A,18.06.1981,Basel,Retired
3,Christian Giménez,Christian Eduardo Giménez,165,115,13,12.646,N/A,Giménez,Unknown,10,1,FC Basel 1893,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/christian-gimenez/profil/spieler/2898,https://img.a.transfermarkt.technology/portrait/small/2898-1706794202.jpg?lm=1,N/A,13.11.1974,Buenos Aires,Retired
4,Erni Maissen,Unknown,339,114,0,27.751,N/A,Maissen,Unknown,20,0,FC Basel 1893,Midfield - Attacking Midfield,"1,70 m",Switzerland,ch,https://www.transfermarkt.us/erni-maissen/profil/spieler/156235,https://img.a.transfermarkt.technology/portrait/small/156235-1614355016.jpg?lm=1,N/A,01.01.1958,Reinach,Retired
5,Karl Odermatt,Unknown,358,109,2,31.913,N/A,Odermatt,Unknown,17,0,FC Basel 1893,Midfield - Attacking Midfield,"1,82 m",Switzerland,ch,https://www.transfermarkt.us/karl-odermatt/profil/spieler/236180,https://img.a.transfermarkt.technology/portrait/small/236180-1588574918.jpg?lm=1,N/A,17.12.1942,Rickenbach LU,Retired
6,Alex Frei,Alexander Frei,167,108,48,12.696,N/A,Frei,Unknown,24,0,FC Basel 1893,Attack - Centre-Forward,"1,80 m",Switzerland,ch,https://www.transfermarkt.us/alex-frei/profil/spieler/4977,https://img.a.transfermarkt.technology/portrait/small/4977-1707752772.jpg?lm=1,N/A,15.07.1979,Basel,Retired
7,Valentin Stocker,Unknown,416,101,129,29.434,N/A,Stocker,Unknown,70,2,FC Basel 1893,Attack - Left Winger,"1,79 m",Switzerland,ch,https://www.transfermarkt.us/valentin-stocker/profil/spieler/45178,https://img.a.transfermarkt.technology/portrait/small/45178-1471012451.jpg?lm=1,N/A,12.04.1989,Kriens,Retired
8,Ottmar Hitzfeld,Unknown,128,94,0,11.090,N/A,Hitzfeld,Unknown,7,0,FC Basel 1893,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/ottmar-hitzfeld/profil/spieler/97129,https://img.a.transfermarkt.technology/portrait/small/97129-1444741041.jpg?lm=1,N/A,12.01.1949,Lörrach,Retired
9,Walter Balmer,Unknown,205,88,0,17.837,N/A,Balmer,Unknown,2,0,FC Basel 1893,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/walter-balmer/profil/spieler/298626,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.03.1948,Thun,---
10,Scott Chipperfield,Scott Kenneth Chipperfield,384,85,59,28.135,N/A,Chipperfield,Unknown,45,3,FC Basel 1893,Midfield - Left Midfield,"1,80 m",Australia,au,https://www.transfermarkt.us/scott-chipperfield/profil/spieler/2894,https://img.a.transfermarkt.technology/portrait/small/s_2894_26_2010_1.jpg?lm=1,N/A,30.12.1975,Wollongong,Retired
11,Matías Delgado,Matías Emilio Delgado,266,83,72,17.886,N/A,Delgado,Unknown,24,0,FC Basel 1893,Midfield - Attacking Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/matias-delgado/profil/spieler/8886,https://img.a.transfermarkt.technology/portrait/small/8886-1473161210.jpg?lm=1,N/A,15.12.1982,Rosario,Retired
12,Helmuth Hauser,Unknown,166,80,1,14.238,N/A,Hauser,Unknown,3,1,FC Basel 1893,Attack,Unknown,Germany,de,https://www.transfermarkt.us/helmuth-hauser/profil/spieler/304475,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.03.1941,Schopfheim,Retired
13,Benjamin Huggel,Unknown,401,79,32,33.119,N/A,Huggel,Unknown,66,1,FC Basel 1893,Midfield - Defensive Midfield,,Switzerland,ch,https://www.transfermarkt.us/benjamin-huggel/profil/spieler/2889,https://img.a.transfermarkt.technology/portrait/small/s_2889_26_2010_1.jpg?lm=1,N/A,07.07.1977,Münchenstein,Retired
14,Roberto Frigerio,Robert Rodolphe Frigerio,156,77,0,13.480,N/A,Frigerio,Unknown,0,0,FC Basel 1893,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/roberto-frigerio/profil/spieler/410916,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.11.1938,Le Havre,---
15,Fabian Frei,Unknown,543,66,73,40.266,N/A,Frei,#20,83,1,FC Basel 1893,Midfield - Defensive Midfield,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/fabian-frei/profil/spieler/52595,https://img.a.transfermarkt.technology/portrait/small/52595-1501159939.jpg?lm=1,N/A,08.01.1989,Frauenfeld,FC Winterthur
16,Arthur Cabral,Arthur Mendonça Cabral,106,65,17,8.096,N/A,Cabral,#9,19,0,FC Basel 1893,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/arthur-cabral/profil/spieler/390638,https://img.a.transfermarkt.technology/portrait/small/390638-1701333640.jpg?lm=1,N/A,25.04.1998,Campina Grande,SL Benfica
17,Hakan Yakin,Hakan Yakın,185,61,21,12.959,N/A,Yakin,Unknown,20,2,FC Basel 1893,Midfield - Attacking Midfield,"1,80 m",Switzerland,ch,https://www.transfermarkt.us/hakan-yakin/profil/spieler/1054,https://img.a.transfermarkt.technology/portrait/small/s_1054_2047_2012_11_30_1.jpg?lm=1,N/A,22.02.1977,Basel,Retired
18,Jörg Stohler,Jürgen Stohler,372,61,0,32.087,N/A,Stohler,Unknown,13,0,FC Basel 1893,Defender - Centre-Back,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/jorg-stohler/profil/spieler/246610,https://img.a.transfermarkt.technology/portrait/small/246610-1614355072.jpg?lm=1,N/A,27.08.1949,Pratteln,Retired
19,Otto Demarmels,Unknown,389,60,1,31.926,N/A,Demarmels,Unknown,22,0,FC Basel 1893,Defender,Unknown,Switzerland,ch,https://www.transfermarkt.us/otto-demarmels/profil/spieler/295813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.08.1948,St. Gallen,Retired
20,Detlev Lauscher,Hans Detlev Lauscher,167,60,0,14.165,N/A,Lauscher,Unknown,9,0,FC Basel 1893,Attack - Left Winger,Unknown,Germany,de,https://www.transfermarkt.us/detlev-lauscher/profil/spieler/96192,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.09.1952,Linnich,---
21,Roland Schönenberger,Unknown,138,59,0,10.384,N/A,Schönenberger,Unknown,7,0,FC Basel 1893,Midfield - Attacking Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/roland-schonenberger/profil/spieler/298761,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1955,Wangen bei Olten,Retired
22,Peter Marti,Unknown,177,59,0,12.258,N/A,Marti,Unknown,7,0,FC Basel 1893,Attack - Centre-Forward,"1,70 m",Switzerland,ch,https://www.transfermarkt.us/peter-marti/profil/spieler/156179,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.07.1952,Langenthal,---
23,Julio Hernán Rossi,Unknown,161,53,27,11.071,N/A,Rossi,Unknown,19,2,FC Basel 1893,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/julio-hernan-rossi/profil/spieler/2900,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.02.1977,Mar del Plata,Retired
24,Gottlieb Stäuble,Unknown,121,52,0,10.890,N/A,Stäuble,Unknown,0,0,FC Basel 1893,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/gottlieb-stauble/profil/spieler/308538,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.04.1929,Basel,---
25,Albian Ajeti,Albian Afrim Ajeti,129,51,29,7.668,N/A,Ajeti,#23,11,1,FC Basel 1893,Attack - Centre-Forward,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/albian-ajeti/profil/spieler/195906,https://img.a.transfermarkt.technology/portrait/small/195906-1705938829.png?lm=1,N/A,26.02.1997,Basel,FC Basel 1893
26,Mladen Petric,Mladen Petrić,112,50,17,8.553,N/A,Petric,Unknown,9,0,FC Basel 1893,Attack - Centre-Forward,,Croatia,hr,https://www.transfermarkt.us/mladen-petric/profil/spieler/2874,https://img.a.transfermarkt.technology/portrait/small/2874-1594303618.jpg?lm=1,N/A,01.01.1981,Dubrave,Retired
27,Walter Mundschin,Unknown,294,50,0,26.208,N/A,Mundschin,Unknown,15,0,FC Basel 1893,Defender - Sweeper,"1,90 m",Switzerland,ch,https://www.transfermarkt.us/walter-mundschin/profil/spieler/298625,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.10.1947,Sursee,Retired
