rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jhonder Cádiz,Jhonder Leonel Cádiz Fernández,80,28,5,5.021,N/A,Cádiz,#29,11,2,FC Famalicão,Attack - Centre-Forward,"1,90 m",Venezuela,ve,https://www.transfermarkt.us/jhonder-cadiz/profil/spieler/271256,https://img.a.transfermarkt.technology/portrait/small/271256-1618690320.jpg?lm=1,N/A,29.07.1995,"Caracas, Distrito Capital",Club León FC
2,Anderson Silva,Unknown,115,26,8,4.095,N/A,Anderson Silva,#33,11,1,FC Famalicão,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/anderson-silva/profil/spieler/522714,https://img.a.transfermarkt.technology/portrait/small/522714-1729088313.jpg?lm=1,N/A,21.11.1997,São Paulo,Pafos FC
3,Feliz,Unknown,153,24,35,11.946,N/A,Feliz,#30,28,3,FC Famalicão,Attack - Left Winger,"1,64 m",Portugal,pt,https://www.transfermarkt.us/feliz/profil/spieler/168672,https://img.a.transfermarkt.technology/portrait/small/168672-1541089551.jpg?lm=1,N/A,09.04.1989,Vizela,FC Felgueiras 1932
4,Simon Banza,Simon Bokoté Banza,33,17,6,2.681,N/A,Banza,#17,7,1,FC Famalicão,Attack - Centre-Forward,"1,89 m",DR Congo,unknown,https://www.transfermarkt.us/simon-banza/profil/spieler/344869,https://img.a.transfermarkt.technology/portrait/small/344869-1726586877.jpg?lm=1,N/A,13.08.1996,Creil,Trabzonspor
5,Iván Jaime,Iván Jaime Pajuelo,82,17,11,5.713,N/A,Jaime,#17,7,0,FC Famalicão,Midfield - Attacking Midfield,"1,80 m",Spain,es,https://www.transfermarkt.us/ivan-jaime/profil/spieler/610335,https://img.a.transfermarkt.technology/portrait/small/610335-1693590350.png?lm=1,N/A,26.09.2000,Málaga,Valencia CF
6,Fabrício,Unknown,36,16,7,3.143,N/A,Fabrício,Unknown,3,0,FC Famalicão,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/fabricio/profil/spieler/177395,https://img.a.transfermarkt.technology/portrait/small/177395-1563988287.jpg?lm=1,N/A,26.12.1984,Cachoeira,GD Alcochetense
7,Leandro Souza,Leandro Paulo Roberto Souza,39,16,4,2.319,N/A,Souza,Unknown,10,1,FC Famalicão,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/leandro-souza/profil/spieler/257139,https://img.a.transfermarkt.technology/portrait/small/257139-1508837614.jpg?lm=1,N/A,23.02.1987,Recife,FC Red Black Pfaffenthal
8,Mércio,Unknown,84,14,5,6.042,N/A,Mércio,Unknown,21,0,FC Famalicão,Midfield - Central Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/mercio/profil/spieler/25173,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.05.1980,Recife (PE),Retired
9,Toni Martínez,Antonio Martínez López,40,14,6,2.691,N/A,Martínez,#11,2,0,FC Famalicão,Attack - Centre-Forward,"1,87 m",Spain,es,https://www.transfermarkt.us/toni-martinez/profil/spieler/302371,https://img.a.transfermarkt.technology/portrait/small/302371-1606396665.png?lm=1,N/A,30.06.1997,Barrio del Progreso,Deportivo Alavés
10,Rui Costa,Rui Pedro da Silva Costa,19,12,3,1.250,N/A,Costa,Unknown,2,0,FC Famalicão,Attack - Centre-Forward,"1,79 m",Portugal,pt,https://www.transfermarkt.us/rui-costa/profil/spieler/451858,https://img.a.transfermarkt.technology/portrait/small/451858-1726409986.png?lm=1,N/A,20.02.1996,Vila Nova de Famalicão,SC Farense
