rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Pavel Dvorak,Pavel Dvořák,247,65,18,16.253,N/A,Dvorak,Unknown,28,0,FC Hradec Kralove,Attack - Centre-Forward,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-dvorak/profil/spieler/63872,https://img.a.transfermarkt.technology/portrait/small/63872-1618929139.jpg?lm=1,N/A,19.02.1989,Vysoké Mýto,SK Vysoke Myto
2,Adam Vlkanova,Adam Vlkanova,227,56,48,18.081,N/A,Vlkanova,#58,34,0,FC Hradec Kralove,Midfield - Attacking Midfield,"1,69 m",Czech Republic,cz,https://www.transfermarkt.us/adam-vlkanova/profil/spieler/281906,https://img.a.transfermarkt.technology/portrait/small/281906-1618929627.jpg?lm=1,N/A,04.09.1994,Hradec Králové,FC Hradec Kralove
3,Jan Pazler,Jan Pázler,92,53,2,6.042,N/A,Pazler,Unknown,9,0,FC Hradec Kralove,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/jan-pazler/profil/spieler/170679,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1991,Náchod,FK Olympia Radotin
4,Pavel Cerny,Pavel Černý,175,33,9,12.255,N/A,Cerny,Unknown,12,0,FC Hradec Kralove,Attack - Left Winger,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-cerny/profil/spieler/180459,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1962,Nové Město nad Metují,Retired
5,Daniel Vasulin,Daniel Vašulín,117,33,9,8.694,N/A,Vasulin,#51,19,0,FC Hradec Kralove,Attack - Centre-Forward,"1,95 m",Czech Republic,cz,https://www.transfermarkt.us/daniel-vasulin/profil/spieler/558473,https://img.a.transfermarkt.technology/portrait/small/558473-1618928994.jpg?lm=1,N/A,11.06.1998,Hlinsko,FC Viktoria Plzen
6,Pavel Cerny,Pavel Černý,167,26,9,12.225,N/A,Cerny,#24,31,0,FC Hradec Kralove,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-cerny/profil/spieler/63859,https://img.a.transfermarkt.technology/portrait/small/63859-1726289205.png?lm=1,N/A,28.01.1985,Hradec Králové,MFK Chrudim
7,Richard Jukl,Unknown,126,25,14,10.860,N/A,Jukl,Unknown,23,0,FC Hradec Kralove,Midfield - Central Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/richard-jukl/profil/spieler/100720,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.06.1968,Jimramov,Retired
8,David Vanecek,David Vaněček,60,23,5,3.887,N/A,Vanecek,Unknown,7,0,FC Hradec Kralove,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/david-vanecek/profil/spieler/141229,https://img.a.transfermarkt.technology/portrait/small/141229-1611948373.jpg?lm=1,N/A,09.03.1991,Planá,TJ Dynamo Horsovsky Tyn
9,Vaclav Pilar,Václav Pilař,108,21,8,8.063,N/A,Pilar,#6,13,1,FC Hradec Kralove,Midfield - Left Midfield,"1,71 m",Czech Republic,cz,https://www.transfermarkt.us/vaclav-pilar/profil/spieler/63955,https://img.a.transfermarkt.technology/portrait/small/63955-1593686118.jpg?lm=1,N/A,13.10.1988,Chlumec nad Cidlinou,FC Hradec Kralove
10,Erik Prekop,Unknown,88,19,6,5.004,N/A,Prekop,#33,12,1,FC Hradec Kralove,Attack - Centre-Forward,"1,85 m",Slovakia,sk,https://www.transfermarkt.us/erik-prekop/profil/spieler/446573,https://img.a.transfermarkt.technology/portrait/small/446573-1618929021.jpg?lm=1,N/A,08.10.1997,Unknown,FC Banik Ostrava
