rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrey Tikhonov,Тихонов Андрей Валерьевич,151,47,53,13.273,N/A,Tikhonov,Unknown,18,0,FC Khimki,Midfield - Attacking Midfield,"1,77 m",Russia,unknown,https://www.transfermarkt.us/andrey-tikhonov/profil/spieler/25044,https://img.a.transfermarkt.technology/portrait/small/25044-1603880968.jpg?lm=1,N/A,16.10.1970,"Kaliningrad, Moskau Oblast",Retired
2,Aleksandr Rudenko,Руденко Александр Александрович,101,24,10,6.210,N/A,Rudenko,#9,16,0,FC Khimki,Attack - Left Winger,"1,73 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-rudenko/profil/spieler/318468,https://img.a.transfermarkt.technology/portrait/small/318468-1657902651.png?lm=1,N/A,15.03.1999,"Darjevka, Rostov Oblast",FC Khimki
3,Aleksandr Antipenko,Антипенко Александр Валерьевич,112,21,7,6.943,N/A,Antipenko,Unknown,10,0,FC Khimki,Attack - Centre-Forward,"1,96 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-antipenko/profil/spieler/38753,https://img.a.transfermarkt.technology/portrait/small/38753-1555664198.png?lm=1,N/A,27.05.1982,Komsomoljsk-na-Amure,Retired
4,Ilya Kukharchuk,Кухарчук Илья Владимирович,100,20,14,6.000,N/A,Kukharchuk,#44,12,0,FC Khimki,Attack - Right Winger,"1,87 m",Russia,unknown,https://www.transfermarkt.us/ilya-kukharchuk/profil/spieler/104700,https://img.a.transfermarkt.technology/portrait/small/104700-1722315067.png?lm=1,N/A,02.08.1990,Kostroma,Rotor Volgograd
5,Arshak Koryan,Корян Аршак Рафаэльевич,112,19,21,6.958,N/A,Koryan,#77,9,0,FC Khimki,Attack - Right Winger,"1,69 m",Armenia,am,https://www.transfermarkt.us/arshak-koryan/profil/spieler/214252,https://img.a.transfermarkt.technology/portrait/small/214252-1720981404.png?lm=1,N/A,17.06.1995,"Sochi, Krasnodar Region",Rodina Moscow
6,Denis Kiselev,Киселёв Денис Юрьевич,50,19,0,3.928,N/A,Kiselev,Unknown,3,0,FC Khimki,Attack - Centre-Forward,"1,79 m",Russia,unknown,https://www.transfermarkt.us/denis-kiselev/profil/spieler/36013,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.06.1978,"Zelenograd, Moskau Region",Retired
7,Ilya Kuzmichev,Кузьмичев Илья Александрович,76,19,4,4.206,N/A,Kuzmichev,Unknown,6,0,FC Khimki,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/ilya-kuzmichev/profil/spieler/265114,https://img.a.transfermarkt.technology/portrait/small/265114-1567133467.png?lm=1,N/A,10.01.1988,St. Petersburg,Zorkiy Krasnogorsk
8,Reziuan Mirzov,Мирзов Резиуан Мухамедович,90,17,8,5.658,N/A,Mirzov,#11,20,0,FC Khimki,Attack - Left Winger,"1,82 m",Russia,unknown,https://www.transfermarkt.us/reziuan-mirzov/profil/spieler/232093,https://img.a.transfermarkt.technology/portrait/small/232093-1708593502.png?lm=1,N/A,22.06.1993,"Baksan, Kabardino-Balkar Republic",FC Khimki
9,Mikhail Petrusev,Петрусёв Михаил Витальевич,110,17,7,5.748,N/A,Petrusev,Unknown,11,0,FC Khimki,Attack - Left Winger,"1,75 m",Russia,unknown,https://www.transfermarkt.us/mikhail-petrusev/profil/spieler/197145,https://img.a.transfermarkt.technology/portrait/small/197145-1636036811.png?lm=1,N/A,21.11.1994,"Anastasino, Smolensk Region",Retired
10,Viktor Zemchenkov,Земченков Виктор Николаевич,60,17,3,4.547,N/A,Zemchenkov,Unknown,9,0,FC Khimki,Attack - Centre-Forward,"1,91 m",Russia,unknown,https://www.transfermarkt.us/viktor-zemchenkov/profil/spieler/52387,https://img.a.transfermarkt.technology/portrait/small/52387-1571159274.png?lm=1,N/A,15.09.1986,Moskau,Retired
