rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Robert Hosp,Robert Karl Hosp,306,158,1,26.953,N/A,Hosp,Unknown,1,0,FC Lausanne-Sport,Attack,"1,74 m",Switzerland,ch,https://www.transfermarkt.us/robert-hosp/profil/spieler/236145,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1939,Basel,---
2,Pierre Kerkhoffs,Unknown,187,107,0,15.901,N/A,Kerkhoffs,Unknown,0,0,FC Lausanne-Sport,Attack,"1,72 m",Netherlands,nl,https://www.transfermarkt.us/pierre-kerkhoffs/profil/spieler/152442,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1936,Geleen,---
3,Steen Thychosen,Unknown,147,81,0,13.002,N/A,Thychosen,Unknown,7,0,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Denmark,dk,https://www.transfermarkt.us/steen-thychosen/profil/spieler/97314,https://img.a.transfermarkt.technology/portrait/small/97314-1491838683.jpg?lm=1,N/A,22.09.1958,Vejle,Retired
4,Richard Dürr,Unknown,287,77,1,25.424,N/A,Dürr,Unknown,10,0,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/richard-durr/profil/spieler/236129,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.12.1938,St. Gallen,---
5,Georges Vuilleumier,Unknown,298,76,0,25.926,N/A,Vuilleumier,Unknown,9,1,FC Lausanne-Sport,Attack - Centre-Forward,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/georges-vuilleumier/profil/spieler/236213,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.09.1944,Tramelan,---
6,Kurt Armbruster,Unknown,240,67,1,20.951,N/A,Armbruster,Unknown,0,0,FC Lausanne-Sport,Midfield,"1,69 m",Switzerland,ch,https://www.transfermarkt.us/kurt-armbruster/profil/spieler/300830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.09.1934,Zürich,---
7,Charly Hertig,Charles Hertig,279,62,0,24.639,N/A,Hertig,Unknown,3,0,FC Lausanne-Sport,Defender - Centre-Back,Unknown,Switzerland,ch,https://www.transfermarkt.us/charly-hertig/profil/spieler/300854,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.10.1939,Genève,---
8,Norbert Eschmann,Unknown,160,61,1,14.215,N/A,Eschmann,Unknown,0,0,FC Lausanne-Sport,Midfield,"1,72 m",Switzerland,ch,https://www.transfermarkt.us/norbert-eschmann/profil/spieler/237693,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.09.1933,Besançon,---
9,Stéphane Chapuisat,Unknown,160,60,0,13.595,N/A,Chapuisat,Unknown,5,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/stephane-chapuisat/profil/spieler/3501,https://img.a.transfermarkt.technology/portrait/small/3501-1457434534.jpg?lm=1,N/A,28.06.1969,Lausanne,Retired
10,Robert Kok,Unknown,147,59,1,12.864,N/A,Kok,Unknown,6,0,FC Lausanne-Sport,Attack,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/robert-kok/profil/spieler/156224,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1957,Amsterdam,Retired
11,Pierre-André Schürmann,Unknown,224,53,0,19.678,N/A,Schürmann,Unknown,23,1,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-andre-schurmann/profil/spieler/508389,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1960,Monthey,Retired
12,Miodrag Glisovic,Unknown,73,51,0,6.569,N/A,Glisovic,Unknown,0,0,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/miodrag-glisovic/profil/spieler/656237,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1925,Unknown,---
13,Pierre-André Zappella,Unknown,140,50,0,11.504,N/A,Zappella,Unknown,4,1,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-andre-zappella/profil/spieler/625474,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.10.1947,La Chaux-de-Fonds,---
14,Jocelyn Roux,Unknown,119,48,7,7.109,N/A,Roux,Unknown,17,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,86 m",Switzerland,ch,https://www.transfermarkt.us/jocelyn-roux/profil/spieler/40809,https://img.a.transfermarkt.technology/portrait/small/40809-1480759079.jpg?lm=1,N/A,28.08.1986,Lausanne,Retired
