rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Peter Risi,Unknown,172,86,0,15.053,N/A,Risi,Unknown,3,0,FC Luzern,Attack - Centre-Forward,"1,74 m",Switzerland,ch,https://www.transfermarkt.us/peter-risi/profil/spieler/123259,https://img.a.transfermarkt.technology/portrait/small/123259-1571669036.png?lm=1,N/A,16.05.1950,Buochs,---
2,Jean-Michel Tchouga,Unknown,159,76,4,13.201,N/A,Tchouga,Unknown,10,0,FC Luzern,Attack - Centre-Forward,"1,74 m",Cameroon,cm,https://www.transfermarkt.us/jean-michel-tchouga/profil/spieler/18348,https://img.a.transfermarkt.technology/portrait/small/18348-1647618816.jpg?lm=1,N/A,20.12.1978,Bafoussam,Retired
3,Marco Schneuwly,Unknown,121,68,20,9.900,N/A,Schneuwly,Unknown,9,0,FC Luzern,Attack - Centre-Forward,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/marco-schneuwly/profil/spieler/21625,https://img.a.transfermarkt.technology/portrait/small/21625-1563701134.jpg?lm=1,N/A,27.03.1985,Bern,Retired
4,Peter Nadig,Unknown,201,59,0,15.535,N/A,Nadig,Unknown,4,0,FC Luzern,Midfield - Attacking Midfield,"1,90 m",Switzerland,ch,https://www.transfermarkt.us/peter-nadig/profil/spieler/214789,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.02.1965,Basel,Retired
5,Sigurdur Grétarsson,Sigurður Örn Grétarsson,142,52,0,12.304,N/A,Grétarsson,Unknown,14,1,FC Luzern,Attack - Centre-Forward,,Iceland,is,https://www.transfermarkt.us/sigurdur-gretarsson/profil/spieler/180159,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.05.1962,Unknown,Retired
6,Pascal Schürpf,Unknown,199,51,43,13.597,N/A,Schürpf,#11,27,1,FC Luzern,Midfield - Left Midfield,"1,90 m",Switzerland,ch,https://www.transfermarkt.us/pascal-schurpf/profil/spieler/65290,https://img.a.transfermarkt.technology/portrait/small/65290-1652900702.png?lm=1,N/A,15.07.1989,Basel,Grasshopper Club Zurich
7,John Eriksen,John Hartmann Eriksen,90,48,1,7.534,N/A,Eriksen,Unknown,2,0,FC Luzern,Attack - Centre-Forward,"1,80 m",Denmark,dk,https://www.transfermarkt.us/john-eriksen/profil/spieler/116133,https://img.a.transfermarkt.technology/portrait/small/s_116133_4023_2012_1.jpg?lm=1,N/A,20.11.1957,Svendborg,---
8,Ottmar Hitzfeld,Unknown,92,43,1,7.563,N/A,Hitzfeld,Unknown,4,0,FC Luzern,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/ottmar-hitzfeld/profil/spieler/97129,https://img.a.transfermarkt.technology/portrait/small/97129-1444741041.jpg?lm=1,N/A,12.01.1949,Lörrach,Retired
9,Darío Lezcano,Darío Lezcano Mendoza,117,41,15,8.468,N/A,Lezcano,#25,18,1,FC Luzern,Attack - Centre-Forward,"1,78 m",Paraguay,py,https://www.transfermarkt.us/dario-lezcano/profil/spieler/80031,https://img.a.transfermarkt.technology/portrait/small/80031-1532082578.jpg?lm=1,N/A,30.06.1990,Asunción,Atlético Tembetary
10,Thomas Wyss,Unknown,253,36,0,20.078,N/A,Wyss,Unknown,37,1,FC Luzern,Midfield - Central Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/thomas-wyss/profil/spieler/101911,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.08.1966,Luzern,Retired
