rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Aleksandr Maslov,Маслов Александр Владимирович,188,97,16,14.011,N/A,Maslov,Unknown,7,0,FC Rostov,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-maslov/profil/spieler/25084,https://img.a.transfermarkt.technology/portrait/small/25084-1555115407.jpg?lm=1,N/A,25.12.1969,Makhachkala,Retired
2,Sergey Andreev,Андреев Сергей Васильевич,158,64,2,12.204,N/A,Andreev,Unknown,4,0,FC Rostov,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/sergey-andreev/profil/spieler/131538,https://img.a.transfermarkt.technology/portrait/small/131538-1555967751.jpg?lm=1,N/A,16.05.1956,Lugansk,Retired
3,Mikhail Osinov,Осинов Михаил Святославович,259,58,26,22.092,N/A,Osinov,Unknown,44,0,FC Rostov,Midfield - Defensive Midfield,"1,80 m",Russia,unknown,https://www.transfermarkt.us/mikhail-osinov/profil/spieler/25088,https://img.a.transfermarkt.technology/portrait/small/25088-1637067974.png?lm=1,N/A,08.10.1975,"Arti, Sverdlovsk Region",Retired
4,Dmitriy Poloz,Полоз Дмитрий Дмитриевич,242,58,29,15.137,N/A,Poloz,#77,15,0,FC Rostov,Attack - Left Winger,"1,83 m",Russia,unknown,https://www.transfermarkt.us/dmitriy-poloz/profil/spieler/98539,https://img.a.transfermarkt.technology/portrait/small/98539-1696080431.png?lm=1,N/A,12.07.1991,Stavropol,Krasnoe Znamya Noginsk
5,Dmitriy Kirichenko,Кириченко Дмитрий Сергеевич,173,52,10,10.038,N/A,Kirichenko,Unknown,16,0,FC Rostov,Attack - Centre-Forward,"1,74 m",Russia,unknown,https://www.transfermarkt.us/dmitriy-kirichenko/profil/spieler/15583,https://img.a.transfermarkt.technology/portrait/small/15583-1466159482.jpg?lm=1,N/A,17.01.1977,"Novoaleksandrovsk, Stavropol Region",Retired
6,Sergey Okunev,Окунев Сергей Леонидович,127,46,0,9.345,N/A,Okunev,Unknown,2,1,FC Rostov,Attack - Centre-Forward,"1,85 m",Russia,unknown,https://www.transfermarkt.us/sergey-okunev/profil/spieler/803849,https://img.a.transfermarkt.technology/portrait/small/803849-1694433862.jpg?lm=1,N/A,28.12.1957,Unknown,Retired
7,Aleksandr Gitselov,Гицелов Александр Вадимович,114,43,0,9.208,N/A,Gitselov,Unknown,4,0,FC Rostov,Attack - Centre-Forward,"1,76 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-gitselov/profil/spieler/183592,https://img.a.transfermarkt.technology/portrait/small/183592-1676207755.jpeg?lm=1,N/A,24.11.1963,Rostov-na-Donu,Retired
8,Aleksandr Tikhonov,Тихонов Александр Николаевич,150,40,1,9.444,N/A,Tikhonov,Unknown,5,0,FC Rostov,Attack - Right Winger,"1,73 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-tikhonov/profil/spieler/493653,https://img.a.transfermarkt.technology/portrait/small/493653-1631611134.png?lm=1,N/A,21.11.1963,Unknown,Retired
9,Roman Adamov,Адамов Роман Станиславович,149,35,12,9.856,N/A,Adamov,Unknown,31,0,FC Rostov,Attack - Centre-Forward,"1,89 m",Russia,unknown,https://www.transfermarkt.us/roman-adamov/profil/spieler/24116,https://img.a.transfermarkt.technology/portrait/small/24116-1574355396.png?lm=1,N/A,21.06.1982,"Belaya Kalitva, Rostov Region",Retired
10,Nikolay Komlichenko,Комличенко Николай Николаевич,119,33,24,7.665,N/A,Komlichenko,#27,16,0,FC Rostov,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/nikolay-komlichenko/profil/spieler/300538,https://img.a.transfermarkt.technology/portrait/small/300538-1721923239.png?lm=1,N/A,29.06.1995,"Plastunovskaya, Krasnodar Region",FC Rostov
11,Sergey Balakhnin,Балахнин Сергей Николаевич,259,30,0,20.483,N/A,Balakhnin,Unknown,9,1,FC Rostov,Midfield,"1,84 m",Russia,unknown,https://www.transfermarkt.us/sergey-balakhnin/profil/spieler/493642,https://img.a.transfermarkt.technology/portrait/small/493642-1704647000.jpeg?lm=1,N/A,26.11.1959,"Belaya Kalitva, Rostov Oblast",Retired
12,Dmitriy Loskov,Лоськов Дмитрий Вячеславович,125,26,24,9.272,N/A,Loskov,Unknown,14,0,FC Rostov,Midfield - Attacking Midfield,"1,78 m",Russia,unknown,https://www.transfermarkt.us/dmitriy-loskov/profil/spieler/9646,https://img.a.transfermarkt.technology/portrait/small/9646-1511274801.jpg?lm=1,N/A,12.02.1974,Kurgan,Retired
13,Vitaliy Papadopulo,Пападопуло Виталий Владимирович,151,26,1,7.895,N/A,Papadopulo,Unknown,6,0,FC Rostov,Attack - Centre-Forward,"1,77 m",Russia,unknown,https://www.transfermarkt.us/vitaliy-papadopulo/profil/spieler/475771,https://img.a.transfermarkt.technology/portrait/small/475771-1678115798.jpg?lm=1,N/A,13.07.1963,"Krasnyi Sulin, Rostov Oblast",Retired
