rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jean-Paul Brigger,Unknown,400,133,0,34.967,N/A,Brigger,Unknown,25,1,FC Sion,Attack - Centre-Forward,,Switzerland,ch,https://www.transfermarkt.us/jean-paul-brigger/profil/spieler/153741,https://img.a.transfermarkt.technology/portrait/small/153741-1621278455.jpg?lm=1,N/A,14.12.1957,St. Niklaus VS,Retired
2,Dominique Cina,Unknown,256,116,0,19.744,N/A,Cina,Unknown,6,1,FC Sion,Attack - Centre-Forward,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/dominique-cina/profil/spieler/146174,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.02.1962,Salgesch VS,Retired
3,Georges Bregy,Unknown,234,101,0,20.787,N/A,Bregy,Unknown,9,0,FC Sion,Midfield - Central Midfield,,Switzerland,ch,https://www.transfermarkt.us/georges-bregy/profil/spieler/85512,https://img.a.transfermarkt.technology/portrait/small/85512-1528792879.jpg?lm=1,N/A,17.01.1958,Raron,Retired
4,Christophe Bonvin,Unknown,295,81,0,22.726,N/A,Bonvin,Unknown,8,0,FC Sion,Attack - Right Winger,"1,86 m",Switzerland,ch,https://www.transfermarkt.us/christophe-bonvin/profil/spieler/103730,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.04.1965,Sion,Retired
5,Fernand Luisier,Fernand Charles Luisier,421,78,0,36.322,N/A,Luisier,Unknown,29,1,FC Sion,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/fernand-luisier/profil/spieler/322037,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1948,Saillon,Retired
6,René Quentin,René-Pierre Quentin,230,71,1,19.598,N/A,Quentin,Unknown,0,0,FC Sion,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/rene-quentin/profil/spieler/156183,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.08.1943,Monthey,Retired
7,Jean-Michael Elsig,Unknown,174,50,0,15.223,N/A,Elsig,Unknown,1,1,FC Sion,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-michael-elsig/profil/spieler/689792,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.10.1947,Unknown,Retired
8,Moussa Konaté,Pape Moussa Konaté,116,50,20,8.995,N/A,Konaté,#14,27,0,FC Sion,Attack - Centre-Forward,"1,83 m",Senegal,sn,https://www.transfermarkt.us/moussa-konate/profil/spieler/192774,https://img.a.transfermarkt.technology/portrait/small/192774-1601743854.jpg?lm=1,N/A,03.04.1993,Mbour,Bourges Foot 18
9,Mirsad Baljic,Unknown,139,42,0,12.201,N/A,Baljic,Unknown,32,1,FC Sion,Defender - Left-Back,"1,85 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/mirsad-baljic/profil/spieler/102685,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.03.1962,Sarajevo,Retired
10,Vilmos Vanczák,Unknown,296,41,13,25.631,N/A,Vanczák,Unknown,75,1,FC Sion,Defender - Centre-Back,"1,88 m",Hungary,hu,https://www.transfermarkt.us/vilmos-vanczak/profil/spieler/22709,https://img.a.transfermarkt.technology/portrait/small/22709-1501445330.jpg?lm=1,N/A,20.06.1983,Miskolc,Retired
11,Roger Vergères,Unknown,131,39,0,7.312,N/A,Vergères,Unknown,0,0,FC Sion,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/roger-vergeres/profil/spieler/642709,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.01.1952,Sion,Retired
12,Álvaro Saborío,Álvaro Alberto Saborío Chacón,102,39,7,6.018,N/A,Saborío,Unknown,3,0,FC Sion,Attack - Centre-Forward,"1,86 m",Costa Rica,cr,https://www.transfermarkt.us/alvaro-saborio/profil/spieler/35378,https://img.a.transfermarkt.technology/portrait/small/35378-1719000397.jpg?lm=1,N/A,25.03.1982,Quesada,Retired
13,Assis,Unknown,126,36,0,9.924,N/A,Assis,Unknown,5,0,FC Sion,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/assis/profil/spieler/155735,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1971,Porto Alegre,Retired
14,Goran Obradovic,Гopaн Oбpaдoвић,228,35,36,17.425,N/A,Obradovic,Unknown,35,1,FC Sion,Midfield - Attacking Midfield,"1,85 m",Serbia,rs,https://www.transfermarkt.us/goran-obradovic/profil/spieler/4825,https://img.a.transfermarkt.technology/portrait/small/s_4825_321_2010_3.jpg?lm=1,N/A,01.03.1976,Arandjelovac,Retired
15,Ahmed Ouattara,Unknown,66,35,0,5.124,N/A,Ouattara,Unknown,4,0,FC Sion,Attack - Centre-Forward,"1,82 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/ahmed-ouattara/profil/spieler/253992,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.12.1969,Abidjan,Retired
16,Franco Cucinotta,Unknown,112,34,0,9.543,N/A,Cucinotta,Unknown,6,1,FC Sion,Attack - Centre-Forward,"1,71 m",Italy,it,https://www.transfermarkt.us/franco-cucinotta/profil/spieler/169178,https://img.a.transfermarkt.technology/portrait/small/169178-1571669094.png?lm=1,N/A,22.06.1952,Novara di Sicilia,Retired
17,Alain Balet,Unknown,427,34,0,38.058,N/A,Balet,Unknown,44,2,FC Sion,Defender - Right-Back,Unknown,Switzerland,ch,https://www.transfermarkt.us/alain-balet/profil/spieler/555314,https://img.a.transfermarkt.technology/portrait/small/555314-1614354948.jpg?lm=1,N/A,19.08.1956,Sion,Retired
18,Paulo Ramos Vogt,Paulo Cesar Ramos Vogt,37,33,0,2.968,N/A,Ramos Vogt,Unknown,6,0,FC Sion,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/paulo-ramos-vogt/profil/spieler/19728,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.02.1977,Guarapuava (PR),Retired
19,Pajtim Kasami,Unknown,107,32,16,8.626,N/A,Kasami,#22,17,0,FC Sion,Midfield - Central Midfield,"1,88 m",Switzerland,ch,https://www.transfermarkt.us/pajtim-kasami/profil/spieler/130108,https://img.a.transfermarkt.technology/portrait/small/130108-1710270013.png?lm=1,N/A,02.06.1992,Andelfingen,FC Sion
20,Giovanni Sio,Giovanni-Guy Yann Sio,100,32,15,6.900,N/A,Sio,Unknown,28,1,FC Sion,Attack - Centre-Forward,"1,80 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/giovanni-sio/profil/spieler/76293,https://img.a.transfermarkt.technology/portrait/small/76293-1613907051.png?lm=1,N/A,31.03.1989,Saint-Sébastien-sur-Loire,Without Club
21,Guy Mathez,Unknown,109,30,0,9.120,N/A,Mathez,Unknown,6,1,FC Sion,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/guy-mathez/profil/spieler/642710,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.04.1946,Boncourt,Retired
22,Anto Grgic,Anto Grgić,180,30,32,14.112,N/A,Grgic,#8,32,0,FC Sion,Midfield - Central Midfield,"1,89 m",Switzerland,ch,https://www.transfermarkt.us/anto-grgic/profil/spieler/192637,https://img.a.transfermarkt.technology/portrait/small/192637-1738930440.jpg?lm=1,N/A,28.11.1996,Schlieren,FC Lugano
23,Alexandre Rey,Unknown,92,29,0,5.167,N/A,Rey,Unknown,5,0,FC Sion,Attack - Centre-Forward,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/alexandre-rey/profil/spieler/4804,https://img.a.transfermarkt.technology/portrait/small/4804-1618842068.jpg?lm=1,N/A,22.09.1972,Sion,Retired
24,Álvaro Domínguez,Álvaro José Domínguez Cabezas,133,28,22,9.754,N/A,Domínguez,Unknown,15,0,FC Sion,Midfield - Attacking Midfield,"1,75 m",Colombia,co,https://www.transfermarkt.us/alvaro-dominguez/profil/spieler/52566,https://img.a.transfermarkt.technology/portrait/small/s_52566_9961_2012_12_19_1.jpg?lm=1,N/A,10.06.1981,El Cerrito,Retired
25,Pierre-Albert Tachet,Unknown,76,27,0,5.844,N/A,Tachet,Unknown,2,0,FC Sion,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-albert-tachet/profil/spieler/582731,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.07.1959,Nyon,Retired
26,Carlitos,Unknown,152,27,35,12.046,N/A,Carlitos,Unknown,24,0,FC Sion,Attack - Left Winger,,Portugal,pt,https://www.transfermarkt.us/carlitos/profil/spieler/17352,https://img.a.transfermarkt.technology/portrait/small/17352-1532792608.jpg?lm=1,N/A,06.09.1982,Lisboa,Retired
27,Aziz Bouderbala,عزيز بودربالة,103,27,0,8.005,N/A,Bouderbala,Unknown,5,1,FC Sion,Midfield - Attacking Midfield,"1,78 m",Morocco,ma,https://www.transfermarkt.us/aziz-bouderbala/profil/spieler/117201,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.12.1960,Casablanca,Retired
