rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jan Nezmar,Unknown,280,74,25,18.158,N/A,Nezmar,Unknown,27,1,FC Slovan Liberec,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jan-nezmar/profil/spieler/21091,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1977,Opava,Retired
2,Jiri Stajner,Jiří Štajner,169,65,29,14.427,N/A,Stajner,Unknown,21,0,FC Slovan Liberec,Attack - Second Striker,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/jiri-stajner/profil/spieler/1557,https://img.a.transfermarkt.technology/portrait/small/1557-1407748535.jpg?lm=1,N/A,27.05.1976,Benešov,Retired
3,Michael Rabusic,Michael Rabušic,248,55,11,12.683,N/A,Rabusic,#7,31,0,FC Slovan Liberec,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/michael-rabusic/profil/spieler/63965,https://img.a.transfermarkt.technology/portrait/small/63965-1706253938.png?lm=1,N/A,17.09.1989,Třebíč,FC Slovan Liberec
4,Josef Sural,Josef Šural,158,42,20,12.401,N/A,Sural,Unknown,31,0,FC Slovan Liberec,Attack - Centre-Forward,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/josef-sural/profil/spieler/69978,https://img.a.transfermarkt.technology/portrait/small/69978-1556517502.jpg?lm=1,N/A,30.05.1990,Hustopece,---
5,Leandro Lazzaro,Leandro Hernán Lázzaro Liuni,78,34,4,6.083,N/A,Lazzaro,Unknown,12,2,FC Slovan Liberec,Attack - Centre-Forward,"1,88 m",Argentina,ar,https://www.transfermarkt.us/leandro-lazzaro/profil/spieler/53131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.03.1974,Buenos Aires,Retired
6,Andrej Keric,Andrej Kerić,88,33,12,7.143,N/A,Keric,Unknown,15,1,FC Slovan Liberec,Attack - Centre-Forward,"1,74 m",Croatia,hr,https://www.transfermarkt.us/andrej-keric/profil/spieler/36831,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.02.1986,Vinkovci,NK Slavonac Komletinci
7,Jan Blazek,Jan Blažek,110,28,5,6.091,N/A,Blazek,Unknown,21,0,FC Slovan Liberec,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/jan-blazek/profil/spieler/35579,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.03.1988,Trutnov,SK Benatky nad Jizerou B
8,Petr Papousek,Petr Papoušek,247,28,40,16.246,N/A,Papousek,Unknown,22,0,FC Slovan Liberec,Midfield - Left Midfield,"1,74 m",Czech Republic,cz,https://www.transfermarkt.us/petr-papousek/profil/spieler/21255,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.05.1977,Čáslav,Retired
9,Josef Obajdin,Unknown,56,27,6,4.729,N/A,Obajdin,Unknown,8,0,FC Slovan Liberec,Attack - Centre-Forward,,Czech Republic,cz,https://www.transfermarkt.us/josef-obajdin/profil/spieler/37971,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.09.1970,Poděbrady,Retired
10,Roman Potocny,Roman Potočný,95,23,16,7.815,N/A,Potocny,#12,29,1,FC Slovan Liberec,Attack - Left Winger,"1,91 m",Czech Republic,cz,https://www.transfermarkt.us/roman-potocny/profil/spieler/179240,https://img.a.transfermarkt.technology/portrait/small/179240-1706470566.png?lm=1,N/A,25.04.1991,Roudnice nad Labem,SK Lisen
