rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Peter Osterhoff,Unknown,293,173,0,26.355,N/A,Osterhoff,Unknown,0,0,FC St. Pauli,Attack - Left Winger,Unknown,Germany,de,https://www.transfermarkt.us/peter-osterhoff/profil/spieler/148430,https://img.a.transfermarkt.technology/portrait/small/148430-1673386842.jpg?lm=1,N/A,25.08.1937,Hamburg,Retired
2,Horst Haecks,Unknown,267,164,0,24.060,N/A,Haecks,Unknown,0,0,FC St. Pauli,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/horst-haecks/profil/spieler/148421,https://img.a.transfermarkt.technology/portrait/small/148421-1739176704.png?lm=1,N/A,12.08.1936,Hamburg,---
3,Franz Gerber,Unknown,165,105,1,14.147,N/A,Gerber,Unknown,6,0,FC St. Pauli,Attack - Centre-Forward,"1,77 m",Germany,de,https://www.transfermarkt.us/franz-gerber/profil/spieler/95520,https://img.a.transfermarkt.technology/portrait/small/95520-1444739018.jpg?lm=1,N/A,27.11.1953,München,Retired
4,Rüdiger Wenzel,Unknown,213,91,1,17.664,N/A,Wenzel,-,26,2,FC St. Pauli,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/rudiger-wenzel/profil/spieler/99025,https://img.a.transfermarkt.technology/portrait/small/99025-1444739292.jpg?lm=1,N/A,03.06.1953,Lübeck,Retired
5,André Golke,Unknown,298,79,10,25.219,N/A,Golke,Unknown,23,0,FC St. Pauli,Midfield - Attacking Midfield,,Germany,de,https://www.transfermarkt.us/andre-golke/profil/spieler/17953,https://img.a.transfermarkt.technology/portrait/small/17953-1479803008.jpg?lm=1,N/A,15.08.1964,Hamburg,Retired
6,Alfred Boller,Unknown,130,78,1,11.790,N/A,Boller,Unknown,0,0,FC St. Pauli,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/alfred-boller/profil/spieler/852031,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.10.1922,Reichenbach,---
7,Rolf Bergeest,Unknown,225,66,0,20.280,N/A,Bergeest,Unknown,0,0,FC St. Pauli,Attack - Second Striker,Unknown,Germany,de,https://www.transfermarkt.us/rolf-bergeest/profil/spieler/148412,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.07.1938,Unknown,---
8,Hans-Jürgen Bargfrede,Unknown,265,57,0,20.729,N/A,Bargfrede,Unknown,18,0,FC St. Pauli,Midfield,,Germany,de,https://www.transfermarkt.us/hans-jurgen-bargfrede/profil/spieler/89857,https://img.a.transfermarkt.technology/portrait/small/89857-1491403545.jpg?lm=1,N/A,10.03.1959,Zeven,Retired
9,Horst Neumann,Unknown,219,54,1,15.940,N/A,Neumann,Unknown,11,0,FC St. Pauli,Attack - Centre-Forward,"1,79 m",Germany,de,https://www.transfermarkt.us/horst-neumann/profil/spieler/101694,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.1952,Hamburg,Retired
10,Dirk Zander,Unknown,181,52,6,12.389,N/A,Zander,Unknown,41,1,FC St. Pauli,Midfield - Left Midfield,,Germany,de,https://www.transfermarkt.us/dirk-zander/profil/spieler/83677,https://img.a.transfermarkt.technology/portrait/small/83677-1513593142.jpg?lm=1,N/A,13.05.1965,Unknown,Retired
