rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Wissam Ben Yedder,Unknown,174,71,21,12.344,N/A,Ben Yedder,#12,8,0,FC Toulouse,Attack - Centre-Forward,"1,70 m",France,fr,https://www.transfermarkt.us/wissam-ben-yedder/profil/spieler/146854,https://img.a.transfermarkt.technology/portrait/small/146854-1614089939.jpg?lm=1,N/A,12.08.1990,Sarcelles,Sepahan FC
2,Alberto Márcico,Alberto José Márcico,248,67,3,21.117,N/A,Márcico,Unknown,14,0,FC Toulouse,Attack - Second Striker,,Argentina,ar,https://www.transfermarkt.us/alberto-marcico/profil/spieler/378632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.05.1960,Corrientes,Retired
3,Yannick Stopyra,Unknown,172,59,0,14.670,N/A,Stopyra,Unknown,4,0,FC Toulouse,Attack - Centre-Forward,"1,80 m",France,fr,https://www.transfermarkt.us/yannick-stopyra/profil/spieler/117499,https://img.a.transfermarkt.technology/portrait/small/117499-1663875674.jpg?lm=1,N/A,09.01.1961,Troyes,Retired
4,Robert Pintenat,Unknown,100,57,0,8.708,N/A,Pintenat,Unknown,1,0,FC Toulouse,Attack - Centre-Forward,"1,78 m",France,fr,https://www.transfermarkt.us/robert-pintenat/profil/spieler/481956,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.05.1948,Paris,---
5,Francois Calderaro,Unknown,97,49,0,7.477,N/A,Calderaro,Unknown,16,0,FC Toulouse,Attack - Centre-Forward,"1,76 m",France,fr,https://www.transfermarkt.us/francois-calderaro/profil/spieler/257753,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1964,Reims,Retired
6,Gérald Passi,Unknown,163,47,0,13.609,N/A,Passi,Unknown,12,0,FC Toulouse,Midfield - Attacking Midfield,"1,73 m",France,fr,https://www.transfermarkt.us/gerald-passi/profil/spieler/108771,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.01.1964,Albi,Retired
7,André-Pierre Gignac,André-Pierre Christian Gignac,119,42,11,8.841,N/A,Gignac,#10,14,0,FC Toulouse,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/andre-pierre-gignac/profil/spieler/43907,https://img.a.transfermarkt.technology/portrait/small/43907-1714769320.jpeg?lm=1,N/A,05.12.1985,Martigues,Tigres UANL
8,Martin Braithwaite,Martin Christensen Braithwaite,149,40,15,11.645,N/A,Braithwaite,#22,8,0,FC Toulouse,Attack - Centre-Forward,"1,77 m",Denmark,dk,https://www.transfermarkt.us/martin-braithwaite/profil/spieler/95732,https://img.a.transfermarkt.technology/portrait/small/95732-1583334177.jpg?lm=1,N/A,05.06.1991,Esbjerg,Grêmio Foot-Ball Porto Alegrense
9,Rhys Healey,Rhys Evitt-Healey,77,39,7,4.766,N/A,Healey,#11,14,0,FC Toulouse,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/rhys-healey/profil/spieler/238185,https://img.a.transfermarkt.technology/portrait/small/238185-1560935893.jpg?lm=1,N/A,06.12.1994,Manchester,Huddersfield Town
10,Thijs Dallinga,Unknown,86,37,8,6.265,N/A,Dallinga,#24,10,0,FC Toulouse,Attack - Centre-Forward,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/thijs-dallinga/profil/spieler/538964,https://img.a.transfermarkt.technology/portrait/small/538964-1737495076.jpg?lm=1,N/A,03.08.2000,Groningen,Bologna FC 1909
