rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Leo van Veen,Unknown,427,169,62,37.739,N/A,van Veen,Unknown,3,1,FC Utrecht,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/leo-van-veen/profil/spieler/149036,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.06.1946,Utrecht,Retired
2,Dirk Kuyt,Dirk Kuijt,176,58,24,12.235,N/A,Kuyt,Unknown,11,0,FC Utrecht,Attack - Right Winger,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/dirk-kuyt/profil/spieler/4010,https://img.a.transfermarkt.technology/portrait/small/4010-1719542679.jpg?lm=1,N/A,22.07.1980,Katwijk,Retired
3,Sander van de Streek,Alexander Gerard van de Streek,212,57,23,15.857,N/A,van de Streek,#22,19,0,FC Utrecht,Midfield - Attacking Midfield,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/sander-van-de-streek/profil/spieler/190222,https://img.a.transfermarkt.technology/portrait/small/190222-1726737081.jpg?lm=1,N/A,24.03.1993,Barneveld,Antalyaspor
4,Sébastien Haller,Sébastien Romain Teddy Haller,110,54,16,9.358,N/A,Haller,#91,9,1,FC Utrecht,Attack - Centre-Forward,"1,90 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/sebastien-haller/profil/spieler/181375,https://img.a.transfermarkt.technology/portrait/small/181375-1709560699.jpg?lm=1,N/A,22.06.1994,Ris-Orangis,FC Utrecht
5,Willy Carbo,Unknown,124,54,24,9.755,N/A,Carbo,Unknown,8,0,FC Utrecht,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/willy-carbo/profil/spieler/243437,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.08.1959,Utrecht,Retired
6,Michael Mols,Michael Alexander Mols,109,50,14,8.990,N/A,Mols,Unknown,1,0,FC Utrecht,Attack - Centre-Forward,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/michael-mols/profil/spieler/3512,https://img.a.transfermarkt.technology/portrait/small/3512-1584372208.jpg?lm=1,N/A,17.12.1970,Amsterdam,Retired
7,Ton de Kruijk,Antoon de Kruijk,255,47,15,18.786,N/A,de Kruijk,Unknown,8,0,FC Utrecht,Midfield,"1,82 m",Netherlands,nl,https://www.transfermarkt.us/ton-de-kruijk/profil/spieler/243441,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.11.1955,Utrecht,Retired
8,Igor Gluscevic,Игор Глушчевић,95,46,2,6.941,N/A,Gluscevic,Unknown,5,0,FC Utrecht,Attack - Centre-Forward,"1,90 m",Montenegro,me,https://www.transfermarkt.us/igor-gluscevic/profil/spieler/4482,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.03.1974,Budva,Retired
9,Stefaan Tanghe,Unknown,185,46,17,15.647,N/A,Tanghe,Unknown,21,0,FC Utrecht,Midfield - Attacking Midfield,"1,75 m",Belgium,be,https://www.transfermarkt.us/stefaan-tanghe/profil/spieler/4476,https://img.a.transfermarkt.technology/portrait/small/4476-1537869423.jpg?lm=1,N/A,15.01.1972,Kortrijk,Retired
10,Jacob Mulenga,Unknown,113,45,19,8.850,N/A,Mulenga,Unknown,4,0,FC Utrecht,Attack - Centre-Forward,"1,85 m",Zambia,zm,https://www.transfermarkt.us/jacob-mulenga/profil/spieler/25118,https://img.a.transfermarkt.technology/portrait/small/s_25118_200_2012_2.jpg?lm=1,N/A,12.02.1984,Kitwe,Retired
11,Gyrano Kerk,Gyrano Emilio Kerk,175,42,37,13.881,N/A,Kerk,#7,19,0,FC Utrecht,Attack - Right Winger,"1,83 m",Suriname,sr,https://www.transfermarkt.us/gyrano-kerk/profil/spieler/268112,https://img.a.transfermarkt.technology/portrait/small/268112-1658227780.png?lm=1,N/A,02.12.1995,Amsterdam,Royal Antwerp FC
12,Wlodzimierz Smolarek,Włodzimierz Wojciech Smolarek,181,40,3,13.768,N/A,Smolarek,Unknown,11,0,FC Utrecht,Attack - Centre-Forward,,Poland,pl,https://www.transfermarkt.us/wlodzimierz-smolarek/profil/spieler/97912,https://img.a.transfermarkt.technology/portrait/small/97912-1479737184.jpg?lm=1,N/A,16.07.1957,Aleksandrów Łódzki,---
13,Joop van Maurik,Johannes van Maurik,159,39,10,13.608,N/A,van Maurik,Unknown,10,0,FC Utrecht,Attack - Centre-Forward,"1,95 m",Netherlands,nl,https://www.transfermarkt.us/joop-van-maurik/profil/spieler/323279,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.08.1945,Utrecht,Retired
14,Jan Groenendijk,Unknown,74,36,8,5.990,N/A,Groenendijk,Unknown,0,0,FC Utrecht,Attack - Centre-Forward,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/jan-groenendijk/profil/spieler/349726,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1946,Heinenoord,---
15,Erik Willaarts,Unknown,59,36,1,4.428,N/A,Willaarts,Unknown,2,0,FC Utrecht,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/erik-willaarts/profil/spieler/97271,https://img.a.transfermarkt.technology/portrait/small/s_97271_123_2012_1.jpg?lm=1,N/A,25.08.1961,Woudenberg,Retired
16,Ricky van Wolfswinkel,Unknown,80,35,7,6.173,N/A,van Wolfswinkel,#9,6,0,FC Utrecht,Attack - Centre-Forward,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/ricky-van-wolfswinkel/profil/spieler/41355,https://img.a.transfermarkt.technology/portrait/small/41355-1686056671.jpg?lm=1,N/A,27.01.1989,Woudenberg,Twente Enschede FC
17,Dave van den Bergh,Unknown,207,34,32,16.504,N/A,van den Bergh,Unknown,20,1,FC Utrecht,Midfield - Left Midfield,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/dave-van-den-bergh/profil/spieler/4479,https://img.a.transfermarkt.technology/portrait/small/4479-1599841072.jpg?lm=1,N/A,07.05.1976,Amsterdam,Retired
18,Anastasios Douvikas,Αναστάσιος Δουβίκας,77,32,7,5.439,N/A,Douvikas,#11,3,0,FC Utrecht,Attack - Centre-Forward,"1,86 m",Greece,gr,https://www.transfermarkt.us/anastasios-douvikas/profil/spieler/523318,https://img.a.transfermarkt.technology/portrait/small/523318-1682331342.jpg?lm=1,N/A,02.08.1999,Athens,Como 1907
19,Ben Rietveld,Unknown,122,32,7,7.763,N/A,Rietveld,Unknown,7,0,FC Utrecht,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/ben-rietveld/profil/spieler/243490,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.07.1958,Utrecht,Retired
20,Bart Ramselaar,Unknown,149,31,16,10.200,N/A,Ramselaar,#10,5,0,FC Utrecht,Midfield - Attacking Midfield,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/bart-ramselaar/profil/spieler/326701,https://img.a.transfermarkt.technology/portrait/small/326701-1714769490.jpg?lm=1,N/A,29.06.1996,Amersfoort,Lion City Sailors
21,John Steen Olsen,Unknown,151,30,19,13.319,N/A,Olsen,Unknown,1,0,FC Utrecht,Attack,Unknown,Denmark,dk,https://www.transfermarkt.us/john-steen-olsen/profil/spieler/241538,https://img.a.transfermarkt.technology/portrait/small/s_241538_123_2012_1.jpg?lm=1,N/A,04.01.1943,København,Retired
22,Jens Toornstra,Unknown,154,30,26,11.432,N/A,Toornstra,#18,17,0,FC Utrecht,Midfield - Attacking Midfield,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/jens-toornstra/profil/spieler/134999,https://img.a.transfermarkt.technology/portrait/small/134999-1723461038.jpg?lm=1,N/A,04.04.1989,Alphen aan den Rijn,FC Utrecht
23,Robin Nelisse,Unknown,90,30,8,6.683,N/A,Nelisse,Unknown,11,0,FC Utrecht,Attack - Centre-Forward,"1,87 m",Curacao,unknown,https://www.transfermarkt.us/robin-nelisse/profil/spieler/4556,https://img.a.transfermarkt.technology/portrait/small/s_4556_409_2010_1.jpg?lm=1,N/A,25.01.1978,Rotterdam,Retired
24,Jan van Staa,Unknown,192,28,29,13.648,N/A,van Staa,Unknown,1,0,FC Utrecht,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-van-staa/profil/spieler/243511,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1955,Utrecht,Retired
25,Karel Bonsink,Unknown,103,28,14,8.302,N/A,Bonsink,Unknown,0,0,FC Utrecht,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/karel-bonsink/profil/spieler/207636,https://img.a.transfermarkt.technology/portrait/small/207636-1677069415.jpg?lm=1,N/A,21.09.1950,Amsterdam,Retired
26,Marco Cabo,Unknown,271,28,19,22.491,N/A,Cabo,Unknown,2,0,FC Utrecht,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/marco-cabo/profil/spieler/243434,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.03.1948,Unknown,Retired
27,Cedric van der Gun,Unknown,114,28,10,8.577,N/A,van der Gun,Unknown,14,0,FC Utrecht,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/cedric-van-der-gun/profil/spieler/4676,https://img.a.transfermarkt.technology/portrait/small/s_4676_200_2012_2.jpg?lm=1,N/A,05.05.1979,Den Haag,Retired
28,Édouard Duplan,Unknown,121,27,17,9.880,N/A,Duplan,Unknown,11,0,FC Utrecht,Attack - Left Winger,"1,79 m",France,fr,https://www.transfermarkt.us/edouard-duplan/profil/spieler/57249,https://img.a.transfermarkt.technology/portrait/small/s_57249_200_2012_2.jpg?lm=1,N/A,13.05.1983,Athis-Mons,Retired
29,Simon Gustafson,Unknown,112,27,21,9.162,N/A,Gustafson,#14,15,1,FC Utrecht,Midfield - Central Midfield,"1,85 m",Sweden,se,https://www.transfermarkt.us/simon-gustafson/profil/spieler/255474,https://img.a.transfermarkt.technology/portrait/small/255474-1629451854.jpg?lm=1,N/A,11.01.1995,Mölndal,BK Häcken
30,Willem Janssen,Willem Marco Janssen,258,27,7,21.645,N/A,Janssen,Unknown,58,0,FC Utrecht,Defender - Centre-Back,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/willem-janssen/profil/spieler/19409,https://img.a.transfermarkt.technology/portrait/small/19409-1629451080.jpg?lm=1,N/A,04.07.1986,Nijmegen,Retired
31,Pieter Bijl,Unknown,139,26,0,12.162,N/A,Bijl,Unknown,13,1,FC Utrecht,Midfield - Central Midfield,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/pieter-bijl/profil/spieler/166713,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.10.1964,Espel,Retired
32,André Hulshorst,Unknown,174,24,40,13.918,N/A,Hulshorst,Unknown,0,1,FC Utrecht,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/andre-hulshorst/profil/spieler/327856,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.08.1946,Unknown,Retired
