rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Daniel Kolar,Daniel Kolář,316,82,36,24.534,N/A,Kolar,Unknown,35,0,FC Viktoria Plzen,Midfield - Attacking Midfield,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/daniel-kolar/profil/spieler/43246,https://img.a.transfermarkt.technology/portrait/small/43246-1464947651.jpg?lm=1,N/A,27.10.1985,Praha,Retired
2,Marek Bakos,Marek Bakoš,245,77,21,14.316,N/A,Bakos,Unknown,39,1,FC Viktoria Plzen,Attack - Centre-Forward,"1,84 m",Slovakia,sk,https://www.transfermarkt.us/marek-bakos/profil/spieler/74935,https://img.a.transfermarkt.technology/portrait/small/74935-1674741409.jpg?lm=1,N/A,15.04.1983,Nová Baňa,Retired
3,Tomas Chory,Tomáš Chorý,226,63,28,12.141,N/A,Chory,#25,49,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,99 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-chory/profil/spieler/198614,https://img.a.transfermarkt.technology/portrait/small/198614-1515072144.jpg?lm=1,N/A,26.01.1995,Olomouc,SK Slavia Prague
4,Michael Krmencik,Michael Krmenčík,124,62,16,8.420,N/A,Krmencik,#21,18,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,91 m",Czech Republic,cz,https://www.transfermarkt.us/michael-krmencik/profil/spieler/178469,https://img.a.transfermarkt.technology/portrait/small/178469-1601031072.jpg?lm=1,N/A,15.03.1993,Kraslice,1.FC Slovacko
5,Jan Kopic,Jan Kopic,330,54,55,22.849,N/A,Kopic,#10,37,1,FC Viktoria Plzen,Midfield - Right Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kopic/profil/spieler/119103,https://img.a.transfermarkt.technology/portrait/small/119103-1703072679.png?lm=1,N/A,04.06.1990,Humpolec,FC Viktoria Plzen
6,Michal Duris,Michal Ďuriš,208,53,18,11.624,N/A,Duris,#57,19,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,83 m",Slovakia,sk,https://www.transfermarkt.us/michal-duris/profil/spieler/74872,https://img.a.transfermarkt.technology/portrait/small/74872-1554137872.png?lm=1,N/A,01.06.1988,Uherské Hradiště,Spartak Trnava
7,Jean-David Beauguel,Unknown,118,48,11,6.663,N/A,Beauguel,#7,12,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,96 m",France,fr,https://www.transfermarkt.us/jean-david-beauguel/profil/spieler/198395,https://img.a.transfermarkt.technology/portrait/small/198395-1685529200.JPG?lm=1,N/A,21.03.1992,Strasbourg,Stal Mielec
8,Milan Petrzela,Milan Petržela,365,47,67,25.143,N/A,Petrzela,#11,58,1,FC Viktoria Plzen,Midfield - Right Midfield,"1,72 m",Czech Republic,cz,https://www.transfermarkt.us/milan-petrzela/profil/spieler/21101,https://img.a.transfermarkt.technology/portrait/small/21101-1703023035.png?lm=1,N/A,19.06.1983,Hoštice-Heroltice,FK Viktoria Zizkov
9,Tomas Horava,Tomáš Hořava,274,43,21,19.843,N/A,Horava,Unknown,33,0,FC Viktoria Plzen,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-horava/profil/spieler/70153,https://img.a.transfermarkt.technology/portrait/small/70153-1493904709.jpg?lm=1,N/A,29.05.1988,Brno,Retired
10,Pavel Horvath,Pavel Horváth,228,43,63,19.117,N/A,Horvath,Unknown,41,0,FC Viktoria Plzen,Midfield - Central Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-horvath/profil/spieler/21033,https://img.a.transfermarkt.technology/portrait/small/s_21033_941_2013_10_23_2.jpg?lm=1,N/A,22.04.1975,Praha,Retired
11,Pavel Sulc,Pavel Šulc,153,40,24,10.839,N/A,Sulc,#31,16,0,FC Viktoria Plzen,Midfield - Attacking Midfield,"1,77 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-sulc/profil/spieler/500053,https://img.a.transfermarkt.technology/portrait/small/500053-1718742395.jpg?lm=1,N/A,29.12.2000,Karlovy Vary,FC Viktoria Plzen
12,Jan Kovarik,Jan Kovařík,270,32,42,17.839,N/A,Kovarik,#19,14,0,FC Viktoria Plzen,Midfield - Left Midfield,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kovarik/profil/spieler/81800,https://img.a.transfermarkt.technology/portrait/small/81800-1493906412.jpg?lm=1,N/A,19.06.1988,Most,Bohemians Prague 1905
13,Lukas Hejda,Lukáš Hejda,375,32,9,28.430,N/A,Hejda,#2,65,4,FC Viktoria Plzen,Defender - Centre-Back,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-hejda/profil/spieler/96047,https://img.a.transfermarkt.technology/portrait/small/96047-1666810331.jpg?lm=1,N/A,09.03.1990,Bílovec,FC Viktoria Plzen
14,Stanislav Tecl,Unknown,95,27,10,5.062,N/A,Tecl,Unknown,1,0,FC Viktoria Plzen,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/stanislav-tecl/profil/spieler/81390,https://img.a.transfermarkt.technology/portrait/small/81390-1697832489.png?lm=1,N/A,01.09.1990,Jindřichův Hradec,Retired
15,Pavel Bucha,Unknown,163,27,21,12.574,N/A,Bucha,#20,8,2,FC Viktoria Plzen,Midfield - Central Midfield,"1,77 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-bucha/profil/spieler/563033,https://img.a.transfermarkt.technology/portrait/small/563033-1741200505.jpg?lm=1,N/A,11.03.1998,Mělník,FC Cincinnati
