rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Alex,Unknown,344,171,144,28.792,N/A,Alex,Unknown,52,2,Fenerbahce,Midfield - Attacking Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/alex/profil/spieler/18537,https://img.a.transfermarkt.technology/portrait/small/18537-1598536967.jpg?lm=1,N/A,14.09.1977,Curitiba,Retired
2,Aykut Kocaman,Unknown,258,160,58,20.397,N/A,Kocaman,Unknown,24,0,Fenerbahce,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/aykut-kocaman/profil/spieler/92225,https://img.a.transfermarkt.technology/portrait/small/92225-1570889892.png?lm=1,N/A,05.04.1965,Sakarya,Retired
3,Semih Şentürk,Unknown,281,87,50,12.891,N/A,Şentürk,Unknown,34,1,Fenerbahce,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/semih-senturk/profil/spieler/7043,https://img.a.transfermarkt.technology/portrait/small/7043-1483915677.png?lm=1,N/A,29.04.1983,Izmir,Retired
4,Tuncay Şanlı,Unknown,207,77,33,16.698,N/A,Şanlı,Unknown,26,2,Fenerbahce,Attack - Left Winger,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/tuncay-sanli/profil/spieler/6934,https://img.a.transfermarkt.technology/portrait/small/6934-1729780724.jpg?lm=1,N/A,16.01.1982,Sakarya,Retired
5,Elvir Bolic,Elvir Bolić,176,76,33,12.225,N/A,Bolic,Unknown,8,1,Fenerbahce,Attack - Centre-Forward,"1,85 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/elvir-bolic/profil/spieler/6867,https://img.a.transfermarkt.technology/portrait/small/6867-1537453493.jpg?lm=1,N/A,10.10.1971,Zenica,Retired
6,Moussa Sow,Unknown,185,75,31,13.826,N/A,Sow,Unknown,11,0,Fenerbahce,Attack - Centre-Forward,"1,80 m",Senegal,sn,https://www.transfermarkt.us/moussa-sow/profil/spieler/22382,https://img.a.transfermarkt.technology/portrait/small/22382-1598611028.jpeg?lm=1,N/A,19.01.1986,Mantes-la-Jolie,Retired
7,Enner Valencia,Enner Remberto Valencia Lastra,116,59,17,7.516,N/A,Valencia,#13,13,1,Fenerbahce,Attack - Centre-Forward,"1,78 m",Ecuador,ec,https://www.transfermarkt.us/enner-valencia/profil/spieler/139503,https://img.a.transfermarkt.technology/portrait/small/139503-1665590120.png?lm=1,N/A,04.11.1989,San Lorenzo,Sport Club Internacional
8,Oğuz Çetin,Ahmet Oğuz Çetin,286,57,90,25.210,N/A,Çetin,Unknown,16,0,Fenerbahce,Midfield - Central Midfield,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/oguz-cetin/profil/spieler/92221,https://img.a.transfermarkt.technology/portrait/small/92221-1570890968.png?lm=1,N/A,15.02.1963,Sakarya,Retired
9,Mert Nobre,Márcio Ferreira Perreira Nobre,107,55,15,8.160,N/A,Nobre,Unknown,7,0,Fenerbahce,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/mert-nobre/profil/spieler/15821,https://img.a.transfermarkt.technology/portrait/small/15821-1729604118.jpg?lm=1,N/A,06.11.1980,Jateí,Retired
10,Tanju Çolak,Tanju Çolak,61,54,12,5.100,N/A,Çolak,Unknown,6,0,Fenerbahce,Attack - Centre-Forward,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/tanju-colak/profil/spieler/90976,https://img.a.transfermarkt.technology/portrait/small/90976-1728993693.jpg?lm=1,N/A,10.11.1963,Samsun,Retired
11,Fernandão,Unknown,104,50,3,5.821,N/A,Fernandão,Unknown,13,0,Fenerbahce,Attack - Centre-Forward,"1,92 m",Brazil,br,https://www.transfermarkt.us/fernandao/profil/spieler/83886,https://img.a.transfermarkt.technology/portrait/small/83886-1689608610.jpg?lm=1,N/A,27.03.1987,Rio de Janeiro,Without Club
12,Serhat Akın,Niyazi Serhat Akın,154,49,27,10.083,N/A,Akın,Unknown,20,0,Fenerbahce,Attack - Right Winger,,Türkiye,tr,https://www.transfermarkt.us/serhat-akin/profil/spieler/2903,https://img.a.transfermarkt.technology/portrait/small/2903-1727455666.jpg?lm=1,N/A,05.06.1981,Bretten,Retired
13,Bülent Uygun,Unknown,134,48,22,10.708,N/A,Uygun,Unknown,19,0,Fenerbahce,Midfield - Attacking Midfield,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/bulent-uygun/profil/spieler/92240,https://img.a.transfermarkt.technology/portrait/small/92240-1570890260.jpeg?lm=1,N/A,01.08.1971,Sakarya,Retired
14,Lefter Küçükandonyadis,Λευτέρης Κιουτσούαντωνιάδης,111,47,37,9.898,N/A,Küçükandonyadis,Unknown,0,3,Fenerbahce,Attack - Left Winger,"1,69 m",Türkiye,tr,https://www.transfermarkt.us/lefter-kucukandonyadis/profil/spieler/137057,https://img.a.transfermarkt.technology/portrait/small/137057-1739176960.jpg?lm=1,N/A,22.12.1924,Istanbul,---
15,Michy Batshuayi,Michy Batshuayi-Atunga,75,44,5,3.753,N/A,Batshuayi,#30,9,0,Fenerbahce,Attack - Centre-Forward,"1,85 m",Belgium,be,https://www.transfermarkt.us/michy-batshuayi/profil/spieler/179184,https://img.a.transfermarkt.technology/portrait/small/179184-1738614857.jpg?lm=1,N/A,02.10.1993,Brussel,Eintracht Frankfurt
16,Edin Džeko,Edin Džeko,91,44,17,6.068,N/A,Džeko,#9,9,0,Fenerbahce,Attack - Centre-Forward,"1,93 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/edin-dzeko/profil/spieler/28396,https://img.a.transfermarkt.technology/portrait/small/28396-1728391796.JPG?lm=1,N/A,17.03.1986,Sarajevo,Fenerbahce
17,Yüksel Gündüz,Unknown,90,41,10,7.930,N/A,Gündüz,Unknown,0,0,Fenerbahce,Attack - Left Winger,Unknown,Türkiye,tr,https://www.transfermarkt.us/yuksel-gunduz/profil/spieler/306948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.12.1937,Kütahya,---
18,Deivid,Unknown,150,40,24,9.657,N/A,Deivid,Unknown,15,2,Fenerbahce,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/deivid/profil/spieler/6800,https://img.a.transfermarkt.technology/portrait/small/s_6800_776_2012_1.jpg?lm=1,N/A,22.10.1979,Nova Iguaçu,Retired
19,Rıdvan Dilmen,Unknown,131,39,56,10.895,N/A,Dilmen,Unknown,6,0,Fenerbahce,Midfield - Attacking Midfield,,Türkiye,tr,https://www.transfermarkt.us/ridvan-dilmen/profil/spieler/92222,https://img.a.transfermarkt.technology/portrait/small/92222-1570891074.png?lm=1,N/A,15.08.1962,Aydin,Retired
20,Dirk Kuyt,Dirk Kuijt,130,37,28,10.756,N/A,Kuyt,Unknown,12,0,Fenerbahce,Attack - Right Winger,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/dirk-kuyt/profil/spieler/4010,https://img.a.transfermarkt.technology/portrait/small/4010-1719542679.jpg?lm=1,N/A,22.07.1980,Katwijk,Retired
21,Şenol Çorlu,Unknown,183,36,14,14.718,N/A,Çorlu,Unknown,36,1,Fenerbahce,Attack - Left Winger,Unknown,Türkiye,tr,https://www.transfermarkt.us/senol-corlu/profil/spieler/214918,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.12.1961,Ankara,Retired
22,Robin van Persie,Unknown,87,36,7,5.171,N/A,van Persie,Unknown,11,0,Fenerbahce,Attack - Centre-Forward,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/robin-van-persie/profil/spieler/4380,https://img.a.transfermarkt.technology/portrait/small/4380-1719804523.jpg?lm=1,N/A,06.08.1983,Rotterdam,Retired
23,Dani Güiza,Daniel González Güiza,98,35,19,7.387,N/A,Güiza,#19,13,0,Fenerbahce,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/dani-guiza/profil/spieler/8186,https://img.a.transfermarkt.technology/portrait/small/8186-1488373654.jpg?lm=1,N/A,17.08.1980,Jerez de la Frontera,UD Roteña
24,Pierre van Hooijdonk,Petrus Ferdinandus Johannes van Hooijdonk,63,35,12,4.869,N/A,van Hooijdonk,Unknown,5,0,Fenerbahce,Attack - Centre-Forward,"1,93 m",Netherlands,nl,https://www.transfermarkt.us/pierre-van-hooijdonk/profil/spieler/3520,https://img.a.transfermarkt.technology/portrait/small/3520-1598262558.jpg?lm=1,N/A,29.11.1969,Steenbergen,Retired
25,Haim Revivo,חיים רביבו,80,34,22,5.571,N/A,Revivo,Unknown,11,0,Fenerbahce,Midfield - Attacking Midfield,,Israel,il,https://www.transfermarkt.us/haim-revivo/profil/spieler/2917,https://img.a.transfermarkt.technology/portrait/small/2917-1566379457.jpg?lm=1,N/A,22.02.1972,Ashdod,Retired
26,Viorel Moldovan,Viorel Dinu Moldovan,59,34,10,4.803,N/A,Moldovan,Unknown,8,1,Fenerbahce,Attack - Centre-Forward,"1,77 m",Romania,ro,https://www.transfermarkt.us/viorel-moldovan/profil/spieler/5519,https://img.a.transfermarkt.technology/portrait/small/s_5519_123_2012_1.jpg?lm=1,N/A,08.07.1972,Bistriţa,Retired
27,Jay-Jay Okocha,Augustine Azuka Okocha,79,33,19,6.792,N/A,Okocha,Unknown,6,0,Fenerbahce,Midfield - Attacking Midfield,,Nigeria,ng,https://www.transfermarkt.us/jay-jay-okocha/profil/spieler/3708,https://img.a.transfermarkt.technology/portrait/small/3708-1570440349.jpg?lm=1,N/A,14.08.1973,Enugu,Retired
28,Can Bartu,Unknown,87,33,22,7.798,N/A,Bartu,Unknown,0,0,Fenerbahce,Midfield - Right Midfield,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/can-bartu/profil/spieler/251073,https://img.a.transfermarkt.technology/portrait/small/251073-1740043779.jpg?lm=1,N/A,31.01.1936,Istanbul,---
29,Pierre Webó,Pierre Achille Webo Kouamo,89,33,11,5.159,N/A,Webó,Unknown,11,1,Fenerbahce,Attack - Centre-Forward,"1,81 m",Cameroon,cm,https://www.transfermarkt.us/pierre-webo/profil/spieler/16589,https://img.a.transfermarkt.technology/portrait/small/16589-1536739124.jpg?lm=1,N/A,20.01.1982,Bafoussam,Retired
30,Emre Belözoğlu,Emre Belözoğlu,227,33,28,16.543,N/A,Belözoğlu,Unknown,60,2,Fenerbahce,Midfield - Central Midfield,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/emre-belozoglu/profil/spieler/5782,https://img.a.transfermarkt.technology/portrait/small/5782-1725546986.jpg?lm=1,N/A,07.09.1980,Istanbul,Retired
31,İrfan Can Kahveci,İrfan Can Kahveci,164,30,30,9.057,N/A,Kahveci,#17,30,3,Fenerbahce,Attack - Right Winger,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/irfan-can-kahveci/profil/spieler/216603,https://img.a.transfermarkt.technology/portrait/small/216603-1728391961.JPG?lm=1,N/A,15.07.1995,Corum,Fenerbahce
32,Mateja Kežman,Матеја Кежман,69,30,11,5.168,N/A,Kežman,Unknown,13,2,Fenerbahce,Attack - Centre-Forward,"1,82 m",Serbia,rs,https://www.transfermarkt.us/mateja-kezman/profil/spieler/4358,https://img.a.transfermarkt.technology/portrait/small/4358-1541761826.jpg?lm=1,N/A,12.04.1979,Zemun,Retired
33,Cristian,Unknown,200,29,23,15.154,N/A,Cristian,Unknown,28,1,Fenerbahce,Midfield - Central Midfield,"1,83 m",Brazil,br,https://www.transfermarkt.us/cristian/profil/spieler/55382,https://img.a.transfermarkt.technology/portrait/small/s_55382_36_2013_09_05_2.jpg?lm=1,N/A,25.06.1983,Belo Horizonte,Retired
34,Diego Lugano,Diego Alfredo Lugano Moreno,188,27,5,16.714,N/A,Lugano,Unknown,58,3,Fenerbahce,Defender - Centre-Back,"1,88 m",Uruguay,uy,https://www.transfermarkt.us/diego-lugano/profil/spieler/13829,https://img.a.transfermarkt.technology/portrait/small/s_13829_1084_2013_06_24_1.jpg?lm=1,N/A,02.11.1980,Canelones,Retired
35,Dušan Tadić,Душан Тадић,101,27,31,7.646,N/A,Tadić,#10,7,0,Fenerbahce,Midfield - Attacking Midfield,"1,81 m",Serbia,rs,https://www.transfermarkt.us/dusan-tadic/profil/spieler/36139,https://img.a.transfermarkt.technology/portrait/small/36139-1728391824.JPG?lm=1,N/A,20.11.1988,Bačka Topola,Fenerbahce
36,Şeref Has,Şaban Şeref Has,126,26,19,11.285,N/A,Has,Unknown,0,1,Fenerbahce,Midfield - Central Midfield,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/seref-has/profil/spieler/304851,https://img.a.transfermarkt.technology/portrait/small/304851-1741274644.jpg?lm=1,N/A,27.09.1935,Istanbul,---
