rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Daniel Chigou,Unknown,62,37,0,4.310,N/A,Chigou,Unknown,8,0,FK Dukla Prague,Attack - Centre-Forward,"1,85 m",Cameroon,cm,https://www.transfermarkt.us/daniel-chigou/profil/spieler/58931,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1983,Limbe,Retired
2,Tomas Berger,Tomáš Berger,173,35,19,13.063,N/A,Berger,Unknown,29,0,FK Dukla Prague,Midfield - Right Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-berger/profil/spieler/63820,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.08.1985,Praha,Retired
3,Zbynek Pospech,Zbyněk Pospěch,60,28,6,4.700,N/A,Pospech,Unknown,11,0,FK Dukla Prague,Attack - Centre-Forward,"1,89 m",Czech Republic,cz,https://www.transfermarkt.us/zbynek-pospech/profil/spieler/35585,https://img.a.transfermarkt.technology/portrait/small/35585-1406190746.jpg?lm=1,N/A,24.10.1982,Opava,FK Sokol Mokre Lazce
4,Lukas Matejka,Lukáš Matějka,75,27,9,4.989,N/A,Matejka,#12,3,3,FK Dukla Prague,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-matejka/profil/spieler/480189,https://img.a.transfermarkt.technology/portrait/small/480189-1702411111.png?lm=1,N/A,20.12.1997,Unknown,MFK Skalica
5,Petr Maly,Petr Malý,155,22,8,11.337,N/A,Maly,Unknown,25,0,FK Dukla Prague,Midfield - Defensive Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/petr-maly/profil/spieler/81972,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1984,Unknown,Retired
6,Marek Hanousek,Marek Hanousek,229,21,9,18.511,N/A,Hanousek,#25,36,1,FK Dukla Prague,Midfield - Defensive Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/marek-hanousek/profil/spieler/76655,https://img.a.transfermarkt.technology/portrait/small/76655-1674763571.png?lm=1,N/A,06.08.1991,Dolní Kralovice,Widzew Lodz
7,David Kozel,Unknown,108,20,8,7.074,N/A,Kozel,#19,16,0,FK Dukla Prague,Midfield - Central Midfield,"1,79 m",Czech Republic,cz,https://www.transfermarkt.us/david-kozel/profil/spieler/580135,https://img.a.transfermarkt.technology/portrait/small/580135-1702410769.png?lm=1,N/A,28.11.2001,Unknown,FK Mlada Boleslav
8,Lukas Buchvaldek,Lukáš Buchvaldek,97,20,14,5.268,N/A,Buchvaldek,#10,5,0,FK Dukla Prague,Midfield - Attacking Midfield,"1,77 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-buchvaldek/profil/spieler/221266,https://img.a.transfermarkt.technology/portrait/small/221266-1702410918.png?lm=1,N/A,30.01.1996,Unknown,FC Zlin
9,Lukas Holik,Lukáš Holík,75,17,3,5.215,N/A,Holik,#19,10,0,FK Dukla Prague,Attack - Second Striker,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-holik/profil/spieler/204280,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.08.1992,Zlín,SK Hanacka Slavia Kromeriz
10,Jan Holenda,Unknown,57,16,6,4.628,N/A,Holenda,Unknown,5,1,FK Dukla Prague,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/jan-holenda/profil/spieler/26771,https://img.a.transfermarkt.technology/portrait/small/26771-1674670283.png?lm=1,N/A,22.08.1985,Prag,Retired
