rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Michal Petran,Michal Petráň,146,49,5,9.876,N/A,Petran,#4,13,1,FK Pardubice,Attack - Centre-Forward,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/michal-petran/profil/spieler/187585,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1992,Unknown,TJ Sokol Zivanice
2,Adam Fousek,Unknown,152,32,19,9.819,N/A,Fousek,#30,22,0,FK Pardubice,Midfield - Left Midfield,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/adam-fousek/profil/spieler/273101,https://img.a.transfermarkt.technology/portrait/small/273101-1708700422.png?lm=1,N/A,08.03.1994,Pardubice,FK Pardubice
3,Pavel Cerny,Pavel Černý,216,30,24,13.314,N/A,Cerny,#24,22,0,FK Pardubice,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-cerny/profil/spieler/63859,https://img.a.transfermarkt.technology/portrait/small/63859-1726289205.png?lm=1,N/A,28.01.1985,Hradec Králové,MFK Chrudim
4,Jan Jerabek,Jan Jeřábek,296,26,24,25.092,N/A,Jerabek,Unknown,75,1,FK Pardubice,Midfield - Defensive Midfield,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/jan-jerabek/profil/spieler/235171,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.02.1984,Prachovice,FK Jiskra Hermanuv Mestec
5,Michal Hlavaty,Michal Hlavatý,125,25,14,10.482,N/A,Hlavaty,#19,24,0,FK Pardubice,Midfield - Central Midfield,"1,72 m",Czech Republic,cz,https://www.transfermarkt.us/michal-hlavaty/profil/spieler/293355,https://img.a.transfermarkt.technology/portrait/small/293355-1708699550.png?lm=1,N/A,17.06.1998,Hořovice,FC Slovan Liberec
6,Ladislav Krobot,Unknown,65,15,2,2.712,N/A,Krobot,#17,13,0,FK Pardubice,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/ladislav-krobot/profil/spieler/506658,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.2001,Unknown,FK Pardubice
7,Cadu,Unknown,72,15,13,5.151,N/A,Cadu,#22,13,1,FK Pardubice,Midfield - Right Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/cadu/profil/spieler/748908,https://img.a.transfermarkt.technology/portrait/small/748908-1708116979.jpg?lm=1,N/A,08.08.1997,Salvador,FC Viktoria Plzen
8,Emil Tischler,Unknown,143,15,8,9.507,N/A,Tischler,#14,17,0,FK Pardubice,Midfield - Central Midfield,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/emil-tischler/profil/spieler/263359,https://img.a.transfermarkt.technology/portrait/small/263359-1471429943.jpg?lm=1,N/A,13.03.1998,Stockerau,SK Dynamo Ceske Budejovice
9,David Huf,Unknown,102,13,5,2.965,N/A,Huf,#9,4,0,FK Pardubice,Attack - Centre-Forward,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/david-huf/profil/spieler/339072,https://img.a.transfermarkt.technology/portrait/small/339072-1702741420.png?lm=1,N/A,23.01.1999,Unknown,MFK Ruzomberok
10,Jan Reznicek,Jan Řezníček,147,13,11,10.932,N/A,Reznicek,#4,14,0,FK Pardubice,Midfield - Defensive Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/jan-reznicek/profil/spieler/235202,https://img.a.transfermarkt.technology/portrait/small/235202-1702739716.png?lm=1,N/A,22.11.1992,Pardubice,MFK Chrudim
