rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Pavel Verbir,Pavel Verbíř,413,80,73,31.060,N/A,Verbir,Unknown,65,3,FK Teplice,Attack - Left Winger,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-verbir/profil/spieler/21131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.11.1972,Melnik,Retired
2,Ajdin Mahmutovic,Ajdin Mahmutović,171,60,20,12.133,N/A,Mahmutovic,Unknown,32,0,FK Teplice,Attack - Centre-Forward,"1,80 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/ajdin-mahmutovic/profil/spieler/28436,https://img.a.transfermarkt.technology/portrait/small/28436-1637242297.jpg?lm=1,N/A,06.04.1986,Doboj,Retired
3,Radek Divecky,Radek Divecký,190,43,8,12.247,N/A,Divecky,Unknown,47,2,FK Teplice,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/radek-divecky/profil/spieler/21015,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.03.1974,Unknown,Retired
4,Jakub Mares,Jakub Mareš,179,42,18,11.711,N/A,Mares,#9,37,1,FK Teplice,Attack - Centre-Forward,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-mares/profil/spieler/35577,https://img.a.transfermarkt.technology/portrait/small/35577-1549379978.png?lm=1,N/A,26.01.1987,Teplice,SK Zapy
5,Stepan Vachousek,Štěpán Vachoušek,287,35,25,20.417,N/A,Vachousek,Unknown,41,0,FK Teplice,Midfield - Left Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/stepan-vachousek/profil/spieler/6117,https://img.a.transfermarkt.technology/portrait/small/6117-1463153915.jpg?lm=1,N/A,26.07.1979,Duchcov,Retired
6,Jakub Hora,Jakub Hora,129,27,14,10.929,N/A,Hora,#23,12,0,FK Teplice,Midfield - Central Midfield,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-hora/profil/spieler/108007,https://img.a.transfermarkt.technology/portrait/small/108007-1700724352.png?lm=1,N/A,23.02.1991,Most,FK Dukla Prague
7,David Vanecek,David Vaněček,80,26,4,5.412,N/A,Vanecek,Unknown,8,0,FK Teplice,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/david-vanecek/profil/spieler/141229,https://img.a.transfermarkt.technology/portrait/small/141229-1611948373.jpg?lm=1,N/A,09.03.1991,Planá,TJ Dynamo Horsovsky Tyn
8,Tomas Vondrasek,Tomáš Vondrášek,379,24,34,29.542,N/A,Vondrasek,#17,53,2,FK Teplice,Defender - Right-Back,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-vondrasek/profil/spieler/63751,https://img.a.transfermarkt.technology/portrait/small/63751-1702410456.png?lm=1,N/A,26.10.1987,Sokolov,FK Dukla Prague
9,Pavel Stratil,Unknown,36,24,0,3.224,N/A,Stratil,Unknown,1,0,FK Teplice,Attack - Left Winger,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-stratil/profil/spieler/287350,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.04.1945,Olomouc,Retired
10,Francis Litsingi,Unknown,75,24,12,6.319,N/A,Litsingi,Unknown,11,0,FK Teplice,Midfield - Left Midfield,"1,80 m",Congo,cg,https://www.transfermarkt.us/francis-litsingi/profil/spieler/86127,https://img.a.transfermarkt.technology/portrait/small/s_86127_12423_2012_1.jpg?lm=1,N/A,10.09.1986,Brazzaville,Retired
