rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ronald Hamming,Unknown,236,108,13,17.786,N/A,Hamming,Unknown,13,0,Fortuna Sittard,Attack - Centre-Forward,"1,77 m",Netherlands,nl,https://www.transfermarkt.us/ronald-hamming/profil/spieler/19313,https://img.a.transfermarkt.technology/portrait/small/19313-1732265088.jpg?lm=1,N/A,09.01.1973,Zeegse,Retired
2,Hans Engbersen,Johannes Engbersen,151,81,17,12.788,N/A,Engbersen,Unknown,3,0,Fortuna Sittard,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/hans-engbersen/profil/spieler/243381,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.11.1952,Enschede,---
3,Tini Ruijs,Martinus Johannes Maria Ruijs,231,66,58,18.820,N/A,Ruijs,Unknown,12,0,Fortuna Sittard,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tini-ruijs/profil/spieler/361169,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1957,Cuijk,Retired
4,Hans Zuidersma,Unknown,270,65,26,20.504,N/A,Zuidersma,Unknown,5,2,Fortuna Sittard,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/hans-zuidersma/profil/spieler/361174,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.01.1949,Nieuwenhagen,Retired
5,Peter Prauser,Unknown,176,50,19,12.564,N/A,Prauser,Unknown,4,1,Fortuna Sittard,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/peter-prauser/profil/spieler/422656,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.10.1949,Unknown,Retired
6,Rob Hutting,Unknown,192,47,24,16.181,N/A,Hutting,Unknown,3,0,Fortuna Sittard,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/rob-hutting/profil/spieler/361168,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.08.1955,Nijmegen,Retired
7,Huub Smeets,Unknown,90,42,21,7.766,N/A,Smeets,Unknown,3,0,Fortuna Sittard,Attack - Centre-Forward,"1,92 m",Netherlands,nl,https://www.transfermarkt.us/huub-smeets/profil/spieler/188601,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.09.1953,Unknown,Retired
8,Wim Bohnen,Unknown,166,39,24,12.351,N/A,Bohnen,Unknown,2,0,Fortuna Sittard,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/wim-bohnen/profil/spieler/328595,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.03.1949,Unknown,Retired
9,Joop Titaley,Unknown,310,37,26,24.116,N/A,Titaley,Unknown,6,0,Fortuna Sittard,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/joop-titaley/profil/spieler/328597,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.11.1951,Unknown,---
10,Hans Erkens,Unknown,190,37,32,16.025,N/A,Erkens,Unknown,1,0,Fortuna Sittard,Midfield - Right Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/hans-erkens/profil/spieler/187649,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.07.1952,Schinnen,Retired
11,Wim Koevermans,Wilhelmus Jacobus Koevermans,202,33,9,16.037,N/A,Koevermans,Unknown,10,0,Fortuna Sittard,Midfield,,Netherlands,nl,https://www.transfermarkt.us/wim-koevermans/profil/spieler/117256,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.06.1960,Vlaardingen,Retired
12,Aziz Khalouta,عبد العزيز خلوطة,97,30,12,7.420,N/A,Khalouta,Unknown,19,0,Fortuna Sittard,Attack - Right Winger,"1,85 m",Morocco,ma,https://www.transfermarkt.us/aziz-khalouta/profil/spieler/194141,https://img.a.transfermarkt.technology/portrait/small/s_194141_385_2012_1.jpg?lm=1,N/A,08.08.1989,Fès,Retired
13,Patrick N'Koyi,Patrick N'Koyi-Kiabu,65,28,5,4.416,N/A,N'Koyi,Unknown,4,0,Fortuna Sittard,Attack - Centre-Forward,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/patrick-nkoyi/profil/spieler/82277,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1990,Kinshasa,Turkse Rangers
14,Lisandro Semedo,Lisandro Pedro Varela Semedo,118,28,27,8.359,N/A,Semedo,#77,7,0,Fortuna Sittard,Attack - Left Winger,"1,75 m",Cape Verde,unknown,https://www.transfermarkt.us/lisandro-semedo/profil/spieler/225431,https://img.a.transfermarkt.technology/portrait/small/225431-1668766697.png?lm=1,N/A,12.03.1996,Setúbal,Wieczysta Krakow
15,Dennis Gerritsen,Unknown,102,27,7,7.681,N/A,Gerritsen,Unknown,9,1,Fortuna Sittard,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/dennis-gerritsen/profil/spieler/148351,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.06.1971,Unknown,Retired
16,Finn Stokkers,Unknown,79,27,15,5.927,N/A,Stokkers,#27,6,0,Fortuna Sittard,Attack - Centre-Forward,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/finn-stokkers/profil/spieler/241486,https://img.a.transfermarkt.technology/portrait/small/241486-1723035509.jpg?lm=1,N/A,18.04.1996,Barendrecht,Go Ahead Eagles
17,Michael Jeffrey,Unknown,110,27,15,9.056,N/A,Jeffrey,Unknown,7,1,Fortuna Sittard,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/michael-jeffrey/profil/spieler/207269,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.08.1971,Liverpool,Retired
18,Zian Flemming,Unknown,63,27,11,5.600,N/A,Flemming,#19,10,0,Fortuna Sittard,Midfield - Attacking Midfield,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/zian-flemming/profil/spieler/411537,https://img.a.transfermarkt.technology/portrait/small/411537-1741273915.jpg?lm=1,N/A,01.08.1998,Amsterdam,Burnley FC
19,Dirk-Jan Derksen,Unknown,65,25,1,5.200,N/A,Derksen,Unknown,10,0,Fortuna Sittard,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/dirk-jan-derksen/profil/spieler/21487,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.06.1972,Tiel,Retired
20,Uwe Blotenberg,Unknown,81,24,5,6.390,N/A,Blotenberg,Unknown,0,1,Fortuna Sittard,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/uwe-blotenberg/profil/spieler/97372,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.05.1945,Unknown,Retired
21,Harrie Gommans,Unknown,95,23,9,6.754,N/A,Gommans,Unknown,7,1,Fortuna Sittard,Attack - Centre-Forward,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/harrie-gommans/profil/spieler/17297,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.02.1983,Roermond,Retired
22,Danny Schreurs,Unknown,71,23,7,4.094,N/A,Schreurs,Unknown,6,0,Fortuna Sittard,Attack - Right Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/danny-schreurs/profil/spieler/56393,https://img.a.transfermarkt.technology/portrait/small/56393-1411246354.jpg?lm=1,N/A,28.08.1987,Maastricht,Unknown
23,Joke Geyselaars,Jo Geyselaars,85,22,15,6.906,N/A,Geyselaars,Unknown,0,1,Fortuna Sittard,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/joke-geyselaars/profil/spieler/328592,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.07.1949,Berg en Terblijt,Retired
24,Lars Hutten,Unknown,88,22,9,5.456,N/A,Hutten,Unknown,4,0,Fortuna Sittard,Attack,"1,81 m",Netherlands,nl,https://www.transfermarkt.us/lars-hutten/profil/spieler/85670,https://img.a.transfermarkt.technology/portrait/small/85670-1482785122.jpg?lm=1,N/A,18.03.1990,Tilburg,Retired
25,Ramon Voorn,Unknown,227,22,16,19.018,N/A,Voorn,Unknown,42,3,Fortuna Sittard,Midfield - Central Midfield,"1,82 m",Netherlands,nl,https://www.transfermarkt.us/ramon-voorn/profil/spieler/56396,https://img.a.transfermarkt.technology/portrait/small/s_56396_385_2012_1.jpg?lm=1,N/A,01.05.1987,Berg en Terblijt,KFC Kabouters Opglabbeek
26,Regillio Simons,Regillio Oswaldo Simons,117,21,6,5.801,N/A,Simons,Unknown,10,4,Fortuna Sittard,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/regillio-simons/profil/spieler/4581,https://img.a.transfermarkt.technology/portrait/small/4581-1728974444.jpg?lm=1,N/A,28.06.1973,Amsterdam,Retired
