rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Halil Akbunar,Unknown,310,49,52,22.858,N/A,Akbunar,#7,38,3,Göztepe,Attack - Right Winger,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/halil-akbunar/profil/spieler/212229,https://img.a.transfermarkt.technology/portrait/small/212229-1730285253.jpg?lm=1,N/A,09.11.1993,Izmir,Eyüpspor
2,Adis Jahovic,Адис Јаховиќ,104,46,14,7.168,N/A,Jahovic,Unknown,21,1,Göztepe,Attack - Centre-Forward,"1,91 m",North Macedonia,mk,https://www.transfermarkt.us/adis-jahovic/profil/spieler/98536,https://img.a.transfermarkt.technology/portrait/small/98536-1671272507.png?lm=1,N/A,18.03.1987,Skopje,Narlidere Belediyesi Genclik Ve Spor
3,Gürsel Aksel,Unknown,136,36,11,12.182,N/A,Aksel,Unknown,0,0,Göztepe,Attack - Second Striker,"1,69 m",Türkiye,tr,https://www.transfermarkt.us/gursel-aksel/profil/spieler/633233,https://img.a.transfermarkt.technology/portrait/small/633233-1719503164.jpg?lm=1,N/A,10.05.1937,Edirne,---
4,İlhan Şahin,Unknown,88,26,1,7.208,N/A,Şahin,Unknown,28,0,Göztepe,Midfield - Attacking Midfield,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/ilhan-sahin/profil/spieler/29680,https://img.a.transfermarkt.technology/portrait/small/29680-1461495800.jpg?lm=1,N/A,30.08.1980,Istanbul,Retired
5,Cherif Ndiaye,Pape Cherif Ndiaye,73,24,5,5.260,N/A,Ndiaye,#9,7,1,Göztepe,Attack - Centre-Forward,"1,90 m",Senegal,sn,https://www.transfermarkt.us/cherif-ndiaye/profil/spieler/480705,https://img.a.transfermarkt.technology/portrait/small/480705-1695020350.jpg?lm=1,N/A,23.01.1996,Dakar,Red Star Belgrade
6,Hakkı İyibilir,İsmail Hakkı İyibilir,84,22,2,7.508,N/A,İyibilir,Unknown,0,1,Göztepe,Attack,Unknown,Türkiye,tr,https://www.transfermarkt.us/hakki-iyibilir/profil/spieler/1069195,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.03.1932,Manisa,---
7,Rômulo,Unknown,37,20,11,2.946,N/A,Rômulo,#79,7,0,Göztepe,Attack - Centre-Forward,"1,93 m",Brazil,br,https://www.transfermarkt.us/romulo/profil/spieler/957874,https://img.a.transfermarkt.technology/portrait/small/957874-1727796494.jpg?lm=1,N/A,08.02.2002,Marialva,Göztepe
8,Saban Genisyürek,Şaban Yılmaz Genişyürek,64,19,1,4.264,N/A,Genisyürek,Unknown,10,0,Göztepe,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/saban-genisyurek/profil/spieler/50744,https://img.a.transfermarkt.technology/portrait/small/50744-1586982570.png?lm=1,N/A,03.01.1986,Illertissen,Without Club
9,Yasin Öztekin,Unknown,68,19,9,4.557,N/A,Öztekin,#7,11,0,Göztepe,Attack - Centre-Forward,"1,79 m",Türkiye,tr,https://www.transfermarkt.us/yasin-oztekin/profil/spieler/31867,https://img.a.transfermarkt.technology/portrait/small/31867-1663973628.png?lm=1,N/A,19.03.1987,Dortmund,Bucaspor 1928
10,Tayfun Özkan,Unknown,27,18,1,2.095,N/A,Özkan,Unknown,3,0,Göztepe,Attack - Centre-Forward,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/tayfun-ozkan/profil/spieler/169690,https://img.a.transfermarkt.technology/portrait/small/169690-1539198973.jpg?lm=1,N/A,30.01.1981,Ordu,Retired
