rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Fran Navarro,Francisco José Navarro Aliaga,78,37,3,6.502,N/A,Navarro,#39,10,0,Gil Vicente FC,Attack - Centre-Forward,"1,79 m",Spain,es,https://www.transfermarkt.us/fran-navarro/profil/spieler/284883,https://img.a.transfermarkt.technology/portrait/small/284883-1693589967.png?lm=1,N/A,03.02.1998,Valencia,SC Braga
2,Hugo Vieira,Hugo Filipe da Costa Oliveira,113,33,6,7.161,N/A,Vieira,#10,9,0,Gil Vicente FC,Attack - Centre-Forward,"1,78 m",Portugal,pt,https://www.transfermarkt.us/hugo-vieira/profil/spieler/124286,https://img.a.transfermarkt.technology/portrait/small/124286-1566989681.jpg?lm=1,N/A,25.07.1988,Barcelos,Santa Maria FC
3,João Vilela,João Pedro Ferreira Vilela,196,31,5,13.359,N/A,Vilela,Unknown,40,1,Gil Vicente FC,Midfield - Central Midfield,"1,84 m",Portugal,pt,https://www.transfermarkt.us/joao-vilela/profil/spieler/37950,https://img.a.transfermarkt.technology/portrait/small/37950-1445962222.jpg?lm=1,N/A,09.09.1985,Lissabon,Retired
4,Simy,Unknown,103,31,8,6.827,N/A,Simy,#9,9,1,Gil Vicente FC,Attack - Centre-Forward,"1,98 m",Nigeria,ng,https://www.transfermarkt.us/simy/profil/spieler/194549,https://img.a.transfermarkt.technology/portrait/small/194549-1602069616.jpg?lm=1,N/A,07.05.1992,Lagos,US Salernitana 1919
5,Paulinho,Unknown,130,31,11,8.383,N/A,Paulinho,#26,22,0,Gil Vicente FC,Attack - Centre-Forward,"1,88 m",Portugal,pt,https://www.transfermarkt.us/paulinho/profil/spieler/211072,https://img.a.transfermarkt.technology/portrait/small/211072-1612359887.jpg?lm=1,N/A,09.11.1992,Barcelos,Deportivo Toluca
6,Samuel Lino,Samuel Dias Lino,100,27,5,6.213,N/A,Lino,#12,9,0,Gil Vicente FC,Attack - Left Winger,"1,77 m",Brazil,br,https://www.transfermarkt.us/samuel-lino/profil/spieler/694928,https://img.a.transfermarkt.technology/portrait/small/694928-1695982815.jpg?lm=1,N/A,23.12.1999,Santo André,Atlético de Madrid
7,Paulo Alves,Paulo Lourenço Martins Alves,87,24,2,3.887,N/A,Alves,Unknown,8,0,Gil Vicente FC,Attack - Centre-Forward,"1,86 m",Portugal,pt,https://www.transfermarkt.us/paulo-alves/profil/spieler/14348,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.12.1969,Vila Real,Retired
8,Luís Carlos,Unknown,99,22,6,6.846,N/A,Luís Carlos,Unknown,20,0,Gil Vicente FC,Attack - Left Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/luis-carlos/profil/spieler/159100,https://img.a.transfermarkt.technology/portrait/small/159100-1441377950.jpg?lm=1,N/A,15.06.1987,Itaberaba,Without Club
9,Zé Luís,Unknown,48,21,0,2.803,N/A,Zé Luís,#29,4,0,Gil Vicente FC,Attack - Centre-Forward,"1,84 m",Cape Verde,unknown,https://www.transfermarkt.us/ze-luis/profil/spieler/134602,https://img.a.transfermarkt.technology/portrait/small/134602-1617369617.png?lm=1,N/A,24.01.1991,Fogo,Avs Futebol
10,Hermes,Unknown,57,18,0,4.461,N/A,Hermes,Unknown,6,0,Gil Vicente FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/hermes/profil/spieler/24741,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1978,Nova Iguaçu,Retired
