rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Cees van Kooten,Cornelis Reinier van Kooten,213,92,41,18.623,N/A,van Kooten,Unknown,8,1,Go Ahead Eagles,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/cees-van-kooten/profil/spieler/152551,https://img.a.transfermarkt.technology/portrait/small/s_152551_123_2012_1.jpg?lm=1,N/A,20.08.1948,Ridderkerk,---
2,Wietse Veenstra,Wietse-Harm Veenstra,145,55,21,12.945,N/A,Veenstra,Unknown,0,0,Go Ahead Eagles,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/wietse-veenstra/profil/spieler/154237,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.02.1946,Scheemda,Retired
3,Marnix Kolder,Unknown,140,49,20,11.000,N/A,Kolder,Unknown,7,1,Go Ahead Eagles,Attack - Centre-Forward,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/marnix-kolder/profil/spieler/21620,https://img.a.transfermarkt.technology/portrait/small/21620-1418931139.jpg?lm=1,N/A,31.01.1981,Winschoten,Retired
4,Oeki Hoekema,Uilke Piebe Hoekema,139,49,15,11.784,N/A,Hoekema,Unknown,0,0,Go Ahead Eagles,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/oeki-hoekema/profil/spieler/152293,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.01.1949,Pingjum,Retired
5,Bram Marbus,Unknown,128,45,13,10.510,N/A,Marbus,Unknown,3,0,Go Ahead Eagles,Attack - Centre-Forward,"1,94 m",Netherlands,nl,https://www.transfermarkt.us/bram-marbus/profil/spieler/17321,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.04.1972,Unknown,Retired
6,Wim Woudsma,Willem Woudsma,294,39,34,25.880,N/A,Woudsma,Unknown,6,0,Go Ahead Eagles,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/wim-woudsma/profil/spieler/243403,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.08.1957,Nijverdal,---
7,Ruud Geels,Geertruida Maria Geels,66,38,20,5.825,N/A,Geels,Unknown,0,0,Go Ahead Eagles,Attack - Centre-Forward,"1,81 m",Netherlands,nl,https://www.transfermarkt.us/ruud-geels/profil/spieler/142872,https://img.a.transfermarkt.technology/portrait/small/s_142872_123_2012_1.jpg?lm=1,N/A,28.07.1948,Haarlem,---
8,Uğur Yıldırım,Unknown,75,38,17,6.343,N/A,Yıldırım,Unknown,5,0,Go Ahead Eagles,Attack - Right Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/ugur-yildirim/profil/spieler/17323,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1982,Apeldoorn,Retired
9,Sam Hendriks,Unknown,101,37,13,6.932,N/A,Hendriks,Unknown,2,0,Go Ahead Eagles,Attack - Centre-Forward,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/sam-hendriks/profil/spieler/225716,https://img.a.transfermarkt.technology/portrait/small/225716-1657128050.jpg?lm=1,N/A,25.01.1995,Doetinchem,Without Club
10,Dick Schneider,Derk Schneider,261,35,14,23.209,N/A,Schneider,Unknown,3,0,Go Ahead Eagles,Defender - Sweeper,"1,77 m",Netherlands,nl,https://www.transfermarkt.us/dick-schneider/profil/spieler/287346,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.03.1948,Deventer,Retired
11,Gerrit Niehaus,Unknown,175,35,15,15.631,N/A,Niehaus,Unknown,0,0,Go Ahead Eagles,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/gerrit-niehaus/profil/spieler/617418,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.07.1940,Deventer,---
12,Jarchinio Antonia,Jarchinio Angelo Roberto Antonia,155,32,32,12.554,N/A,Antonia,#10,18,2,Go Ahead Eagles,Attack - Right Winger,"1,69 m",Curacao,unknown,https://www.transfermarkt.us/jarchinio-antonia/profil/spieler/162672,https://img.a.transfermarkt.technology/portrait/small/s_162672_1435_2012_1.jpg?lm=1,N/A,27.12.1990,Amsterdam,SV TEC Tiel
13,Joey Suk,Unknown,170,32,21,12.532,N/A,Suk,Unknown,18,2,Go Ahead Eagles,Midfield - Defensive Midfield,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/joey-suk/profil/spieler/101657,https://img.a.transfermarkt.technology/portrait/small/101657-1601583601.jpg?lm=1,N/A,08.07.1989,Deventer,Without Club
14,Koen van der Biezen,Unknown,64,30,14,5.362,N/A,van der Biezen,Unknown,11,0,Go Ahead Eagles,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/koen-van-der-biezen/profil/spieler/56376,https://img.a.transfermarkt.technology/portrait/small/56376-1468490430.jpg?lm=1,N/A,10.07.1985,Nuland,Retired
15,Leon de Kogel,Unknown,73,30,8,4.695,N/A,de Kogel,Unknown,9,0,Go Ahead Eagles,Attack - Centre-Forward,"1,94 m",Netherlands,nl,https://www.transfermarkt.us/leon-de-kogel/profil/spieler/162694,https://img.a.transfermarkt.technology/portrait/small/s_162694_200_2012_1.jpg?lm=1,N/A,13.11.1991,Alphen aan den Rijn,Retired
16,Oliver Edvardsen,Oliver Valaker Edvardsen,81,26,7,5.613,N/A,Edvardsen,#17,4,0,Go Ahead Eagles,Attack - Left Winger,"1,75 m",Norway,no,https://www.transfermarkt.us/oliver-edvardsen/profil/spieler/374326,https://img.a.transfermarkt.technology/portrait/small/374326-1723035430.jpg?lm=1,N/A,19.03.1999,Bærum,Ajax Amsterdam
17,Gerard Wüstefeld,Gerardus Sierk Carl Wüstefeld,142,26,24,12.735,N/A,Wüstefeld,Unknown,0,0,Go Ahead Eagles,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/gerard-wustefeld/profil/spieler/617461,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.02.1941,Deventer,---
18,John Oude Wesselink,Johannes Christianus Maria Oude Wesselink,404,26,9,35.199,N/A,Oude Wesselink,Unknown,6,0,Go Ahead Eagles,Defender - Centre-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/john-oude-wesselink/profil/spieler/243395,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.10.1950,Enschede,Retired
19,Jo Körver,Johan Joseph Marie Körver,153,24,27,12.594,N/A,Körver,Unknown,0,0,Go Ahead Eagles,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/jo-korver/profil/spieler/243385,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.10.1951,Geleen,Retired
20,Xander Houtkoop,Unknown,107,24,22,7.914,N/A,Houtkoop,Unknown,3,2,Go Ahead Eagles,Attack - Left Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/xander-houtkoop/profil/spieler/71099,https://img.a.transfermarkt.technology/portrait/small/71099-1418852047.jpg?lm=1,N/A,26.03.1989,Amsterdam,Retired
21,Gerard Somer,Gerhardus Johannes Somer,291,24,8,26.217,N/A,Somer,Unknown,0,0,Go Ahead Eagles,Defender - Centre-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/gerard-somer/profil/spieler/297992,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.11.1943,Deventer,Retired
22,Peter Arntz,Petrus Wilhelmus Arntz,158,23,11,13.418,N/A,Arntz,Unknown,4,0,Go Ahead Eagles,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/peter-arntz/profil/spieler/150603,https://img.a.transfermarkt.technology/portrait/small/s_150603_123_2012_1.jpg?lm=1,N/A,05.02.1953,Leuth,Retired
23,Jan Groeneweg,Unknown,77,22,4,5.406,N/A,Groeneweg,Unknown,1,0,Go Ahead Eagles,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-groeneweg/profil/spieler/243383,https://img.a.transfermarkt.technology/portrait/small/s_243383_123_2012_1.jpg?lm=1,N/A,26.11.1952,Rotterdam,Retired
