rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Souza,Unknown,204,81,25,14.932,N/A,Diego Souza,Unknown,23,1,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/diego-souza/profil/spieler/33315,https://img.a.transfermarkt.technology/portrait/small/33315-1454586915.jpg?lm=1,N/A,17.06.1985,Rio de Janeiro,Retired
2,Luan,Unknown,293,76,42,23.102,N/A,Luan,Unknown,31,1,Grêmio Foot-Ball Porto Alegrense,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/luan/profil/spieler/313106,https://img.a.transfermarkt.technology/portrait/small/313106-1512665089.jpg?lm=1,N/A,27.03.1993,São José do Rio Preto,Without Club
3,Jonas,Unknown,134,72,21,9.539,N/A,Jonas,Unknown,15,4,Grêmio Foot-Ball Porto Alegrense,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/jonas/profil/spieler/50143,https://img.a.transfermarkt.technology/portrait/small/50143-1474545960.jpg?lm=1,N/A,01.04.1984,Bebedouro,Retired
4,Everton,Unknown,274,69,24,17.091,N/A,Everton,#11,20,0,Grêmio Foot-Ball Porto Alegrense,Attack - Left Winger,"1,74 m",Brazil,br,https://www.transfermarkt.us/everton/profil/spieler/321239,https://img.a.transfermarkt.technology/portrait/small/321239-1603795820.jpg?lm=1,N/A,22.03.1996,Fortaleza,CR Flamengo
5,Hernán Barcos,Hernán Barcos,112,44,7,9.651,N/A,Barcos,#9,13,0,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/hernan-barcos/profil/spieler/53847,https://img.a.transfermarkt.technology/portrait/small/53847-1736795983.jpg?lm=1,N/A,11.04.1984,Bell Ville,Club Alianza Lima
6,Douglas,Unknown,246,44,36,19.288,N/A,Douglas,Unknown,43,2,Grêmio Foot-Ball Porto Alegrense,Midfield - Attacking Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/douglas/profil/spieler/34332,https://img.a.transfermarkt.technology/portrait/small/s_34332_199_2012_2.jpg?lm=1,N/A,18.02.1982,Criciúma,Retired
7,André Lima,André Luiz Barretto Silva Lima,115,38,10,6.846,N/A,Lima,Unknown,24,1,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/andre-lima/profil/spieler/52692,https://img.a.transfermarkt.technology/portrait/small/52692-1561124236.jpg?lm=1,N/A,03.05.1985,Rio de Janeiro,Retired
8,Pepê,Unknown,144,32,20,8.479,N/A,Pepê,#11,8,1,Grêmio Foot-Ball Porto Alegrense,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/pepe/profil/spieler/520662,https://img.a.transfermarkt.technology/portrait/small/520662-1669115201.png?lm=1,N/A,24.02.1997,Foz do Iguaçu,FC Porto
9,Pedro Rocha,Unknown,126,32,11,8.092,N/A,Pedro Rocha,Unknown,10,1,Grêmio Foot-Ball Porto Alegrense,Attack - Left Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/pedro-rocha/profil/spieler/362844,https://img.a.transfermarkt.technology/portrait/small/362844-1553895661.png?lm=1,N/A,01.10.1994,Vila Velha,Clube do Remo (PA)
10,Christian,Unknown,73,31,1,4.774,N/A,Christian,Unknown,8,2,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/christian/profil/spieler/3371,https://img.a.transfermarkt.technology/portrait/small/3371-1698198232.jpg?lm=1,N/A,23.04.1975,Porto Alegre,Retired
11,Borges,Unknown,55,30,4,4.388,N/A,Borges,Unknown,8,1,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/borges/profil/spieler/52768,https://img.a.transfermarkt.technology/portrait/small/s_52768_609_2012_2.jpg?lm=1,N/A,05.10.1980,Salvador,Retired
12,Franco Cristaldo,Unknown,124,26,18,7.889,N/A,Cristaldo,#10,6,0,Grêmio Foot-Ball Porto Alegrense,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/franco-cristaldo/profil/spieler/332259,https://img.a.transfermarkt.technology/portrait/small/332259-1684807927.jpg?lm=1,N/A,15.08.1996,Morón,Grêmio Foot-Ball Porto Alegrense
13,Tcheco,Unknown,148,26,25,11.866,N/A,Tcheco,Unknown,36,2,Grêmio Foot-Ball Porto Alegrense,Midfield - Central Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/tcheco/profil/spieler/52402,https://img.a.transfermarkt.technology/portrait/small/s_52402_776_2010_4.jpg?lm=1,N/A,11.04.1976,Curitiba,Retired
14,Luis Suárez,Luis Alberto Suárez Díaz,53,26,17,4.644,N/A,Suárez,#9,11,0,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/luis-suarez/profil/spieler/44352,https://img.a.transfermarkt.technology/portrait/small/44352-1740775519.jpg?lm=1,N/A,24.01.1987,Salto,Inter Miami CF
15,Ferreirinha,Unknown,150,26,22,8.354,N/A,Ferreirinha,#11,15,2,Grêmio Foot-Ball Porto Alegrense,Attack - Left Winger,"1,76 m",Brazil,br,https://www.transfermarkt.us/ferreirinha/profil/spieler/689017,https://img.a.transfermarkt.technology/portrait/small/689017-1607329716.jpg?lm=1,N/A,31.12.1997,Dourados,São Paulo Futebol Clube
16,Souza,Unknown,97,25,15,7.700,N/A,Souza,Unknown,23,0,Grêmio Foot-Ball Porto Alegrense,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/souza/profil/spieler/50792,https://img.a.transfermarkt.technology/portrait/small/s_50792_609_2010_1.jpg?lm=1,N/A,04.02.1979,Maceió,Retired
17,Paulo Nunes,Arílson de Paula Nunes,60,25,11,5.032,N/A,Nunes,Unknown,7,2,Grêmio Foot-Ball Porto Alegrense,Attack - Second Striker,"1,74 m",Brazil,br,https://www.transfermarkt.us/paulo-nunes/profil/spieler/210032,https://img.a.transfermarkt.technology/portrait/small/210032-1698165570.jpg?lm=1,N/A,30.10.1971,Pontalina,Retired
18,Cláudio Pitbull,Unknown,96,25,0,5.744,N/A,Cláudio Pitbull,Unknown,11,1,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,73 m",Brazil,br,https://www.transfermarkt.us/claudio-pitbull/profil/spieler/14149,https://img.a.transfermarkt.technology/portrait/small/s_14149_10010_2012_1.jpg?lm=1,N/A,08.01.1982,Porto Alegre,Retired
19,Alisson,Unknown,185,23,30,12.438,N/A,Alisson,#25,23,0,Grêmio Foot-Ball Porto Alegrense,Midfield - Central Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/alisson/profil/spieler/229736,https://img.a.transfermarkt.technology/portrait/small/229736-1721350446.jpg?lm=1,N/A,25.06.1993,Rio Pomba,São Paulo Futebol Clube
20,Kléber,Unknown,105,23,15,7.762,N/A,Kléber,Unknown,27,1,Grêmio Foot-Ball Porto Alegrense,Attack - Centre-Forward,"1,73 m",Brazil,br,https://www.transfermarkt.us/kleber/profil/spieler/15880,https://img.a.transfermarkt.technology/portrait/small/15880-1561130251.jpg?lm=1,N/A,12.08.1983,Osasco,Retired
21,Jean Pyerre,Unknown,140,22,16,8.763,N/A,Jean Pyerre,Unknown,10,0,Grêmio Foot-Ball Porto Alegrense,Midfield - Attacking Midfield,"1,87 m",Brazil,br,https://www.transfermarkt.us/jean-pyerre/profil/spieler/351903,https://img.a.transfermarkt.technology/portrait/small/351903-1571662820.jpg?lm=1,N/A,07.05.1998,Alvorada,Ypiranga FC
22,Ramiro,Unknown,251,22,14,20.410,N/A,Ramiro,#17,60,3,Grêmio Foot-Ball Porto Alegrense,Midfield - Central Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/ramiro/profil/spieler/258070,https://img.a.transfermarkt.technology/portrait/small/258070-1740506896.jpg?lm=1,N/A,22.05.1993,Gramado,FC Dallas
