rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Claudio Sulser,Unknown,329,158,2,28.260,N/A,Sulser,Unknown,5,0,Grasshopper Club Zurich,Attack - Centre-Forward,"1,84 m",Switzerland,ch,https://www.transfermarkt.us/claudio-sulser/profil/spieler/127488,https://img.a.transfermarkt.technology/portrait/small/127488-1678832507.jpg?lm=1,N/A,08.10.1955,Lugano,Retired
2,Robert Ballamann,Unknown,266,142,0,23.845,N/A,Ballamann,Unknown,0,1,Grasshopper Club Zurich,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/robert-ballamann/profil/spieler/215425,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.06.1926,Reconvilier,---
3,Branislav Vukosavljević,Бранислав Вукосављевић,103,121,0,9.191,N/A,Vukosavljević,Unknown,0,1,Grasshopper Club Zurich,Attack,Unknown,Serbia,rs,https://www.transfermarkt.us/branislav-vukosavljevic/profil/spieler/289995,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.09.1928,Belgrade,---
4,Ove Grahn,Jan-Olof Grahn,227,109,0,20.269,N/A,Grahn,Unknown,20,0,Grasshopper Club Zurich,Attack - Centre-Forward,"1,80 m",Sweden,se,https://www.transfermarkt.us/ove-grahn/profil/spieler/135596,https://img.a.transfermarkt.technology/portrait/small/135596-1585124374.jpg?lm=1,N/A,09.05.1943,Norra Fågelås,---
5,Rolf Blättler,Unknown,153,106,0,13.733,N/A,Blättler,Unknown,0,0,Grasshopper Club Zurich,Attack - Centre-Forward,,Switzerland,ch,https://www.transfermarkt.us/rolf-blattler/profil/spieler/67052,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.10.1942,Uster,---
6,Richard Núñez,Richard Darío Núñez Pereyra,154,105,33,13.324,N/A,Núñez,Unknown,12,0,Grasshopper Club Zurich,Midfield - Attacking Midfield,"1,72 m",Uruguay,uy,https://www.transfermarkt.us/richard-nunez/profil/spieler/2877,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1976,Montevideo,Retired
7,André Egli,Unknown,434,102,1,38.423,N/A,Egli,Unknown,35,0,Grasshopper Club Zurich,Defender - Centre-Back,,Switzerland,ch,https://www.transfermarkt.us/andre-egli/profil/spieler/149233,https://img.a.transfermarkt.technology/portrait/small/149233-1614109242.jpg?lm=1,N/A,08.05.1958,Bäretswil,Retired
8,Raimondo Ponte,Unknown,435,97,1,37.171,N/A,Ponte,Unknown,32,0,Grasshopper Club Zurich,Midfield - Attacking Midfield,,Switzerland,ch,https://www.transfermarkt.us/raimondo-ponte/profil/spieler/184859,https://img.a.transfermarkt.technology/portrait/small/184859-1614678978.jpg?lm=1,N/A,04.04.1955,Windisch,Retired
9,Raymond Duret,Raymond Paul Duret,175,96,0,15.514,N/A,Duret,Unknown,0,0,Grasshopper Club Zurich,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/raymond-duret/profil/spieler/289927,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1933,Genève,---
10,Roger Vonlanthen,Unknown,148,90,0,13.350,N/A,Vonlanthen,Unknown,0,0,Grasshopper Club Zurich,Attack,,Switzerland,ch,https://www.transfermarkt.us/roger-vonlanthen/profil/spieler/215428,https://img.a.transfermarkt.technology/portrait/small/215428-1641486812.jpg?lm=1,N/A,05.12.1930,Lancy,---
