rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Roland Kollmann,Unknown,249,131,21,18.126,N/A,Kollmann,Unknown,54,1,Grazer AK 1902,Attack - Centre-Forward,"1,83 m",Austria,at,https://www.transfermarkt.us/roland-kollmann/profil/spieler/5009,https://img.a.transfermarkt.technology/portrait/small/5009-1429880311.jpg?lm=1,N/A,08.10.1976,Villach,Retired
2,Wilhelm Sgerm,Unknown,279,125,0,25.161,N/A,Sgerm,Unknown,3,1,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/wilhelm-sgerm/profil/spieler/413055,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.03.1937,Unknown,Retired
3,Walter Koleznik,Unknown,482,103,0,42.019,N/A,Koleznik,Unknown,9,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/walter-koleznik/profil/spieler/291275,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.10.1942,Unknown,Retired
4,Mario Zuenelli,Unknown,424,90,0,34.387,N/A,Zuenelli,Unknown,27,2,Grazer AK 1902,Defender,Unknown,Austria,at,https://www.transfermarkt.us/mario-zuenelli/profil/spieler/242136,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.09.1954,Graz,Retired
5,Johannes Jank,Unknown,139,80,0,12.517,N/A,Jank,Unknown,0,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/johannes-jank/profil/spieler/293133,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.07.1936,Unknown,Retired
6,Herbert Rauter,Unknown,120,73,2,10.394,N/A,Rauter,Unknown,17,0,Grazer AK 1902,Midfield - Attacking Midfield,"1,72 m",Austria,at,https://www.transfermarkt.us/herbert-rauter/profil/spieler/3071,https://img.a.transfermarkt.technology/portrait/small/3071-1407339035.jpg?lm=1,N/A,27.01.1982,Graz,SV Flavia Solva
7,Eduard Glieder,Unknown,243,69,0,17.354,N/A,Glieder,Unknown,25,0,Grazer AK 1902,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/eduard-glieder/profil/spieler/3030,https://img.a.transfermarkt.technology/portrait/small/3030-1587553921.jpg?lm=1,N/A,28.01.1969,Graz,Retired
8,Johann Pigel,Unknown,325,64,0,24.504,N/A,Pigel,Unknown,26,0,Grazer AK 1902,Attack - Left Winger,,Austria,at,https://www.transfermarkt.us/johann-pigel/profil/spieler/206125,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.11.1956,Graz,Retired
9,Josef Stering,Unknown,329,63,0,29.021,N/A,Stering,Unknown,21,3,Grazer AK 1902,Midfield - Central Midfield,"1,69 m",Austria,at,https://www.transfermarkt.us/josef-stering/profil/spieler/129502,https://img.a.transfermarkt.technology/portrait/small/129502-1638979744.jpg?lm=1,N/A,06.03.1949,Pichling bei Köflach,Retired
10,Erwin Dampfhofer,Unknown,165,61,0,11.527,N/A,Dampfhofer,Unknown,10,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/erwin-dampfhofer/profil/spieler/142570,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.08.1966,Unknown,Retired
11,Herbert Ninaus,Unknown,101,59,0,9.120,N/A,Ninaus,Unknown,3,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/herbert-ninaus/profil/spieler/291888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.03.1937,Voitsberg,---
12,Mario Bazina,Unknown,193,57,26,13.603,N/A,Bazina,Unknown,19,0,Grazer AK 1902,Attack - Second Striker,"1,77 m",Croatia,hr,https://www.transfermarkt.us/mario-bazina/profil/spieler/4998,https://img.a.transfermarkt.technology/portrait/small/4998-1569941711.jpg?lm=1,N/A,08.09.1975,Siroki Brijeg,Retired
13,Benedict Akwuegbu,Unknown,152,57,2,10.542,N/A,Akwuegbu,Unknown,14,1,Grazer AK 1902,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/benedict-akwuegbu/profil/spieler/5007,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.11.1974,Lagos,Retired
14,Ronald Brunmayr,Unknown,111,56,14,9.057,N/A,Brunmayr,Unknown,10,0,Grazer AK 1902,Attack - Centre-Forward,"1,77 m",Austria,at,https://www.transfermarkt.us/ronald-brunmayr/profil/spieler/5010,https://img.a.transfermarkt.technology/portrait/small/I_N_s_5010_935_2009_2.jpg?lm=1,N/A,17.02.1975,Steyr,Retired
15,Stefan Kölly,Unknown,98,56,0,8.817,N/A,Kölly,Unknown,1,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/stefan-kolly/profil/spieler/295841,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1928,Eisenerz,---
16,Günther Koschak,Unknown,201,54,0,15.111,N/A,Koschak,Unknown,7,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/gunther-koschak/profil/spieler/204569,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.09.1962,Unknown,Retired
17,Karl Aigner,Unknown,177,47,0,15.912,N/A,Aigner,Unknown,2,1,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/karl-aigner/profil/spieler/564260,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.07.1931,Unknown,Retired
18,Paul Halla,Unknown,76,44,0,6.840,N/A,Halla,Unknown,0,0,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/paul-halla/profil/spieler/170329,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.04.1931,Graz,---
19,Herfried Sabitzer,Unknown,103,42,0,6.960,N/A,Sabitzer,Unknown,23,1,Grazer AK 1902,Attack - Centre-Forward,"1,88 m",Austria,at,https://www.transfermarkt.us/herfried-sabitzer/profil/spieler/8167,https://img.a.transfermarkt.technology/portrait/small/8167-1490363909.jpg?lm=1,N/A,19.10.1969,Judenburg,Retired
20,Kurt Eigenstiller,Unknown,209,41,0,18.825,N/A,Eigenstiller,Unknown,1,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/kurt-eigenstiller/profil/spieler/292494,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1928,Unknown,---
21,Karl Philipp,Unknown,328,39,0,26.015,N/A,Philipp,Unknown,21,2,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/karl-philipp/profil/spieler/344768,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.02.1950,Unknown,Retired
22,Dominik Hackinger,Unknown,106,38,21,8.860,N/A,Hackinger,Unknown,12,0,Grazer AK 1902,Midfield - Right Midfield,"1,74 m",Austria,at,https://www.transfermarkt.us/dominik-hackinger/profil/spieler/52801,https://img.a.transfermarkt.technology/portrait/small/52801-1615211593.jpg?lm=1,N/A,19.11.1988,Unknown,Retired
23,Dieter Ramusch,Unknown,360,37,12,29.546,N/A,Ramusch,Unknown,43,0,Grazer AK 1902,Defender - Right-Back,"1,75 m",Austria,at,https://www.transfermarkt.us/dieter-ramusch/profil/spieler/5003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.10.1969,Traundorf bei Globasnitz,Retired
24,Erwin Hohenwarter,Unknown,306,37,0,26.862,N/A,Hohenwarter,Unknown,13,1,Grazer AK 1902,Defender - Sweeper,,Austria,at,https://www.transfermarkt.us/erwin-hohenwarter/profil/spieler/100872,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.12.1947,Maria Lankowitz,---
25,Harald Rebernig,Unknown,178,34,1,15.107,N/A,Rebernig,Unknown,1,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/harald-rebernig/profil/spieler/377047,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.10.1943,Unknown,Retired
