rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lawrence Shankland,Unknown,130,63,21,10.895,N/A,Shankland,#9,29,0,Heart of Midlothian FC,Attack - Centre-Forward,"1,85 m",Scotland,unknown,https://www.transfermarkt.us/lawrence-shankland/profil/spieler/225744,https://img.a.transfermarkt.technology/portrait/small/225744-1710925414.jpg?lm=1,N/A,10.08.1995,Glasgow,Heart of Midlothian FC
2,Jamie Walker,James Walker,240,55,43,16.282,N/A,Walker,#7,35,0,Heart of Midlothian FC,Midfield - Attacking Midfield,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/jamie-walker/profil/spieler/72518,https://img.a.transfermarkt.technology/portrait/small/72518-1625562844.jpg?lm=1,N/A,25.06.1993,Edinburgh,Bradford City
3,Colin Cameron,Unknown,149,49,14,12.849,N/A,Cameron,Unknown,17,1,Heart of Midlothian FC,Midfield - Central Midfield,"1,73 m",Scotland,unknown,https://www.transfermarkt.us/colin-cameron/profil/spieler/4240,https://img.a.transfermarkt.technology/portrait/small/4240-1542017833.jpg?lm=1,N/A,23.10.1972,Kirkcaldy,Retired
4,Rudi Skacel,Rudolf Skácel,108,48,18,8.331,N/A,Skacel,Unknown,21,0,Heart of Midlothian FC,Midfield - Left Midfield,,Czech Republic,cz,https://www.transfermarkt.us/rudi-skacel/profil/spieler/9524,https://img.a.transfermarkt.technology/portrait/small/9524-1468575585.jpg?lm=1,N/A,17.07.1979,Trutnov,Retired
5,Callum Paterson,Callum Thomas Owen Paterson,162,39,21,13.675,N/A,Paterson,#13,34,2,Heart of Midlothian FC,Attack - Centre-Forward,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/callum-paterson/profil/spieler/169555,https://img.a.transfermarkt.technology/portrait/small/169555-1723553606.jpg?lm=1,N/A,13.10.1994,London,Sheffield Wednesday
6,Paul Hartley,Paul James Hartley,149,38,32,12.444,N/A,Hartley,Unknown,23,0,Heart of Midlothian FC,Midfield - Central Midfield,"1,73 m",Scotland,unknown,https://www.transfermarkt.us/paul-hartley/profil/spieler/12591,https://img.a.transfermarkt.technology/portrait/small/12591-1590137019.jpg?lm=1,N/A,19.10.1976,Hamilton,Retired
7,Liam Boyce,Unknown,124,36,21,8.127,N/A,Boyce,#27,8,0,Heart of Midlothian FC,Attack - Centre-Forward,"1,84 m",Northern Ireland,unknown,https://www.transfermarkt.us/liam-boyce/profil/spieler/117793,https://img.a.transfermarkt.technology/portrait/small/117793-1731012098.jpg?lm=1,N/A,08.04.1991,Belfast,Derry City
8,Andy Kirk,Andrew Kirk,133,35,4,7.007,N/A,Kirk,Unknown,4,0,Heart of Midlothian FC,Attack - Centre-Forward,"1,82 m",Northern Ireland,unknown,https://www.transfermarkt.us/andy-kirk/profil/spieler/12594,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.05.1979,Belfast,Retired
9,Mark de Vries,Mark Lyndon Patrick de Vries,90,33,16,6.923,N/A,de Vries,Unknown,15,0,Heart of Midlothian FC,Attack - Centre-Forward,"1,92 m",Netherlands,nl,https://www.transfermarkt.us/mark-de-vries/profil/spieler/12587,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.08.1975,Paramaribo,Retired
10,Stéphane Adam,Stéphane Lucien Adam,129,33,28,9.406,N/A,Adam,Unknown,10,1,Heart of Midlothian FC,Attack - Centre-Forward,"1,83 m",France,fr,https://www.transfermarkt.us/stephane-adam/profil/spieler/157670,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1969,Lille,Retired
