rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Leandro Netto,Leandro Netto de Macedo,110,39,11,9.082,N/A,Netto,Unknown,9,0,Henan FC,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/leandro-netto/profil/spieler/24888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.05.1979,Rio de Janeiro,Retired
2,Fernando Karanga,Unknown,76,29,12,5.742,N/A,Fernando Karanga,#7,19,2,Henan FC,Attack - Centre-Forward,"1,91 m",Brazil,br,https://www.transfermarkt.us/fernando-karanga/profil/spieler/118654,https://img.a.transfermarkt.technology/portrait/small/118654-1553681630.jpg?lm=1,N/A,14.04.1991,Camaragibe,Dalian Yingbo
3,Christian Bassogog,Christian Mougang Bassogog,85,26,19,7.072,N/A,Bassogog,#13,5,0,Henan FC,Attack - Right Winger,"1,73 m",Cameroon,cm,https://www.transfermarkt.us/christian-bassogog/profil/spieler/374281,https://img.a.transfermarkt.technology/portrait/small/374281-1712157860.png?lm=1,N/A,18.10.1995,Bamenda,Al-Okhdood Club
4,Ivo,Unknown,124,25,37,10.643,N/A,Ivo,Unknown,15,0,Henan FC,Midfield - Attacking Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/ivotm/profil/spieler/55499,https://img.a.transfermarkt.technology/portrait/small/s_55499_7178_2012_1.jpg?lm=1,N/A,02.10.1986,Palmitinho,Without Club
5,Javier Patiño,Javier Patiño Lachica,64,23,7,4.933,N/A,Patiño,Unknown,11,0,Henan FC,Attack - Centre-Forward,"1,83 m",Philippines,ph,https://www.transfermarkt.us/javier-patino/profil/spieler/190504,https://img.a.transfermarkt.technology/portrait/small/190504-1585212855.jpg?lm=1,N/A,14.02.1988,San Sebastián de los Reyes,Retired
6,Henrique Dourado,Unknown,54,23,5,4.485,N/A,Henrique Dourado,Unknown,12,1,Henan FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/henrique-dourado/profil/spieler/270959,https://img.a.transfermarkt.technology/portrait/small/270959-1445519735.jpg?lm=1,N/A,15.09.1989,Guarulhos,Botafogo FC
7,Nemanja Covic,Немања Човић,51,22,4,3.822,N/A,Covic,#7,9,2,Henan FC,Attack - Centre-Forward,"1,85 m",Serbia,rs,https://www.transfermarkt.us/nemanja-covic/profil/spieler/128315,https://img.a.transfermarkt.technology/portrait/small/128315-1596787616.jpg?lm=1,N/A,18.06.1991,Novi Sad,Suzhou Dongwu
8,Yang Xu,徐洋,173,19,17,13.382,N/A,Xu,Unknown,6,0,Henan FC,Midfield - Left Midfield,"1,72 m",China,cn,https://www.transfermarkt.us/yang-xu/profil/spieler/148185,https://img.a.transfermarkt.technology/portrait/small/148185-1566207518.jpg?lm=1,N/A,18.06.1987,"Qingdao, Shandong",Without Club
9,Zhi Xiao,肖智,144,18,5,6.666,N/A,Xiao,Unknown,17,0,Henan FC,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/zhi-xiao/profil/spieler/148184,https://img.a.transfermarkt.technology/portrait/small/148184-1563265599.jpg?lm=1,N/A,28.05.1985,"Luoyang, Henan",Retired
10,Zichang Huang,黄紫昌,96,17,14,5.829,N/A,Huang,#10,8,0,Henan FC,Attack - Right Winger,"1,73 m",China,cn,https://www.transfermarkt.us/zichang-huang/profil/spieler/437944,https://img.a.transfermarkt.technology/portrait/small/437944-1526468716.jpg?lm=1,N/A,04.04.1997,"Putian, Fujian",Henan FC
