rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Kristijan Lovric,Kristijan Lovrić,120,54,28,9.276,N/A,Lovric,#44,34,0,HNK Gorica,Attack - Left Winger,"1,86 m",Croatia,hr,https://www.transfermarkt.us/kristijan-lovric/profil/spieler/294401,https://img.a.transfermarkt.technology/portrait/small/294401-1663607207.jpg?lm=1,N/A,01.12.1995,Ogulin,Amed SK
2,Lukasz Zwolinski,Łukasz Zwoliński,54,23,4,3.991,N/A,Zwolinski,#99,10,0,HNK Gorica,Attack - Centre-Forward,"1,84 m",Poland,pl,https://www.transfermarkt.us/lukasz-zwolinski/profil/spieler/220740,https://img.a.transfermarkt.technology/portrait/small/220740-1669218562.png?lm=1,N/A,24.02.1993,Szczecin,Wisla Kraków
3,Benjamin Tatar,Unknown,47,21,0,4.062,N/A,Tatar,#32,5,0,HNK Gorica,Attack - Left Winger,"1,80 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/benjamin-tatar/profil/spieler/317487,https://img.a.transfermarkt.technology/portrait/small/317487-1570565561.jpg?lm=1,N/A,18.05.1994,Sarajevo,FK Sloga Meridian
4,Matija Dvornekovic,Matija Dvorneković,173,20,17,9.608,N/A,Dvornekovic,Unknown,24,0,HNK Gorica,Attack - Right Winger,"1,77 m",Croatia,hr,https://www.transfermarkt.us/matija-dvornekovic/profil/spieler/98122,https://img.a.transfermarkt.technology/portrait/small/98122-1601583928.jpg?lm=1,N/A,01.01.1989,Zagreb,Retired
5,Josip Mitrovic,Josip Mitrović,130,20,13,8.184,N/A,Mitrovic,#28,16,1,HNK Gorica,Attack - Right Winger,"1,74 m",Croatia,hr,https://www.transfermarkt.us/josip-mitrovic/profil/spieler/464332,https://img.a.transfermarkt.technology/portrait/small/464332-1697567398.JPG?lm=1,N/A,11.06.2000,Osijek,Fortuna Sittard
6,Cherif Ndiaye,Pape Cherif Ndiaye,55,19,6,3.962,N/A,Ndiaye,#9,7,0,HNK Gorica,Attack - Centre-Forward,"1,90 m",Senegal,sn,https://www.transfermarkt.us/cherif-ndiaye/profil/spieler/480705,https://img.a.transfermarkt.technology/portrait/small/480705-1695020350.jpg?lm=1,N/A,23.01.1996,Dakar,Red Star Belgrade
7,Iyayi Atiemwen,Iyayi Believe Atiemwen,40,14,4,3.101,N/A,Atiemwen,#88,9,0,HNK Gorica,Attack - Left Winger,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/iyayi-atiemwen/profil/spieler/419597,https://img.a.transfermarkt.technology/portrait/small/419597-1657779331.png?lm=1,N/A,24.01.1996,Ogbe,Al-Najaf FC
8,Domagoj Abramovic,Domagoj Abramović,39,14,1,3.444,N/A,Abramovic,Unknown,5,0,HNK Gorica,Attack - Centre-Forward,"1,84 m",Croatia,hr,https://www.transfermarkt.us/domagoj-abramovic/profil/spieler/28373,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.1981,Zagreb,Retired
9,Marin Pejic,Marin Pejić,38,14,0,1.811,N/A,Pejic,Unknown,4,0,HNK Gorica,Attack,"1,77 m",Croatia,hr,https://www.transfermarkt.us/marin-pejic/profil/spieler/197073,https://img.a.transfermarkt.technology/portrait/small/197073-1426690229.jpg?lm=1,N/A,14.01.1990,Tuzla,NK Zagreb
10,Ognjen Mudrinski,Огњен Мудрински,42,13,4,1.749,N/A,Mudrinski,#9,2,0,HNK Gorica,Attack - Centre-Forward,"1,86 m",Serbia,rs,https://www.transfermarkt.us/ognjen-mudrinski/profil/spieler/139918,https://img.a.transfermarkt.technology/portrait/small/139918-1702406326.jpg?lm=1,N/A,15.11.1991,Srbobran,SSD Akragas
11,Hrvoje Jancetic,Hrvoje Jančetić,157,13,0,13.371,N/A,Jancetic,Unknown,34,1,HNK Gorica,Defender,"1,76 m",Croatia,hr,https://www.transfermarkt.us/hrvoje-jancetic/profil/spieler/28094,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.02.1981,Zagreb,Retired
