rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrej Kramaric,Andrej Kramarić,65,55,7,5.001,N/A,Kramaric,#27,6,0,HNK Rijeka,Midfield - Attacking Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/andrej-kramaric/profil/spieler/46580,https://img.a.transfermarkt.technology/portrait/small/46580-1657201316.jpg?lm=1,N/A,19.06.1991,Zagreb,TSG 1899 Hoffenheim
2,Antonio Colak,Antonio-Mirko Čolak,91,51,15,6.367,N/A,Colak,#17,12,0,HNK Rijeka,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/antonio-colak/profil/spieler/160668,https://img.a.transfermarkt.technology/portrait/small/160668-1613847769.jpg?lm=1,N/A,17.09.1993,Ludwigsburg,Spezia Calcio
3,Alexander Gorgon,Unknown,127,42,14,9.024,N/A,Gorgon,#20,15,0,HNK Rijeka,Midfield - Attacking Midfield,"1,85 m",Austria,at,https://www.transfermarkt.us/alexander-gorgon/profil/spieler/45425,https://img.a.transfermarkt.technology/portrait/small/45425-1726214455.png?lm=1,N/A,28.10.1988,Wien,SCR Altach
4,Anas Sharbini,Unknown,165,42,44,12.098,N/A,Sharbini,Unknown,38,0,HNK Rijeka,Attack - Left Winger,"1,80 m",Croatia,hr,https://www.transfermarkt.us/anas-sharbini/profil/spieler/34458,https://img.a.transfermarkt.technology/portrait/small/34458-1456242261.jpg?lm=1,N/A,21.02.1987,Rijeka,NK Rjecina Drazice
5,Leon Benko,Unknown,63,42,8,5.294,N/A,Benko,Unknown,9,0,HNK Rijeka,Attack - Centre-Forward,"1,82 m",Croatia,hr,https://www.transfermarkt.us/leon-benko/profil/spieler/27824,https://img.a.transfermarkt.technology/portrait/small/27824-1460581295.jpg?lm=1,N/A,11.11.1983,Varazdin,Retired
6,Mario Gavranovic,Mario Gavranović,80,40,13,5.904,N/A,Gavranovic,Unknown,9,0,HNK Rijeka,Attack - Centre-Forward,"1,75 m",Switzerland,ch,https://www.transfermarkt.us/mario-gavranovic/profil/spieler/61380,https://img.a.transfermarkt.technology/portrait/small/61380-1669739856.png?lm=1,N/A,24.11.1989,Lugano,Retired
7,Ahmad Sharbini,Unknown,67,40,9,4.549,N/A,Sharbini,Unknown,10,1,HNK Rijeka,Attack - Centre-Forward,"1,84 m",Croatia,hr,https://www.transfermarkt.us/ahmad-sharbini/profil/spieler/27932,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.02.1984,Rijeka,OSK Omisalj
8,Robert Muric,Robert Murić,123,38,26,7.640,N/A,Muric,#9,9,0,HNK Rijeka,Attack - Right Winger,"1,80 m",Croatia,hr,https://www.transfermarkt.us/robert-muric/profil/spieler/226085,https://img.a.transfermarkt.technology/portrait/small/226085-1696345602.png?lm=1,N/A,12.03.1996,Varaždin,NS Mura
9,Franko Andrijasevic,Franko Andrijašević,101,37,20,8.509,N/A,Andrijasevic,#11,17,1,HNK Rijeka,Midfield - Attacking Midfield,"1,88 m",Croatia,hr,https://www.transfermarkt.us/franko-andrijasevic/profil/spieler/107377,https://img.a.transfermarkt.technology/portrait/small/107377-1489422144.jpg?lm=1,N/A,22.06.1991,Split,Zhejiang FC
10,Radomir Djalovic,Радомир Ђаловић,74,33,15,6.337,N/A,Djalovic,Unknown,13,0,HNK Rijeka,Attack - Centre-Forward,Unknown,Montenegro,me,https://www.transfermarkt.us/radomir-djalovic/profil/spieler/28954,https://img.a.transfermarkt.technology/portrait/small/28954-1490951638.jpg?lm=1,N/A,29.10.1982,Bijelo Polje,Retired
