rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ermin Zec,Unknown,79,33,11,6.524,N/A,Zec,Unknown,17,1,HNK Sibenik,Attack - Left Winger,"1,79 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/ermin-zec/profil/spieler/51350,https://img.a.transfermarkt.technology/portrait/small/51350-1645970458.jpg?lm=1,N/A,18.02.1988,Bugojno,Retired
2,Mehmed Alispahic,Mehmed Alispahić,132,25,22,11.018,N/A,Alispahic,Unknown,37,1,HNK Sibenik,Midfield - Central Midfield,"1,77 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/mehmed-alispahic/profil/spieler/51958,https://img.a.transfermarkt.technology/portrait/small/51958-1616335142.jpg?lm=1,N/A,24.11.1987,Bugojno,NK Junak Sinj
3,Ivan Delic,Ivan Delić,79,22,11,4.504,N/A,Delic,#19,5,0,HNK Sibenik,Attack - Centre-Forward,"1,86 m",Croatia,hr,https://www.transfermarkt.us/ivan-delic/profil/spieler/317023,https://img.a.transfermarkt.technology/portrait/small/317023-1675954812.jpg?lm=1,N/A,29.09.1998,Split,NK Bravo
4,Josip Males,Josip Maleš,112,21,1,6.722,N/A,Males,Unknown,12,0,HNK Sibenik,Midfield - Attacking Midfield,"1,88 m",Croatia,hr,https://www.transfermarkt.us/josip-males/profil/spieler/155566,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.10.1991,Sibenik,DOSK Drnis
5,Davor Kukec,Unknown,59,21,4,4.749,N/A,Kukec,#8,13,0,HNK Sibenik,Midfield - Attacking Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/davor-kukec/profil/spieler/34440,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.03.1986,Zagreb,ASKÖ Oedt II
6,Miro Slavica,Unknown,79,20,0,5.227,N/A,Slavica,Unknown,10,0,HNK Sibenik,Attack - Centre-Forward,"1,86 m",Croatia,hr,https://www.transfermarkt.us/miro-slavica/profil/spieler/216908,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.06.1991,Sibenik,Without Club
7,Marko Kartelo,Unknown,102,19,5,8.963,N/A,Kartelo,Unknown,14,0,HNK Sibenik,Defender - Centre-Back,"1,89 m",Croatia,hr,https://www.transfermarkt.us/marko-kartelo/profil/spieler/44226,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1981,Šibenik,Retired
8,Prince Ampem,Prince Obeng Ampem,96,19,7,6.908,N/A,Ampem,#40,12,0,HNK Sibenik,Attack - Left Winger,"1,69 m",Ghana,gh,https://www.transfermarkt.us/prince-ampem/profil/spieler/562734,https://img.a.transfermarkt.technology/portrait/small/562734-1730285769.jpg?lm=1,N/A,13.04.1998,Sunyani,Eyüpspor
9,Stipe Bacelic-Grgic,Stipe Bačelić-Grgić,99,17,6,6.083,N/A,Bacelic-Grgic,Unknown,19,0,HNK Sibenik,Midfield - Central Midfield,"1,87 m",Croatia,hr,https://www.transfermarkt.us/stipe-bacelic-grgic/profil/spieler/40632,https://img.a.transfermarkt.technology/portrait/small/40632-1501445200.jpg?lm=1,N/A,16.02.1988,Sibenik,Retired
10,Ivan Bozic,Ivan Božić,57,15,10,4.209,N/A,Bozic,#9,11,0,HNK Sibenik,Attack - Centre-Forward,"1,81 m",Croatia,hr,https://www.transfermarkt.us/ivan-bozic/profil/spieler/392306,https://img.a.transfermarkt.technology/portrait/small/392306-1598824275.jpg?lm=1,N/A,08.06.1997,Vinkovci,HNK Sibenik
11,Josip Majic,Josip Majić,53,15,7,3.734,N/A,Majic,#7,10,0,HNK Sibenik,Attack - Left Winger,"1,87 m",Croatia,hr,https://www.transfermarkt.us/josip-majic/profil/spieler/285457,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1994,Zadar,HNK Sibenik
12,Franjo Tepuric,Franjo Tepurić,25,12,0,2.102,N/A,Tepuric,Unknown,2,0,HNK Sibenik,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/franjo-tepuric/profil/spieler/41081,https://img.a.transfermarkt.technology/portrait/small/s_41081_223_2012_1.jpg?lm=1,N/A,10.02.1990,Jajce,Bergsøy IL
13,Luka Celic,Luka Celić,94,12,0,4.714,N/A,Celic,Unknown,6,0,HNK Sibenik,Midfield - Attacking Midfield,"1,86 m",Croatia,hr,https://www.transfermarkt.us/luka-celic/profil/spieler/391381,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1997,Šibenik,NK Vodice
