rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gerd Koll,Unknown,253,135,0,22.680,N/A,Koll,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/gerd-koll/profil/spieler/397574,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.1938,Rendsburg,---
2,Alfred Bornemann,Unknown,222,114,0,20.010,N/A,Bornemann,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/alfred-bornemann/profil/spieler/482720,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.10.1932,Bad Schwartau,Retired
3,Dmitrijus Guscinas,Dmitrijus Guščinas,217,87,4,15.545,N/A,Guscinas,14,7,0,Holstein Kiel,Attack - Centre-Forward,"1,87 m",Lithuania,lt,https://www.transfermarkt.us/dmitrijus-guscinas/profil/spieler/2043,https://img.a.transfermarkt.technology/portrait/small/Y_d_s_2043_269_2009_1.jpg?lm=1,N/A,12.12.1975,Vilnius,Retired
4,Marc Heider,Unknown,241,85,53,16.979,N/A,Heider,Unknown,26,1,Holstein Kiel,Attack - Centre-Forward,"1,87 m",United States,us,https://www.transfermarkt.us/marc-heider/profil/spieler/31968,https://img.a.transfermarkt.technology/portrait/small/31968-1724007625.jpg?lm=1,N/A,18.05.1986,"Sacramento, California",Sportfreunde Lotte
5,Gerd Saborowski,Unknown,92,74,0,8.280,N/A,Saborowski,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/gerd-saborowski/profil/spieler/110205,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.09.1943,Altendorf,Retired
6,Carsten Nemitz,Unknown,125,71,0,10.860,N/A,Nemitz,Unknown,0,0,Holstein Kiel,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/carsten-nemitz/profil/spieler/114204,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.03.1963,Neumünster,Retired
7,André Bistram,Unknown,142,66,0,10.742,N/A,Bistram,Unknown,0,0,Holstein Kiel,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/andre-bistram/profil/spieler/95028,https://img.a.transfermarkt.technology/portrait/small/95028-1497879886.jpg?lm=1,N/A,25.03.1962,Kiel,Retired
8,Horst Martinsen,Unknown,105,54,0,9.450,N/A,Martinsen,Unknown,0,0,Holstein Kiel,Attack,Unknown,Germany,de,https://www.transfermarkt.us/horst-martinsen/profil/spieler/482721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.11.1938,Unknown,Retired
9,Axel Möller,Unknown,193,53,0,13.933,N/A,Möller,Unknown,7,1,Holstein Kiel,Attack,,Germany,de,https://www.transfermarkt.us/axel-moller/profil/spieler/109295,https://img.a.transfermarkt.technology/portrait/small/109295-1656336216.jpg?lm=1,N/A,22.09.1957,Flintbek,Retired
10,Hans-Peter Ehlers,Unknown,372,49,0,33.510,N/A,Ehlers,Unknown,0,0,Holstein Kiel,Midfield - Central Midfield,,Germany,de,https://www.transfermarkt.us/hans-peter-ehlers/profil/spieler/397570,https://img.a.transfermarkt.technology/portrait/small/397570-1649066137.jpg?lm=1,N/A,22.01.1933,Kiel,---
