rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Brian Ching,Unknown,223,69,28,15.157,N/A,Ching,Unknown,12,3,Houston Dynamo FC,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/brian-ching/profil/spieler/26227,https://img.a.transfermarkt.technology/portrait/small/26227-1591807978.jpg?lm=1,N/A,24.05.1978,"Hale'iwa, Hawaii",Retired
2,Mauro Manotas,Mauro Andrés Manotas Páez,167,64,18,10.982,N/A,Manotas,#11,7,1,Houston Dynamo FC,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/mauro-manotas/profil/spieler/325614,https://img.a.transfermarkt.technology/portrait/small/325614-1583526846.jpg?lm=1,N/A,15.07.1995,Sabanalarga,Atlas Guadalajara
3,Will Bruin,William Christopher Bruin,199,57,22,14.030,N/A,Bruin,Unknown,9,0,Houston Dynamo FC,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/will-bruin/profil/spieler/173486,https://img.a.transfermarkt.technology/portrait/small/173486-1678035291.jpg?lm=1,N/A,24.10.1989,"St. Louis, Missouri",Retired
4,Brad Davis,Bradley Joseph Davis,327,45,97,25.933,N/A,Davis,Unknown,35,2,Houston Dynamo FC,Midfield - Left Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/brad-davis/profil/spieler/39842,https://img.a.transfermarkt.technology/portrait/small/39842-1464161953.jpg?lm=1,N/A,08.11.1981,"Saint Charles, Missouri",Retired
5,Alberth Elis,Alberth Josué Elis Martínez,101,35,28,7.440,N/A,Elis,#29,23,2,Houston Dynamo FC,Attack - Right Winger,"1,85 m",Honduras,hn,https://www.transfermarkt.us/alberth-elis/profil/spieler/281319,https://img.a.transfermarkt.technology/portrait/small/281319-1583528185.jpg?lm=1,N/A,12.02.1996,San Pedro Sula,CD Olimpia
6,Giles Barnes,Giles Gordon Kirlue Barnes,130,33,13,10.205,N/A,Barnes,Unknown,12,0,Houston Dynamo FC,Attack - Centre-Forward,"1,83 m",Jamaica,jm,https://www.transfermarkt.us/giles-barnes/profil/spieler/37236,https://img.a.transfermarkt.technology/portrait/small/37236-1532118893.jpg?lm=1,N/A,05.08.1988,Barking,Retired
7,Dwayne de Rosario,Dwayne Anthony De Rosario,109,31,11,8.864,N/A,de Rosario,Unknown,19,3,Houston Dynamo FC,Midfield - Attacking Midfield,"1,80 m",Canada,ca,https://www.transfermarkt.us/dwayne-de-rosario/profil/spieler/38214,https://img.a.transfermarkt.technology/portrait/small/38214-1586203812.jpg?lm=1,N/A,15.05.1978,"Scarborough, Ontario",Retired
8,Ricardo Clark,Ricardo Anthony Clark,302,31,17,25.212,N/A,Clark,Unknown,46,3,Houston Dynamo FC,Midfield - Central Midfield,"1,78 m",United States,us,https://www.transfermarkt.us/ricardo-clark/profil/spieler/39840,https://img.a.transfermarkt.technology/portrait/small/39840-1551258379.jpg?lm=1,N/A,10.02.1983,"Atlanta, Georgia",Retired
9,Stuart Holden,Stuart Alistair Holden,118,22,13,7.204,N/A,Holden,Unknown,9,0,Houston Dynamo FC,Midfield - Central Midfield,"1,78 m",United States,us,https://www.transfermarkt.us/stuart-holden/profil/spieler/30071,https://img.a.transfermarkt.technology/portrait/small/30071-1606066306.jpg?lm=1,N/A,01.08.1985,Aberdeen,Retired
10,Memo Rodríguez,José Guillermo Rodríguez,147,21,10,7.750,N/A,Rodríguez,#8,19,0,Houston Dynamo FC,Midfield - Attacking Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/memo-rodriguez/profil/spieler/367063,https://img.a.transfermarkt.technology/portrait/small/367063-1741026435.jpg?lm=1,N/A,27.12.1995,"Wharton, Texas",Sporting Kansas City
11,Amine Bassi,أمين باسي,88,19,15,6.871,N/A,Bassi,#8,8,1,Houston Dynamo FC,Midfield - Attacking Midfield,"1,73 m",Morocco,ma,https://www.transfermarkt.us/amine-bassi/profil/spieler/506009,https://img.a.transfermarkt.technology/portrait/small/506009-1740864018.jpg?lm=1,N/A,27.11.1997,Bezons,Houston Dynamo FC
12,Sebastián Ferreira,Carlos Sebastián Ferreira Vidal,67,19,6,3.672,N/A,Ferreira,#11,5,0,Houston Dynamo FC,Attack - Centre-Forward,"1,80 m",Paraguay,py,https://www.transfermarkt.us/sebastian-ferreira/profil/spieler/401727,https://img.a.transfermarkt.technology/portrait/small/401727-1742571261.png?lm=1,N/A,13.02.1998,Asunción,CA Rosario Central
13,Darwin Quintero,Carlos Darwin Quintero Villalba,74,18,14,4.566,N/A,Quintero,#7,12,0,Houston Dynamo FC,Midfield - Attacking Midfield,"1,66 m",Colombia,co,https://www.transfermarkt.us/darwin-quintero/profil/spieler/55666,https://img.a.transfermarkt.technology/portrait/small/55666-1647680041.jpg?lm=1,N/A,19.09.1987,Tumaco,Deportivo Pereira
14,Fafà Picault,Fabrice Jean-Ian Picault,63,18,7,4.896,N/A,Picault,#7,15,0,Houston Dynamo FC,Attack - Left Winger,"1,73 m",Haiti,ht,https://www.transfermarkt.us/fafa-picault/profil/spieler/216683,https://img.a.transfermarkt.technology/portrait/small/216683-1740775343.jpg?lm=1,N/A,23.02.1991,"New York City, New York",Inter Miami CF
15,Corey Baird,Corey Jacob Baird,80,17,13,5.237,N/A,Baird,#11,7,0,Houston Dynamo FC,Attack - Centre-Forward,"1,78 m",United States,us,https://www.transfermarkt.us/corey-baird/profil/spieler/336182,https://img.a.transfermarkt.technology/portrait/small/336182-1741200476.jpg?lm=1,N/A,30.01.1996,"Poway, California",FC Cincinnati
16,Romell Quioto,Romell Samir Quioto Robinson,85,17,14,5.067,N/A,Quioto,#91,14,1,Houston Dynamo FC,Attack - Centre-Forward,"1,80 m",Honduras,hn,https://www.transfermarkt.us/romell-quioto/profil/spieler/221907,https://img.a.transfermarkt.technology/portrait/small/221907-1678525170.jpg?lm=1,N/A,09.08.1991,Balfate,Al-Arabi SC
17,Cam Weaver,William Cameron Weaver,109,17,6,5.199,N/A,Weaver,Unknown,8,1,Houston Dynamo FC,Attack - Centre-Forward,"1,95 m",United States,us,https://www.transfermarkt.us/cam-weaver/profil/spieler/62024,https://img.a.transfermarkt.technology/portrait/small/62024-1605729449.jpg?lm=1,N/A,06.10.1983,"Kent, Washington",Retired
18,Boniek García,Óscar Boniek García Ramírez,266,16,32,18.726,N/A,García,Unknown,48,0,Houston Dynamo FC,Midfield - Central Midfield,"1,76 m",Honduras,hn,https://www.transfermarkt.us/boniek-garcia/profil/spieler/62241,https://img.a.transfermarkt.technology/portrait/small/62241-1618674793.jpg?lm=1,N/A,04.09.1984,Tegucigalpa,Retired
19,Bobby Boswell,Robert Allen Boswell,233,15,4,20.507,N/A,Boswell,Unknown,37,1,Houston Dynamo FC,Defender - Centre-Back,"1,88 m",United States,us,https://www.transfermarkt.us/bobby-boswell/profil/spieler/39400,https://img.a.transfermarkt.technology/portrait/small/39400-1606064879.jpg?lm=1,N/A,15.03.1983,"Austin, Texas",Retired
20,Geoff Cameron,Geoffrey Scott Cameron,146,14,15,11.497,N/A,Cameron,Unknown,22,1,Houston Dynamo FC,Defender - Centre-Back,"1,90 m",United States,us,https://www.transfermarkt.us/geoff-cameron/profil/spieler/31642,https://img.a.transfermarkt.technology/portrait/small/31642-1646524546.png?lm=1,N/A,11.07.1985,"Attleboro, Massachusetts",Retired
21,Érick Torres,Érick Estefano Torres Padilla,54,14,5,2.954,N/A,Torres,Unknown,9,0,Houston Dynamo FC,Attack - Centre-Forward,"1,83 m",Mexico,mx,https://www.transfermarkt.us/erick-torres/profil/spieler/170016,https://img.a.transfermarkt.technology/portrait/small/170016-1618606362.JPG?lm=1,N/A,19.01.1993,Guadalajara,CS Herediano
22,Tomás Martínez,Unknown,98,14,11,6.619,N/A,Martínez,#10,13,2,Houston Dynamo FC,Midfield - Attacking Midfield,"1,71 m",Argentina,ar,https://www.transfermarkt.us/tomas-martinez/profil/spieler/271438,https://img.a.transfermarkt.technology/portrait/small/271438-1678476082.jpg?lm=1,N/A,07.03.1995,Béccar,FBC Melgar
23,Griffin Dorsey,Griffin Lawrence Dorsey,130,13,13,9.577,N/A,Dorsey,#25,30,1,Houston Dynamo FC,Defender - Right-Back,"1,82 m",United States,us,https://www.transfermarkt.us/griffin-dorsey/profil/spieler/405187,https://img.a.transfermarkt.technology/portrait/small/405187-1740864027.jpg?lm=1,N/A,05.03.1999,"Evergreen, Colorado",Houston Dynamo FC
24,Nate Jaqua,Jonathan Jaqua,45,13,5,3.036,N/A,Jaqua,Unknown,7,0,Houston Dynamo FC,Attack - Centre-Forward,"1,91 m",United States,us,https://www.transfermarkt.us/nate-jaqua/profil/spieler/39275,https://img.a.transfermarkt.technology/portrait/small/39275-1589276429.jpg?lm=1,N/A,28.10.1981,"Eugene, Oregon",Retired
25,Joseph Ngwenya,Joseph Mpumelelo Ngwenya,49,12,6,3.369,N/A,Ngwenya,Unknown,8,2,Houston Dynamo FC,Midfield - Attacking Midfield,"1,85 m",Zimbabwe,zw,https://www.transfermarkt.us/joseph-ngwenya/profil/spieler/27655,https://img.a.transfermarkt.technology/portrait/small/27655-1607173589.jpg?lm=1,N/A,30.03.1981,Plumtree,Retired
26,Andrew Wenger,James Andrew Wenger,82,12,6,5.420,N/A,Wenger,Unknown,8,0,Houston Dynamo FC,Attack - Right Winger,"1,83 m",United States,us,https://www.transfermarkt.us/andrew-wenger/profil/spieler/206799,https://img.a.transfermarkt.technology/portrait/small/206799-1521310074.JPG?lm=1,N/A,25.12.1990,"Lancaster, Pennsylvania",Retired
27,Ibrahim Aliyu,Unknown,86,12,8,5.107,N/A,Aliyu,#18,8,0,Houston Dynamo FC,Attack - Centre-Forward,"1,84 m",Nigeria,ng,https://www.transfermarkt.us/ibrahim-aliyu/profil/spieler/647958,https://img.a.transfermarkt.technology/portrait/small/647958-1740863823.jpg?lm=1,N/A,16.01.2002,Kano,Houston Dynamo FC
28,Kei Kamara,Kei Ansu Kamara,47,12,2,3.225,N/A,Kamara,Unknown,7,1,Houston Dynamo FC,Attack - Centre-Forward,"1,88 m",Sierra Leone,sl,https://www.transfermarkt.us/kei-kamara/profil/spieler/39049,https://img.a.transfermarkt.technology/portrait/small/39049-1720286952.jpg?lm=1,N/A,01.09.1984,Kenema,Without Club
29,Brian Mullan,Unknown,181,12,26,14.386,N/A,Mullan,Unknown,27,0,Houston Dynamo FC,Midfield - Right Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/brian-mullan/profil/spieler/39850,https://img.a.transfermarkt.technology/portrait/small/39850-1595177303.jpg?lm=1,N/A,23.04.1978,"Mineola, New York",Retired
30,Alex Lima,Unknown,88,11,10,6.327,N/A,Alex Lima,#14,13,1,Houston Dynamo FC,Midfield - Central Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/alex-lima/profil/spieler/82502,https://img.a.transfermarkt.technology/portrait/small/82502-1489693469.JPG?lm=1,N/A,15.12.1988,São Paulo,Without Club
31,Adalberto Carrasquilla,Adalberto Eliécer Carrasquilla Alcázar,116,11,17,8.825,N/A,Carrasquilla,#28,28,1,Houston Dynamo FC,Midfield - Central Midfield,"1,70 m",Panama,pa,https://www.transfermarkt.us/adalberto-carrasquilla/profil/spieler/375300,https://img.a.transfermarkt.technology/portrait/small/375300-1709581138.jpg?lm=1,N/A,28.11.1998,Panama City,UNAM Pumas
32,Dominic Oduro,Unknown,60,10,8,3.629,N/A,Oduro,Unknown,-1,0,Houston Dynamo FC,Attack - Right Winger,"1,83 m",Ghana,gh,https://www.transfermarkt.us/dominic-oduro/profil/spieler/40117,https://img.a.transfermarkt.technology/portrait/small/40117-1561141905.jpg?lm=1,N/A,13.08.1985,Accra,Retired
33,André Hainault,André Robert Hainault,126,10,3,10.881,N/A,Hainault,Unknown,10,0,Houston Dynamo FC,Defender - Centre-Back,"1,84 m",Canada,ca,https://www.transfermarkt.us/andre-hainault/profil/spieler/39335,https://img.a.transfermarkt.technology/portrait/small/39335-1471514071.jpg?lm=1,N/A,17.06.1986,"Vaudreuil-Dorion, Quebec",Retired
34,Adam Moffat,Adam John William Moffat,81,9,5,6.409,N/A,Moffat,Unknown,8,1,Houston Dynamo FC,Midfield - Defensive Midfield,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/adam-moffat/profil/spieler/36764,https://img.a.transfermarkt.technology/portrait/small/36764-1524243681.jpg?lm=1,N/A,15.05.1986,Glasgow,Retired
35,Thor Úlfarsson,Þorleifur Úlfarsson,61,8,2,2.017,N/A,Úlfarsson,Unknown,4,0,Houston Dynamo FC,Attack - Centre-Forward,"1,85 m",Iceland,is,https://www.transfermarkt.us/thor-ulfarsson/profil/spieler/743668,https://img.a.transfermarkt.technology/portrait/small/743668-1678034467.jpg?lm=1,N/A,27.12.2000,Reykjavík,Without Club
