rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Daniel Jiménez,Daniel Ángel Jiménez,59,26,10,4.846,N/A,Jiménez,Unknown,10,2,Instituto ACC,Attack - Centre-Forward,"1,92 m",Argentina,ar,https://www.transfermarkt.us/daniel-jimenez/profil/spieler/563115,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.12.1970,"Rafaela, Provincia de Santa Fe",Retired
2,Adrián Martínez,Adrián Emmanuel Martínez,41,18,4,3.621,N/A,Martínez,#9,15,0,Instituto ACC,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/adrian-martinez/profil/spieler/598769,https://img.a.transfermarkt.technology/portrait/small/598769-1724351256.png?lm=1,N/A,07.07.1992,Campana,Racing Club
3,Santiago Rodríguez,Santiago Alejandro Rodríguez,95,18,11,5.583,N/A,Rodríguez,#7,6,0,Instituto ACC,Attack - Centre-Forward,"1,71 m",Argentina,ar,https://www.transfermarkt.us/santiago-rodriguez/profil/spieler/439437,https://img.a.transfermarkt.technology/portrait/small/439437-1717080444.jpeg?lm=1,N/A,23.08.1997,Arizona,AA Argentinos Juniors
4,Paulo Dybala,Paulo Bruno Exequiel Dybala,40,17,0,3.196,N/A,Dybala,#21,3,0,Instituto ACC,Attack - Second Striker,"1,77 m",Argentina,ar,https://www.transfermarkt.us/paulo-dybala/profil/spieler/206050,https://img.a.transfermarkt.technology/portrait/small/206050-1725530843.jpg?lm=1,N/A,15.11.1993,Laguna Larga,AS Roma
5,Gustavo Gotti,Unknown,82,16,1,4.426,N/A,Gotti,#7,5,0,Instituto ACC,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/gustavo-gotti/profil/spieler/267595,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.10.1993,Córdoba,CD Cobreloa
6,Gabriel Graciani,Gabriel Maximiliano Graciani,80,16,14,5.748,N/A,Graciani,#8,3,1,Instituto ACC,Midfield - Attacking Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/gabriel-graciani/profil/spieler/43491,https://img.a.transfermarkt.technology/portrait/small/43491-1679324786.JPG?lm=1,N/A,28.11.1993,Bovril,CD Ñublense
7,Pablo Vegetti,Pablo Ezequiel Vegetti Pfaffen,23,15,0,2.070,N/A,Vegetti,#99,7,0,Instituto ACC,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/pablo-vegetti/profil/spieler/334229,https://img.a.transfermarkt.technology/portrait/small/334229-1694903119.jpg?lm=1,N/A,15.10.1988,Santo Domingo,Clube de Regatas Vasco da Gama
8,Pablo Magnin,Pablo Daniel Magnin,56,15,0,4.010,N/A,Magnin,#7,8,0,Instituto ACC,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/pablo-magnin/profil/spieler/144236,https://img.a.transfermarkt.technology/portrait/small/144236-1742329388.jpg?lm=1,N/A,25.04.1990,San Jerónimo Norte,CA Sarmiento (Junin)
9,Silvio Romero,Silvio Ezequiel Romero,77,13,5,4.103,N/A,Romero,#10,4,0,Instituto ACC,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/silvio-romero/profil/spieler/88082,https://img.a.transfermarkt.technology/portrait/small/88082-1717080478.jpeg?lm=1,N/A,22.07.1988,Córdoba,Instituto ACC
10,Mateo Bajamich,Unknown,37,11,1,3.073,N/A,Bajamich,#9,4,0,Instituto ACC,Attack - Second Striker,"1,78 m",Argentina,ar,https://www.transfermarkt.us/mateo-bajamich/profil/spieler/610228,https://img.a.transfermarkt.technology/portrait/small/610228-1724864572.jpg?lm=1,N/A,03.08.1999,Morrison,Club Atlético Tucumán
