rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Adem Büyük,Unknown,172,49,30,12.159,N/A,Büyük,Unknown,42,1,Kasimpasa,Attack - Centre-Forward,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/adem-buyuk/profil/spieler/54148,https://img.a.transfermarkt.technology/portrait/small/54148-1729862957.jpg?lm=1,N/A,30.08.1987,Artvin,Retired
2,Oscar Scarione,Ezequiel Oscar Scarione,97,41,11,7.935,N/A,Scarione,Unknown,7,0,Kasimpasa,Midfield - Attacking Midfield,"1,79 m",Argentina,ar,https://www.transfermarkt.us/oscar-scarione/profil/spieler/47011,https://img.a.transfermarkt.technology/portrait/small/47011-1499952379.jpg?lm=1,N/A,14.07.1985,José Carlos Paz,Without Club
3,Aytaç Kara,Aytaç Kara,158,36,12,12.136,N/A,Kara,#35,35,0,Kasimpasa,Midfield - Central Midfield,"1,88 m",Türkiye,tr,https://www.transfermarkt.us/aytac-kara/profil/spieler/159908,https://img.a.transfermarkt.technology/portrait/small/159908-1727699171.jpg?lm=1,N/A,23.03.1993,Izmir,Kasimpasa
4,Fodé Koita,Bengali-Fodé Koita,127,34,12,8.043,N/A,Koita,#55,18,0,Kasimpasa,Attack - Centre-Forward,"1,86 m",Guinea,gn,https://www.transfermarkt.us/fode-koita/profil/spieler/79110,https://img.a.transfermarkt.technology/portrait/small/79110-1695416996.png?lm=1,N/A,21.10.1990,Paris,Sivasspor
5,Erhan Küçük,Unknown,105,33,4,8.366,N/A,Küçük,Unknown,14,0,Kasimpasa,Attack - Centre-Forward,"1,85 m",Türkiye,tr,https://www.transfermarkt.us/erhan-kucuk/profil/spieler/54533,https://img.a.transfermarkt.technology/portrait/small/54533-1486816296.jpeg?lm=1,N/A,26.02.1981,Istanbul,Retired
6,Mbaye Diagne,Unknown,36,32,4,2.887,N/A,Diagne,#9,8,1,Kasimpasa,Attack - Centre-Forward,"1,91 m",Senegal,sn,https://www.transfermarkt.us/mbaye-diagne/profil/spieler/271966,https://img.a.transfermarkt.technology/portrait/small/271966-1698422415.JPG?lm=1,N/A,28.10.1991,Dakar,NEOM SC
7,Haris Hajradinovic,"Haris Hajradinović , Харис Хајрадиновиќ",232,30,51,18.122,N/A,Hajradinovic,#10,32,1,Kasimpasa,Midfield - Attacking Midfield,"1,78 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/haris-hajradinovic/profil/spieler/215592,https://img.a.transfermarkt.technology/portrait/small/215592-1727699365.jpg?lm=1,N/A,18.02.1994,Prilep,Kasimpasa
8,Mamadou Fall,Unknown,119,28,19,9.514,N/A,Fall,#7,15,0,Kasimpasa,Attack - Right Winger,"1,84 m",Senegal,sn,https://www.transfermarkt.us/mamadou-fall/profil/spieler/289713,https://img.a.transfermarkt.technology/portrait/small/289713-1727699555.jpg?lm=1,N/A,31.12.1991,Dakar,Kasimpasa
9,Mahmoud Trezeguet,محمود حسن,71,25,18,6.214,N/A,Mahmoud Trezeguet,#8,8,1,Kasimpasa,Attack - Left Winger,"1,80 m",Egypt,eg,https://www.transfermarkt.us/mahmoud-trezeguet/profil/spieler/234189,https://img.a.transfermarkt.technology/portrait/small/234189-1740665108.jpg?lm=1,N/A,01.10.1994,Kafr El-Sheikh,Al-Rayyan SC
10,Nuno Da Costa,Nuno Miguel da Costa Jóia,54,24,9,4.472,N/A,Da Costa,#18,5,0,Kasimpasa,Attack - Centre-Forward,"1,84 m",Cape Verde,unknown,https://www.transfermarkt.us/nuno-da-costa/profil/spieler/306166,https://img.a.transfermarkt.technology/portrait/small/306166-1727699623.jpg?lm=1,N/A,10.02.1991,Praïa,Kasimpasa
11,Umut Bozok,Umut Dilan Bozok,41,20,8,2.773,N/A,Bozok,#19,3,0,Kasimpasa,Attack - Centre-Forward,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/umut-bozok/profil/spieler/259025,https://img.a.transfermarkt.technology/portrait/small/259025-1723802633.jpg?lm=1,N/A,19.09.1996,Saint-Avold,Eyüpspor
12,Kalu Uche,Kalu Tongololiki Mawakavamba Jawarapawara Uche,35,20,9,3.093,N/A,Uche,Unknown,0,0,Kasimpasa,Attack - Centre-Forward,"1,80 m",Nigeria,ng,https://www.transfermarkt.us/kalu-uche/profil/spieler/6585,https://img.a.transfermarkt.technology/portrait/small/s_6585_714_2010_1.jpg?lm=1,N/A,15.11.1982,Aba,Retired
13,Nikolay Dimitrov,Николай Емилов Димитров,66,20,6,4.333,N/A,Dimitrov,Unknown,5,0,Kasimpasa,Attack - Right Winger,"1,75 m",Bulgaria,bg,https://www.transfermarkt.us/nikolay-dimitrov/profil/spieler/44742,https://img.a.transfermarkt.technology/portrait/small/44742-1539290525.png?lm=1,N/A,15.10.1987,Ruse,Retired
14,Yılmaz Öztürk,Unknown,73,20,10,6.535,N/A,Öztürk,Unknown,0,1,Kasimpasa,Midfield - Central Midfield,Unknown,Türkiye,tr,https://www.transfermarkt.us/yilmaz-ozturk/profil/spieler/838908,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1936,Istanbul,Retired
15,Mortadha Ben Ouanes,مرتضى بن وناس,121,19,23,9.393,N/A,Ben Ouanes,#12,27,1,Kasimpasa,Attack - Left Winger,"1,82 m",Tunisia,tn,https://www.transfermarkt.us/mortadha-ben-ouanes/profil/spieler/230921,https://img.a.transfermarkt.technology/portrait/small/230921-1727699464.jpg?lm=1,N/A,02.07.1994,Sousse,Kasimpasa
16,Castro,Unknown,138,19,14,11.808,N/A,Castro,#2,25,0,Kasimpasa,Midfield - Central Midfield,"1,81 m",Portugal,pt,https://www.transfermarkt.us/castro/profil/spieler/58267,https://img.a.transfermarkt.technology/portrait/small/58267-1658746842.jpg?lm=1,N/A,02.04.1988,Gondomar,FC Porto B
17,Samuel Eduok,Samuel Emem Eduok,94,19,10,5.699,N/A,Eduok,Unknown,13,0,Kasimpasa,Attack - Right Winger,"1,76 m",Nigeria,ng,https://www.transfermarkt.us/samuel-eduok/profil/spieler/274802,https://img.a.transfermarkt.technology/portrait/small/274802-1662875963.jpg?lm=1,N/A,31.01.1994,Itu,Without Club
18,André Moritz,Unknown,67,19,3,3.968,N/A,André Moritz,Unknown,12,0,Kasimpasa,Midfield - Attacking Midfield,"1,87 m",Brazil,br,https://www.transfermarkt.us/andre-moritz/profil/spieler/39711,https://img.a.transfermarkt.technology/portrait/small/39711-1512259547.jpg?lm=1,N/A,06.08.1986,Florianópolis,Retired
19,Halil Çolak,İbrahim Halil Çolak,95,19,5,4.802,N/A,Çolak,Unknown,10,0,Kasimpasa,Attack - Left Winger,"1,76 m",Türkiye,tr,https://www.transfermarkt.us/halil-colak/profil/spieler/67638,https://img.a.transfermarkt.technology/portrait/small/67638-1579901541.jpg?lm=1,N/A,29.01.1988,Deventer,Without Club
20,Gökhan Güleç,Unknown,75,18,5,3.793,N/A,Güleç,Unknown,6,0,Kasimpasa,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/gokhan-gulec/profil/spieler/33812,https://img.a.transfermarkt.technology/portrait/small/33812-1528030333.jpg?lm=1,N/A,25.09.1985,Bursa,Retired
21,Yusuf Erdoğan,Yusuf Erdoğan,72,16,9,4.487,N/A,Erdoğan,#10,8,0,Kasimpasa,Attack - Left Winger,"1,71 m",Türkiye,tr,https://www.transfermarkt.us/yusuf-erdogan/profil/spieler/191391,https://img.a.transfermarkt.technology/portrait/small/191391-1727458656.png?lm=1,N/A,07.08.1992,Isparta,Konyaspor
22,Eren Derdiyok,Unknown,39,16,7,2.483,N/A,Derdiyok,Unknown,2,0,Kasimpasa,Attack - Centre-Forward,"1,91 m",Switzerland,ch,https://www.transfermarkt.us/eren-derdiyok/profil/spieler/47543,https://img.a.transfermarkt.technology/portrait/small/47543-1692454371.jpg?lm=1,N/A,12.06.1988,Basel,Retired
23,Ryan Donk,Ryan Henk Donk,129,14,10,10.990,N/A,Donk,Unknown,24,0,Kasimpasa,Defender - Centre-Back,"1,92 m",Suriname,sr,https://www.transfermarkt.us/ryan-donk/profil/spieler/38414,https://img.a.transfermarkt.technology/portrait/small/38414-1665495427.png?lm=1,N/A,30.03.1986,Amsterdam,Retired
24,Şahin Aygüneş,Unknown,79,14,9,4.233,N/A,Aygüneş,#11,1,0,Kasimpasa,Attack - Left Winger,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/sahin-aygunes/profil/spieler/57561,https://img.a.transfermarkt.technology/portrait/small/57561-1605730483.JPG?lm=1,N/A,01.10.1990,Ansbach,Türkspor Mannheim
25,Ryan Babel,Ryan Guno Babel,59,14,12,4.960,N/A,Babel,Unknown,12,1,Kasimpasa,Attack - Left Winger,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/ryan-babel/profil/spieler/16135,https://img.a.transfermarkt.technology/portrait/small/16135-1731318319.jpg?lm=1,N/A,19.12.1986,Amsterdam,Retired
26,Tunay Torun,Unknown,128,13,24,7.017,N/A,Torun,Unknown,23,0,Kasimpasa,Attack - Right Winger,"1,76 m",Türkiye,tr,https://www.transfermarkt.us/tunay-torun/profil/spieler/39247,https://img.a.transfermarkt.technology/portrait/small/39247-1665496536.png?lm=1,N/A,21.04.1990,Hamburg,Retired
27,Sanharib Malki,سنحاريب ملكي صباح,73,13,9,3.531,N/A,Malki,Unknown,8,0,Kasimpasa,Attack - Centre-Forward,"1,79 m",Syria,sy,https://www.transfermarkt.us/sanharib-malki/profil/spieler/20351,https://img.a.transfermarkt.technology/portrait/small/20351-1540214600.jpg?lm=1,N/A,01.03.1984,Qamischli,Retired
