rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gökhan Ünal,Unknown,189,94,17,13.402,N/A,Ünal,Unknown,36,1,Kayserispor,Attack - Centre-Forward,"1,84 m",Türkiye,tr,https://www.transfermarkt.us/gokhan-unal/profil/spieler/7394,https://img.a.transfermarkt.technology/portrait/small/7394-1478031013.jpg?lm=1,N/A,23.07.1982,Ankara,Retired
2,Mehmet Topuz,Unknown,199,43,42,16.783,N/A,Topuz,Unknown,25,2,Kayserispor,Midfield - Right Midfield,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/mehmet-topuz/profil/spieler/17140,https://img.a.transfermarkt.technology/portrait/small/17140-1730985487.jpg?lm=1,N/A,07.09.1983,Yozgat,Retired
3,Bobô,Unknown,73,36,9,6.040,N/A,Bobô,Unknown,8,1,Kayserispor,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/bobo/profil/spieler/37944,https://img.a.transfermarkt.technology/portrait/small/37944-1646999123.jpg?lm=1,N/A,09.01.1985,Gravatá,Retired
4,Mame Thiam,Mame Baba Thiam,76,31,10,6.104,N/A,Thiam,#9,6,0,Kayserispor,Attack - Centre-Forward,"1,85 m",Senegal,sn,https://www.transfermarkt.us/mame-thiam/profil/spieler/163053,https://img.a.transfermarkt.technology/portrait/small/163053-1730285333.jpg?lm=1,N/A,09.10.1992,Nguidile,Eyüpspor
5,Deniz Türüç,Deniz Türüç,144,28,24,11.047,N/A,Türüç,#23,33,0,Kayserispor,Attack - Right Winger,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/deniz-turuc/profil/spieler/216662,https://img.a.transfermarkt.technology/portrait/small/216662-1739884937.JPG?lm=1,N/A,29.01.1993,Enschede,Basaksehir FK
6,Umut Bulut,Unknown,112,26,4,9.118,N/A,Bulut,Unknown,13,0,Kayserispor,Attack - Centre-Forward,"1,84 m",Türkiye,tr,https://www.transfermarkt.us/umut-bulut/profil/spieler/10143,https://img.a.transfermarkt.technology/portrait/small/10143-1714339969.jpg?lm=1,N/A,15.03.1983,Kayseri,Retired
7,İlhan Parlak,İlhan Parlak,162,23,9,6.397,N/A,Parlak,Unknown,6,0,Kayserispor,Attack - Centre-Forward,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/ilhan-parlak/profil/spieler/37091,https://img.a.transfermarkt.technology/portrait/small/37091-1669739330.png?lm=1,N/A,18.01.1987,Kayseri,Retired
8,Mert Nobre,Márcio Ferreira Perreira Nobre,57,22,7,3.614,N/A,Nobre,Unknown,12,1,Kayserispor,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/mert-nobre/profil/spieler/15821,https://img.a.transfermarkt.technology/portrait/small/15821-1729604118.jpg?lm=1,N/A,06.11.1980,Jateí,Retired
9,Franco Cángele,Franco Darío Cángele,101,22,27,7.247,N/A,Cángele,Unknown,25,0,Kayserispor,Attack - Second Striker,"1,79 m",Argentina,ar,https://www.transfermarkt.us/franco-cangele/profil/spieler/19953,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.07.1984,Francisco Madero,Retired
10,Artem Kravets,Кравець Артем Анатолійович,63,21,1,3.904,N/A,Kravets,Unknown,5,0,Kayserispor,Attack - Centre-Forward,"1,89 m",Ukraine,ua,https://www.transfermarkt.us/artem-kravets/profil/spieler/58405,https://img.a.transfermarkt.technology/portrait/small/58405-1664104417.png?lm=1,N/A,03.06.1989,"Dniprodzerzhinsk, Dnipropetrovsk Oblast",Retired
11,Miguel Cardoso,Miguel Felipe Nunes Cardoso,126,21,24,9.120,N/A,Cardoso,#7,23,0,Kayserispor,Attack - Left Winger,"1,76 m",Portugal,pt,https://www.transfermarkt.us/miguel-cardoso/profil/spieler/348425,https://img.a.transfermarkt.technology/portrait/small/348425-1694079088.png?lm=1,N/A,19.06.1994,Lisboa,Kayserispor
