rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Toni Brogno,Antonio Brogno,162,71,12,11.874,N/A,Brogno,Unknown,23,1,KVC Westerlo,Attack - Second Striker,"1,67 m",Belgium,be,https://www.transfermarkt.us/toni-brogno/profil/spieler/13277,https://img.a.transfermarkt.technology/portrait/small/13277-1537869793.jpg?lm=1,N/A,19.07.1973,Marchienne,Retired
2,Vedran Pelic,Unknown,124,42,11,7.618,N/A,Pelic,Unknown,7,1,KVC Westerlo,Attack - Centre-Forward,"1,93 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/vedran-pelic/profil/spieler/3003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1975,Belgrad,Retired
3,Dieter Dekelver,Unknown,143,37,11,8.383,N/A,Dekelver,Unknown,23,0,KVC Westerlo,Attack - Centre-Forward,"1,81 m",Belgium,be,https://www.transfermarkt.us/dieter-dekelver/profil/spieler/18118,https://img.a.transfermarkt.technology/portrait/small/18118-1617016606.jpg?lm=1,N/A,17.08.1979,Beringen,Retired
4,Jef Delen,Unknown,391,34,34,31.936,N/A,Delen,Unknown,39,2,KVC Westerlo,Defender - Left-Back,"1,78 m",Belgium,be,https://www.transfermarkt.us/jef-delen/profil/spieler/13298,https://img.a.transfermarkt.technology/portrait/small/13298-1616773995.jpg?lm=1,N/A,29.06.1976,Bonheiden,Retired
5,Jochen Janssen,Unknown,72,29,6,6.236,N/A,Janssen,Unknown,4,0,KVC Westerlo,Attack - Centre-Forward,"1,90 m",Belgium,be,https://www.transfermarkt.us/jochen-janssen/profil/spieler/4509,https://img.a.transfermarkt.technology/portrait/small/4509-1537884152.jpg?lm=1,N/A,22.01.1976,Hasselt,Retired
6,Kevin Vandenbergh,Unknown,98,29,7,5.245,N/A,Vandenbergh,Unknown,8,0,KVC Westerlo,Attack - Centre-Forward,"1,80 m",Belgium,be,https://www.transfermarkt.us/kevin-vandenbergh/profil/spieler/13372,https://img.a.transfermarkt.technology/portrait/small/13372-1537879466.jpg?lm=1,N/A,16.05.1983,Bonheiden,Ramsel SK
7,Tosin Dosunmu,Unknown,59,28,11,5.206,N/A,Dosunmu,Unknown,5,0,KVC Westerlo,Attack - Right Winger,"1,78 m",Nigeria,ng,https://www.transfermarkt.us/tosin-dosunmu/profil/spieler/13303,https://img.a.transfermarkt.technology/portrait/small/13303-1520343704.jpg?lm=1,N/A,15.07.1980,Lagos,Retired
8,Lukas Van Eenoo,Unknown,179,27,27,14.758,N/A,Van Eenoo,#7,15,0,KVC Westerlo,Midfield - Central Midfield,"1,75 m",Belgium,be,https://www.transfermarkt.us/lukas-van-eenoo/profil/spieler/90478,https://img.a.transfermarkt.technology/portrait/small/90478-1690100502.jpg?lm=1,N/A,06.02.1991,Brugge,Patro Eisden Maasmechelen
9,Chris Janssens,Christiaan Janssens,102,26,12,8.910,N/A,Janssens,Unknown,14,0,KVC Westerlo,Defender - Centre-Back,,Belgium,be,https://www.transfermarkt.us/chris-janssens/profil/spieler/4561,https://img.a.transfermarkt.technology/portrait/small/4561-1537868657.jpg?lm=1,N/A,12.06.1969,Lier,Retired
10,Jaime Alfonso Ruiz,Unknown,71,24,8,5.009,N/A,Ruiz,Unknown,6,0,KVC Westerlo,Attack - Centre-Forward,"1,84 m",Colombia,co,https://www.transfermarkt.us/jaime-alfonso-ruiz/profil/spieler/78820,https://img.a.transfermarkt.technology/portrait/small/78820-1618410262.jpg?lm=1,N/A,03.01.1984,Cali,Retired
11,Paulo Henrique,Paulo Henrique Carneiro Filho,39,22,9,2.942,N/A,Henrique,Unknown,7,0,KVC Westerlo,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/paulo-henrique/profil/spieler/52979,https://img.a.transfermarkt.technology/portrait/small/52979-1504020605.png?lm=1,N/A,13.03.1989,João Pessoa,Retired
12,Frédéric Gounongbe,Unknown,47,22,7,3.438,N/A,Gounongbe,Unknown,8,0,KVC Westerlo,Attack - Centre-Forward,"1,91 m",Benin,bj,https://www.transfermarkt.us/frederic-gounongbe/profil/spieler/128304,https://img.a.transfermarkt.technology/portrait/small/128304-1550655318.png?lm=1,N/A,01.05.1988,Bruxelles,Retired
13,Christian Brüls,Unknown,104,21,17,7.927,N/A,Brüls,#22,8,0,KVC Westerlo,Midfield - Attacking Midfield,"1,79 m",Belgium,be,https://www.transfermarkt.us/christian-bruls/profil/spieler/38978,https://img.a.transfermarkt.technology/portrait/small/38978-1709895473.jpg?lm=1,N/A,30.09.1988,Malmedy,SK Beveren
