rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Helmut Köglberger,Unknown,333,159,0,29.163,N/A,Köglberger,Unknown,13,0,LASK,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/helmut-koglberger/profil/spieler/93215,https://img.a.transfermarkt.technology/portrait/small/93215-1452588417.jpg?lm=1,N/A,12.01.1946,Steyr,---
2,Kurt Leitner,Unknown,191,97,0,16.097,N/A,Leitner,Unknown,5,1,LASK,Attack,Unknown,Austria,at,https://www.transfermarkt.us/kurt-leitner/profil/spieler/178963,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.03.1946,Unknown,---
3,Ferdinand Zechmeister,Unknown,213,94,1,19.140,N/A,Zechmeister,Unknown,1,3,LASK,Attack,Unknown,Austria,at,https://www.transfermarkt.us/ferdinand-zechmeister/profil/spieler/293942,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.12.1927,Unknown,---
4,Radovan Vujanovic,Радован Вујановић,105,80,21,9.254,N/A,Vujanovic,Unknown,13,0,LASK,Attack - Centre-Forward,,Serbia,rs,https://www.transfermarkt.us/radovan-vujanovic/profil/spieler/28033,https://img.a.transfermarkt.technology/portrait/small/28033-1438867285.jpg?lm=1,N/A,18.02.1982,Arandjelovac,Retired
5,Rudolf Sabetzer,Unknown,207,80,0,18.660,N/A,Sabetzer,Unknown,0,0,LASK,Attack,Unknown,Austria,at,https://www.transfermarkt.us/rudolf-sabetzer/profil/spieler/179322,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1934,Unknown,---
6,Ivica Vastic,Ivica Vastić,131,61,37,11.391,N/A,Vastic,Unknown,26,2,LASK,Attack - Second Striker,"1,83 m",Austria,at,https://www.transfermarkt.us/ivica-vastic/profil/spieler/3683,https://img.a.transfermarkt.technology/portrait/small/3683-1493298262.jpg?lm=1,N/A,29.09.1969,Split,Retired
7,Thomas Goiginger,Unknown,242,58,56,16.337,N/A,Goiginger,#27,21,1,LASK,Attack - Left Winger,"1,81 m",Austria,at,https://www.transfermarkt.us/thomas-goiginger/profil/spieler/189912,https://img.a.transfermarkt.technology/portrait/small/189912-1693859361.jpg?lm=1,N/A,15.03.1993,Salzburg,FC Blau-Weiss Linz
8,Michael Toppel,Unknown,179,56,0,14.684,N/A,Toppel,Unknown,4,0,LASK,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/michael-toppel/profil/spieler/97492,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.08.1957,Berlin,Retired
9,Fabiano,Unknown,161,55,18,12.849,N/A,Fabiano,Unknown,11,1,LASK,Attack - Second Striker,"1,85 m",Brazil,br,https://www.transfermarkt.us/fabiano/profil/spieler/52057,https://img.a.transfermarkt.technology/portrait/small/52057-1470926660.jpg?lm=1,N/A,24.11.1985,Sao Jose dos Campos-SP,Retired
10,Geir Frigård,Geir Arild Frigård,90,55,0,7.885,N/A,Frigård,Unknown,9,0,LASK,Attack - Centre-Forward,"1,83 m",Norway,no,https://www.transfermarkt.us/geir-frigard/profil/spieler/8591,https://img.a.transfermarkt.technology/portrait/small/s_8591_123_2012_1.jpg?lm=1,N/A,03.11.1970,Vormsund,Retired
