rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Carlos Vela,Carlos Alberto Vela Garrido,189,93,54,13.994,N/A,Vela,Unknown,10,0,Los Angeles FC,Attack - Right Winger,"1,77 m",Mexico,mx,https://www.transfermarkt.us/carlos-vela/profil/spieler/35773,https://img.a.transfermarkt.technology/portrait/small/35773-1678027254.jpg?lm=1,N/A,01.03.1989,Cancún,Without Club
2,Denis Bouanga,Denis Athanase Bouanga,116,72,32,9.812,N/A,Bouanga,#99,10,0,Los Angeles FC,Attack - Left Winger,"1,80 m",Gabon,ga,https://www.transfermarkt.us/denis-bouanga/profil/spieler/236045,https://img.a.transfermarkt.technology/portrait/small/236045-1741202499.jpg?lm=1,N/A,11.11.1994,Le Mans,Los Angeles FC
3,Diego Rossi,Diego Martín Rossi Marachlian,121,59,22,10.354,N/A,Rossi,#10,3,0,Los Angeles FC,Midfield - Attacking Midfield,"1,70 m",Uruguay,uy,https://www.transfermarkt.us/diego-rossi/profil/spieler/317454,https://img.a.transfermarkt.technology/portrait/small/317454-1740676070.jpg?lm=1,N/A,05.03.1998,Montevideo,Columbus Crew
4,Cristian Arango,Cristian Daniel Arango Duque,58,35,6,4.263,N/A,Arango,#9,9,0,Los Angeles FC,Attack - Centre-Forward,"1,76 m",Colombia,co,https://www.transfermarkt.us/cristian-arango/profil/spieler/262999,https://img.a.transfermarkt.technology/portrait/small/262999-1740594756.jpg?lm=1,N/A,09.03.1995,Medellín,San Jose Earthquakes
5,Mateusz Bogusz,Mateusz Piotr Bogusz,90,24,19,6.321,N/A,Bogusz,#7,13,0,Los Angeles FC,Midfield - Attacking Midfield,"1,75 m",Poland,pl,https://www.transfermarkt.us/mateusz-bogusz/profil/spieler/431475,https://img.a.transfermarkt.technology/portrait/small/431475-1709932096.jpg?lm=1,N/A,22.08.2001,Ruda Śląska,CD Cruz Azul
6,Adama Diomande,Valentin Adama Diomande,52,24,9,2.987,N/A,Diomande,Unknown,3,0,Los Angeles FC,Attack - Centre-Forward,"1,83 m",Norway,no,https://www.transfermarkt.us/adama-diomande/profil/spieler/93145,https://img.a.transfermarkt.technology/portrait/small/93145-1712763591.jpg?lm=1,N/A,14.02.1990,Oslo,Without Club
7,Ryan Hollingshead,Ryan Michael Hollingshead,141,19,9,10.065,N/A,Hollingshead,#24,18,1,Los Angeles FC,Defender - Left-Back,"1,86 m",United States,us,https://www.transfermarkt.us/ryan-hollingshead/profil/spieler/256354,https://img.a.transfermarkt.technology/portrait/small/256354-1741202583.jpg?lm=1,N/A,16.04.1991,"Sacramento, California",Los Angeles FC
8,Latif Blessing,Unknown,167,18,18,11.476,N/A,Blessing,Unknown,14,0,Los Angeles FC,Midfield - Attacking Midfield,"1,65 m",Ghana,gh,https://www.transfermarkt.us/latif-blessing/profil/spieler/398238,https://img.a.transfermarkt.technology/portrait/small/398238-1712763877.jpg?lm=1,N/A,30.12.1996,Accra,Without Club
9,Cristian Olivera,Cristian Gonzalo Olivera Ibarra,51,16,6,3.681,N/A,Olivera,#99,5,0,Los Angeles FC,Attack - Right Winger,"1,70 m",Uruguay,uy,https://www.transfermarkt.us/cristian-olivera/profil/spieler/657746,https://img.a.transfermarkt.technology/portrait/small/657746-1709932388.jpg?lm=1,N/A,17.04.2002,Montevideo,Grêmio Foot-Ball Porto Alegrense
10,José Cifuentes,José Adoni Cifuentes Charcopa,121,15,20,8.429,N/A,Cifuentes,#5,24,0,Los Angeles FC,Midfield - Central Midfield,"1,78 m",Ecuador,ec,https://www.transfermarkt.us/jose-cifuentes/profil/spieler/450211,https://img.a.transfermarkt.technology/portrait/small/450211-1735061968.jpg?lm=1,N/A,12.03.1999,Esmeraldas,Aris Thessaloniki
