rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Beto,Unknown,105,47,18,7.237,N/A,Beto,#9,3,0,Madura United FC,Attack - Centre-Forward,"1,75 m",Indonesia,id,https://www.transfermarkt.us/beto/profil/spieler/55485,https://img.a.transfermarkt.technology/portrait/small/55485-1621345030.jpg?lm=1,N/A,31.12.1980,Belém,PSBS Biak
2,Lulinha,Unknown,83,30,12,6.967,N/A,Lulinha,#11,14,0,Madura United FC,Attack - Left Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/lulinha/profil/spieler/52836,https://img.a.transfermarkt.technology/portrait/small/s_52836_2029_2012_1.jpg?lm=1,N/A,10.04.1990,Mauá,Madura United FC
3,Jajá,Unknown,103,25,14,8.859,N/A,Jajá,#8,17,0,Madura United FC,Midfield - Central Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/jaja/profil/spieler/364883,https://img.a.transfermarkt.technology/portrait/small/364883-1739596052.png?lm=1,N/A,18.03.1995,Rio de Janeiro,Dewa United FC
4,Greg Nwokolo,Greg Junior Nwokolo,89,25,20,6.475,N/A,Nwokolo,Unknown,11,1,Madura United FC,Attack - Left Winger,"1,75 m",Indonesia,id,https://www.transfermarkt.us/greg-nwokolo/profil/spieler/128174,https://img.a.transfermarkt.technology/portrait/small/128174-1702636951.png?lm=1,N/A,03.01.1986,Onitsha,Without Club
5,Slamet Nurcahyono,Slamet Irfan Nurcahyono,174,21,20,10.195,N/A,Nurcahyono,#9,18,0,Madura United FC,Midfield - Attacking Midfield,"1,65 m",Indonesia,id,https://www.transfermarkt.us/slamet-nurcahyono/profil/spieler/218031,https://img.a.transfermarkt.technology/portrait/small/218031-1702464651.png?lm=1,N/A,11.07.1983,Jember,Persibo Bojonegoro
6,Aleksandar Rakic,Александар Ракић,41,20,10,3.624,N/A,Rakic,Unknown,5,0,Madura United FC,Attack - Centre-Forward,"1,82 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-rakic/profil/spieler/282220,https://img.a.transfermarkt.technology/portrait/small/282220-1596982214.jpg?lm=1,N/A,07.01.1987,Novi Sad,OFK Backa
7,Malik Risaldi,Unknown,66,16,7,4.253,N/A,Risaldi,#79,10,1,Madura United FC,Attack - Right Winger,"1,79 m",Indonesia,id,https://www.transfermarkt.us/malik-risaldi/profil/spieler/663259,https://img.a.transfermarkt.technology/portrait/small/663259-1702464758.png?lm=1,N/A,23.10.1996,Surabaya,Persebaya Surabaya
8,Peter Odemwingie,Peter Osaze Odemwingie,23,15,8,1.816,N/A,Odemwingie,Unknown,6,1,Madura United FC,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/peter-odemwingie/profil/spieler/12516,https://img.a.transfermarkt.technology/portrait/small/12516-1477388010.jpg?lm=1,N/A,15.07.1981,Tashkent,Retired
9,Fabiano Beltrame,Unknown,72,12,0,6.213,N/A,Fabiano Beltrame,#15,12,0,Madura United FC,Defender - Centre-Back,"1,84 m",Indonesia,id,https://www.transfermarkt.us/fabiano-beltrame/profil/spieler/505647,https://img.a.transfermarkt.technology/portrait/small/505647-1663741395.png?lm=1,N/A,29.08.1982,Foz do Iguaçu,PSBS Biak
10,Bayu Gatra,Bayu Gatra Sanggiawan,153,12,23,8.893,N/A,Gatra,#30,19,0,Madura United FC,Attack - Right Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/bayu-gatra/profil/spieler/323546,https://img.a.transfermarkt.technology/portrait/small/323546-1702464872.png?lm=1,N/A,12.11.1991,Jember,Persela Lamongan
11,Pablo Rodríguez,Pablo Rodríguez Aracil,10,9,2,892.000,N/A,Rodríguez,Unknown,3,0,Madura United FC,Attack - Centre-Forward,"1,90 m",Spain,es,https://www.transfermarkt.us/pablo-rodriguez/profil/spieler/145541,https://img.a.transfermarkt.technology/portrait/small/s_145541_15305_2014_05_07_1.jpg?lm=1,N/A,20.07.1985,Valencia,Retired
12,Francisco Rivera,Francisco Israel Rivera Dávalos,36,9,18,3.208,N/A,Rivera,#7,10,0,Madura United FC,Midfield - Attacking Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/francisco-rivera/profil/spieler/336109,https://img.a.transfermarkt.technology/portrait/small/336109-1702464602.png?lm=1,N/A,23.09.1994,San Luis Potosí,Persebaya Surabaya
13,Junior Brandão,Unknown,20,9,2,1.661,N/A,Junior Brandão,#49,3,0,Madura United FC,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/junior-brandao/profil/spieler/592351,https://img.a.transfermarkt.technology/portrait/small/592351-1663117762.jpg?lm=1,N/A,07.01.1995,Ibiúna,Malut United FC
14,Zah Rahan Krangar,Unknown,39,6,12,3.447,N/A,Krangar,Unknown,5,0,Madura United FC,Midfield - Central Midfield,"1,65 m",Liberia,lr,https://www.transfermarkt.us/zah-rahan-krangar/profil/spieler/79003,https://img.a.transfermarkt.technology/portrait/small/79003-1513171656.jpg?lm=1,N/A,07.03.1985,Monrovia,Retired
15,Rafael Silva,Unknown,12,6,0,1.023,N/A,Rafael Silva,Unknown,5,1,Madura United FC,Attack - Centre-Forward,"1,82 m",Brazil,br,https://www.transfermarkt.us/rafael-silva/profil/spieler/344627,https://img.a.transfermarkt.technology/portrait/small/344627-1497887267.jpg?lm=1,N/A,08.10.1990,Feira de Santana,Esporte Clube São Bento (SP)
16,Jaime,Unknown,76,6,2,6.806,N/A,Jaime,#20,18,1,Madura United FC,Defender - Centre-Back,"1,87 m",Brazil,br,https://www.transfermarkt.us/jaime/profil/spieler/124784,https://img.a.transfermarkt.technology/portrait/small/124784-1689561687.jpg?lm=1,N/A,26.02.1990,Guarulhos,Bali United FC
17,Mamadou Samassa,Unknown,13,6,1,900.000,N/A,Samassa,Unknown,0,0,Madura United FC,Attack - Centre-Forward,"1,88 m",Mali,ml,https://www.transfermarkt.us/mamadou-samassa/profil/spieler/39917,https://img.a.transfermarkt.technology/portrait/small/39917-1449739946.jpg?lm=1,N/A,01.05.1986,Montfermeil,Retired
18,Engelberd Sani,Unknown,79,6,3,3.441,N/A,Sani,Unknown,12,0,Madura United FC,Attack - Left Winger,"1,70 m",Indonesia,id,https://www.transfermarkt.us/engelberd-sani/profil/spieler/506276,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.05.1990,Sorong,Without Club
19,Dalberto,Unknown,17,6,3,1.487,N/A,Dalberto,#94,3,0,Madura United FC,Attack - Centre-Forward,"1,82 m",Brazil,br,https://www.transfermarkt.us/dalberto/profil/spieler/519891,https://img.a.transfermarkt.technology/portrait/small/519891-1737551709.png?lm=1,N/A,15.09.1994,Bento Fernandes,Arema FC
20,Dane Milovanovic,Unknown,24,5,3,1.592,N/A,Milovanovic,Unknown,7,0,Madura United FC,Defender - Centre-Back,"1,85 m",Australia,au,https://www.transfermarkt.us/dane-milovanovic/profil/spieler/151616,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.12.1989,Canberra,Westgate FC
21,David Laly,Unknown,61,5,6,3.199,N/A,Laly,#24,1,0,Madura United FC,Attack - Left Winger,"1,67 m",Indonesia,id,https://www.transfermarkt.us/david-laly/profil/spieler/119835,https://img.a.transfermarkt.technology/portrait/small/119835-1638339328.jpg?lm=1,N/A,07.11.1991,Wamena,Persijap Jepara
22,Renan Silva,Unknown,12,4,0,887.000,N/A,Renan Silva,#10,1,0,Madura United FC,Midfield - Attacking Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/renan-silva/profil/spieler/151665,https://img.a.transfermarkt.technology/portrait/small/151665-1737737254.png?lm=1,N/A,02.01.1989,Rio de Janeiro,Gresik United FC
