rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Camilo Sanvezzo,Camilo da Silva Sanvezzo,40,21,4,2.887,N/A,Sanvezzo,Unknown,4,1,Mazatlán FC,Attack - Centre-Forward,"1,70 m",Brazil,br,https://www.transfermarkt.us/camilo-sanvezzo/profil/spieler/172285,https://img.a.transfermarkt.technology/portrait/small/172285-1691697574.jpg?lm=1,N/A,21.07.1988,Presidente Prudente,Retired
2,Nicolás Benedetti,Nicolás Benedetti Roa,71,14,12,4.962,N/A,Benedetti,#10,16,1,Mazatlán FC,Midfield - Attacking Midfield,"1,77 m",Colombia,co,https://www.transfermarkt.us/nicolas-benedetti/profil/spieler/382836,https://img.a.transfermarkt.technology/portrait/small/382836-1565165023.png?lm=1,N/A,25.04.1997,Santiago de Cali,Mazatlán FC
3,Luis Amarilla,Luis Antonio Amarilla Lencina,54,13,5,3.598,N/A,Amarilla,#7,4,2,Mazatlán FC,Attack - Centre-Forward,"1,76 m",Paraguay,py,https://www.transfermarkt.us/luis-amarilla/profil/spieler/291658,https://img.a.transfermarkt.technology/portrait/small/291658-1678624124.jpg?lm=1,N/A,25.08.1995,Areguá,Mazatlán FC
4,Aké Loba,Aké Arnaud Loba,25,9,3,1.395,N/A,Loba,Unknown,3,0,Mazatlán FC,Attack - Centre-Forward,"1,80 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/ake-loba/profil/spieler/515512,https://img.a.transfermarkt.technology/portrait/small/515512-1646125673.jpg?lm=1,N/A,01.04.1998,Divo,Without Club
5,Brian Rubio,Brian Alejandro Rubio Rodríguez,78,9,4,3.750,N/A,Rubio,#9,20,0,Mazatlán FC,Attack - Centre-Forward,"1,86 m",Mexico,mx,https://www.transfermarkt.us/brian-rubio/profil/spieler/570547,https://img.a.transfermarkt.technology/portrait/small/570547-1670615483.jpg?lm=1,N/A,09.11.1996,Guadalajara,Querétaro FC
6,Eduard Bello,Eduard Alexander Bello Gil,63,9,3,3.075,N/A,Bello,#18,4,0,Mazatlán FC,Attack - Right Winger,"1,76 m",Venezuela,ve,https://www.transfermarkt.us/eduard-bello/profil/spieler/309505,https://img.a.transfermarkt.technology/portrait/small/309505-1643142642.jpg?lm=1,N/A,20.08.1995,Cúa,CD Universidad Católica
7,Miguel Sansores,Miguel Ángel Sansores Sánchez,52,8,1,2.101,N/A,Sansores,#27,9,0,Mazatlán FC,Attack - Centre-Forward,"1,76 m",Mexico,mx,https://www.transfermarkt.us/miguel-sansores/profil/spieler/138560,https://img.a.transfermarkt.technology/portrait/small/138560-1670614957.jpg?lm=1,N/A,28.04.1991,Mérida,Puntarenas FC
8,Andrés Montaño,Andrés Anarbol Montaño Mora,61,8,2,3.803,N/A,Montaño,#10,3,1,Mazatlán FC,Midfield - Central Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/andres-montano/profil/spieler/993722,https://img.a.transfermarkt.technology/portrait/small/993722-1670615757.jpg?lm=1,N/A,22.05.2002,Los Cabos,CD Cruz Azul
9,Fernando Aristeguieta,Fernando Luis Aristeguieta de Luca,31,7,0,1.632,N/A,Aristeguieta,Unknown,3,0,Mazatlán FC,Attack - Centre-Forward,"1,88 m",Venezuela,ve,https://www.transfermarkt.us/fernando-aristeguieta/profil/spieler/140126,https://img.a.transfermarkt.technology/portrait/small/140126-1549449088.jpg?lm=1,N/A,09.04.1992,Santiago de León de Caracas,Retired
10,Bryan Colula,Bryan Colula Alarcón,113,6,2,7.701,N/A,Colula,#15,26,1,Mazatlán FC,Defender - Right-Back,"1,76 m",Mexico,mx,https://www.transfermarkt.us/bryan-colula/profil/spieler/384368,https://img.a.transfermarkt.technology/portrait/small/384368-1611672873.jpg?lm=1,N/A,06.04.1996,Xalapa-Enríquez,Mazatlán FC
11,Josué Colmán,David Josué Colmán Escobar,74,6,11,3.622,N/A,Colmán,#19,2,0,Mazatlán FC,Attack - Left Winger,"1,70 m",Paraguay,py,https://www.transfermarkt.us/josue-colman/profil/spieler/401726,https://img.a.transfermarkt.technology/portrait/small/401726-1550684913.jpg?lm=1,N/A,25.07.1998,Asunción,Querétaro FC
12,Roberto Meraz,Roberto Ismael Meraz Bernal,112,5,2,7.871,N/A,Meraz,#6,28,1,Mazatlán FC,Midfield - Defensive Midfield,"1,80 m",Mexico,mx,https://www.transfermarkt.us/roberto-meraz/profil/spieler/370864,https://img.a.transfermarkt.technology/portrait/small/370864-1558702121.jpg?lm=1,N/A,04.08.1999,Culiacán Rosales,Mazatlán FC
13,Nicolás Díaz,Nicolás Andrés Díaz Huincales,55,5,2,4.593,N/A,Díaz,#21,21,1,Mazatlán FC,Defender - Centre-Back,"1,80 m",Chile,cl,https://www.transfermarkt.us/nicolas-diaz/profil/spieler/539067,https://img.a.transfermarkt.technology/portrait/small/539067-1615322614.jpg?lm=1,N/A,20.05.1999,San Ramón,Unión Española
14,Facundo Almada,Facundo Ezequiel Almada,77,5,1,6.477,N/A,Almada,#5,16,1,Mazatlán FC,Defender - Centre-Back,"1,79 m",Argentina,ar,https://www.transfermarkt.us/facundo-almada/profil/spieler/639390,https://img.a.transfermarkt.technology/portrait/small/639390-1636413846.JPG?lm=1,N/A,10.07.1998,Rosario,Mazatlán FC
15,Yoel Bárcenas,Edgar Yoel Bárcenas Herrera,81,5,14,6.380,N/A,Bárcenas,#11,13,0,Mazatlán FC,Attack - Right Winger,"1,75 m",Panama,pa,https://www.transfermarkt.us/yoel-barcenas/profil/spieler/283473,https://img.a.transfermarkt.technology/portrait/small/283473-1719228611.jpg?lm=1,N/A,23.10.1993,Colón,Mazatlán FC
16,Giovanni Augusto,Unknown,29,5,0,1.767,N/A,Giovanni Augusto,#10,0,1,Mazatlán FC,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/giovanni-augusto/profil/spieler/125513,https://img.a.transfermarkt.technology/portrait/small/125513-1547634467.jpg?lm=1,N/A,05.09.1989,Belém,Associação Chapecoense de Futebol
17,Gonzalo Sosa,Gonzalo Ariel Sosa,29,5,2,1.758,N/A,Sosa,#9,4,1,Mazatlán FC,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/gonzalo-sosa/profil/spieler/529755,https://img.a.transfermarkt.technology/portrait/small/529755-1715820277.jpg?lm=1,N/A,04.01.1989,Santa Fe,CD Ñublense
18,Michael Rangel,Michael Jhon Ander Rangel Valencia,19,4,1,532.000,N/A,Rangel,#9,1,0,Mazatlán FC,Attack - Centre-Forward,"1,88 m",Colombia,co,https://www.transfermarkt.us/michael-rangel/profil/spieler/260393,https://img.a.transfermarkt.technology/portrait/small/260393-1663431964.jpg?lm=1,N/A,08.03.1991,Floridablanca,Llaneros FC
19,Oswaldo Alanís,Oswaldo Alanís Pantoja,33,4,0,2.669,N/A,Alanís,Unknown,2,0,Mazatlán FC,Defender - Centre-Back,"1,83 m",Mexico,mx,https://www.transfermarkt.us/oswaldo-alanis/profil/spieler/106282,https://img.a.transfermarkt.technology/portrait/small/106282-1618851430.jpg?lm=1,N/A,18.03.1989,Morelia,Without Club
20,Emilio Sánchez,Alfonso Emilio Sánchez Castillo,40,4,0,1.762,N/A,Sánchez,#27,6,0,Mazatlán FC,Midfield - Central Midfield,"1,88 m",Mexico,mx,https://www.transfermarkt.us/emilio-sanchez/profil/spieler/336108,https://img.a.transfermarkt.technology/portrait/small/336108-1670614333.jpg?lm=1,N/A,16.06.1994,Aguascalientes,Club Atlético Morelia
21,Gustavo del Prete,Gustavo Javier del Prete,21,4,3,1.525,N/A,del Prete,#10,2,0,Mazatlán FC,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/gustavo-del-prete/profil/spieler/671951,https://img.a.transfermarkt.technology/portrait/small/671951-1691698097.jpg?lm=1,N/A,12.06.1996,Cipolletti,Atlas Guadalajara
22,César Huerta,César Saúl Huerta Valera,17,3,1,1.246,N/A,Huerta,#21,2,0,Mazatlán FC,Attack - Left Winger,"1,71 m",Mexico,mx,https://www.transfermarkt.us/cesar-huerta/profil/spieler/540315,https://img.a.transfermarkt.technology/portrait/small/540315-1722760933.jpg?lm=1,N/A,03.12.2000,Guadalajara,RSC Anderlecht
23,Francisco Venegas,Francisco Eduardo Venegas Moreno,27,3,0,1.490,N/A,Venegas,#17,4,0,Mazatlán FC,Defender - Left-Back,"1,84 m",Mexico,mx,https://www.transfermarkt.us/francisco-venegas/profil/spieler/400208,https://img.a.transfermarkt.technology/portrait/small/400208-1671121806.jpg?lm=1,N/A,16.07.1998,Acámbaro,Querétaro FC
24,Marco Fabián,Marco Jhonfai Fabián de la Mora,30,2,4,1.576,N/A,Fabián,Unknown,6,0,Mazatlán FC,Midfield - Attacking Midfield,"1,71 m",Mexico,mx,https://www.transfermarkt.us/marco-fabian/profil/spieler/67685,https://img.a.transfermarkt.technology/portrait/small/67685-1549988783.JPG?lm=1,N/A,21.07.1989,Guadalajara,Without Club
25,Iván Moreno,Iván Jared Moreno Füguemann,32,2,2,1.757,N/A,Moreno,#7,1,0,Mazatlán FC,Defender - Right-Back,"1,68 m",Mexico,mx,https://www.transfermarkt.us/ivan-moreno/profil/spieler/597092,https://img.a.transfermarkt.technology/portrait/small/597092-1649982728.jpeg?lm=1,N/A,17.01.1998,Puebla de Zaragoza,Club León FC
26,Mario Osuna,Mario Humberto Osuna Pereznuñez,25,2,0,1.539,N/A,Osuna,Unknown,0,0,Mazatlán FC,Midfield - Central Midfield,"1,78 m",Mexico,mx,https://www.transfermarkt.us/mario-osuna/profil/spieler/135867,https://img.a.transfermarkt.technology/portrait/small/135867-1670274735.jpeg?lm=1,N/A,20.08.1988,Culiacán Rosales,Without Club
27,Néstor Vidrio,Néstor Vicente Vidrio Serrano,83,2,2,6.806,N/A,Vidrio,#33,15,0,Mazatlán FC,Defender - Centre-Back,"1,82 m",Mexico,mx,https://www.transfermarkt.us/nestor-vidrio/profil/spieler/71520,https://img.a.transfermarkt.technology/portrait/small/71520-1670613337.jpg?lm=1,N/A,22.03.1989,Guadalajara,Venados FC Yucatán
28,Raúl Camacho,Raúl Erasmo Camacho Lastra,29,2,0,581.000,N/A,Camacho,#29,4,0,Mazatlán FC,Attack - Centre-Forward,"1,82 m",Mexico,mx,https://www.transfermarkt.us/raul-camacho/profil/spieler/1029160,https://img.a.transfermarkt.technology/portrait/small/1029160-1670614820.jpg?lm=1,N/A,19.03.2002,Los Mochis,Mazatlán FC
29,Omar Moreno,Omar Fernando Moreno Villegas,23,2,0,622.000,N/A,Moreno,#34,1,0,Mazatlán FC,Attack,"1,75 m",Mexico,mx,https://www.transfermarkt.us/omar-moreno/profil/spieler/1087352,https://img.a.transfermarkt.technology/portrait/small/1087352-1676340753.jpg?lm=1,N/A,30.01.2005,Hermosillo,Mazatlán FC
30,Ramiro Árciga,Ramiro Árciga Zárate,34,2,1,1.784,N/A,Árciga,#17,5,0,Mazatlán FC,Midfield - Attacking Midfield,"1,75 m",Mexico,mx,https://www.transfermarkt.us/ramiro-arciga/profil/spieler/1087349,https://img.a.transfermarkt.technology/portrait/small/1087349-1722609455.jpg?lm=1,N/A,30.08.2004,La Piedad de Cabadas,Club Tijuana
31,Luis Sánchez,Luis Gustavo Sánchez Saucedo,36,2,0,2.710,N/A,Sánchez,#3,4,0,Mazatlán FC,Defender - Centre-Back,"1,82 m",Mexico,mx,https://www.transfermarkt.us/luis-sanchez/profil/spieler/670185,https://img.a.transfermarkt.technology/portrait/small/670185-1670900543.jpg?lm=1,N/A,03.05.2000,Tantoyuca,Mazatlán FC
32,Lucas Merolla,Lucas Gabriel Merolla,26,1,0,1.819,N/A,Merolla,#19,10,1,Mazatlán FC,Defender - Centre-Back,"1,95 m",Argentina,ar,https://www.transfermarkt.us/lucas-merolla/profil/spieler/424984,https://img.a.transfermarkt.technology/portrait/small/424984-1633620457.JPG?lm=1,N/A,27.06.1995,Buenos Aires,Mazatlán FC
33,Mauro Laínez,Mauro Alberto Laínez Leyva,20,1,0,534.000,N/A,Laínez,#14,2,0,Mazatlán FC,Attack - Left Winger,"1,80 m",Mexico,mx,https://www.transfermarkt.us/mauro-lainez/profil/spieler/325600,https://img.a.transfermarkt.technology/portrait/small/325600-1611672988.jpg?lm=1,N/A,09.05.1996,Villahermosa,Mazatlán FC
34,Aldo Rocha,Aldo Paúl Rocha González,15,1,1,1.273,N/A,Rocha,#26,5,0,Mazatlán FC,Midfield - Defensive Midfield,"1,70 m",Mexico,mx,https://www.transfermarkt.us/aldo-rocha/profil/spieler/242303,https://img.a.transfermarkt.technology/portrait/small/242303-1692205150.jpg?lm=1,N/A,06.11.1992,León de los Aldama,Atlas Guadalajara
35,José Madueña,José Antonio Madueña López,27,1,0,1.382,N/A,Madueña,Unknown,2,1,Mazatlán FC,Defender - Right-Back,"1,72 m",Mexico,mx,https://www.transfermarkt.us/jose-maduena/profil/spieler/162947,https://img.a.transfermarkt.technology/portrait/small/162947-1579698083.png?lm=1,N/A,29.05.1990,Mexicali,Without Club
