rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Besart Berisha,Unknown,124,75,13,10.786,N/A,Berisha,Unknown,14,2,Melbourne Victory,Attack - Centre-Forward,,Kosovo,unknown,https://www.transfermarkt.us/besart-berisha/profil/spieler/17257,https://img.a.transfermarkt.technology/portrait/small/17257-1709132577.jpg?lm=1,N/A,29.07.1985,Prishtinë,Retired
2,Archie Thompson,Archibald Gerald Thompson,196,70,23,14.652,N/A,Thompson,Unknown,11,0,Melbourne Victory,Attack - Centre-Forward,"1,74 m",Australia,au,https://www.transfermarkt.us/archie-thompson/profil/spieler/13148,https://img.a.transfermarkt.technology/portrait/small/13148-1617088304.jpg?lm=1,N/A,23.10.1978,Otorohanga,Retired
3,Kosta Barbarouses,"Konstantinos Barbarouses, Κωνσταντίνος Μπαρμπαρούσης",153,47,25,12.807,N/A,Barbarouses,#7,23,1,Melbourne Victory,Attack - Centre-Forward,"1,71 m",New Zealand,nz,https://www.transfermarkt.us/kosta-barbarouses/profil/spieler/50200,https://img.a.transfermarkt.technology/portrait/small/50200-1497616905.jpg?lm=1,N/A,19.02.1990,Wellington,Wellington Phoenix
4,Marco Rojas,Marco Rodrigo Rojas Walen,128,41,24,9.242,N/A,Rojas,Unknown,7,0,Melbourne Victory,Attack - Right Winger,"1,68 m",New Zealand,nz,https://www.transfermarkt.us/marco-rojas/profil/spieler/114940,https://img.a.transfermarkt.technology/portrait/small/114940-1680006990.jpg?lm=1,N/A,05.11.1991,Hamilton,Without Club
5,Carlos Hernández,Carlos Gerardo Hernández Valverde,103,33,10,8.295,N/A,Hernández,Unknown,7,0,Melbourne Victory,Midfield - Attacking Midfield,"1,77 m",Costa Rica,cr,https://www.transfermarkt.us/carlos-hernandez/profil/spieler/35373,https://img.a.transfermarkt.technology/portrait/small/35373-1718999655.jpg?lm=1,N/A,09.04.1982,San José,Retired
6,Bruno Fornaroli,Bruno Fornaroli Mezza,67,30,4,4.683,N/A,Fornaroli,#10,12,0,Melbourne Victory,Attack - Centre-Forward,"1,74 m",Australia,au,https://www.transfermarkt.us/bruno-fornaroli/profil/spieler/72651,https://img.a.transfermarkt.technology/portrait/small/72651-1703766993.png?lm=1,N/A,07.09.1987,Salto,Melbourne Victory
7,James Troisi,Unknown,122,30,21,10.011,N/A,Troisi,Unknown,22,0,Melbourne Victory,Midfield - Attacking Midfield,"1,76 m",Australia,au,https://www.transfermarkt.us/james-troisi/profil/spieler/52585,https://img.a.transfermarkt.technology/portrait/small/52585-1494244307.jpg?lm=1,N/A,03.07.1988,Adelaide,Without Club
8,Ola Toivonen,Nils Ola Toivonen,48,29,5,3.775,N/A,Toivonen,Unknown,10,0,Melbourne Victory,Attack - Centre-Forward,"1,89 m",Sweden,se,https://www.transfermarkt.us/ola-toivonen/profil/spieler/36500,https://img.a.transfermarkt.technology/portrait/small/36500-1665126887.jpg?lm=1,N/A,03.07.1986,Degerfors,Retired
9,Danny Allsopp,Daniel Lee Allsopp,74,26,0,5.405,N/A,Allsopp,Unknown,11,2,Melbourne Victory,Attack - Centre-Forward,"1,85 m",Australia,au,https://www.transfermarkt.us/danny-allsopp/profil/spieler/43131,https://img.a.transfermarkt.technology/portrait/small/s_43131_123_2013_05_03_1.jpg?lm=1,N/A,10.08.1978,Melbourne,Retired
10,Kevin Muscat,Kevin Vincent Muscat,89,23,0,7.987,N/A,Muscat,Unknown,22,0,Melbourne Victory,Defender - Centre-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/kevin-muscat/profil/spieler/9409,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.08.1973,Crawley,Retired
