rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lukas Budinsky,Lukáš Budínský,198,56,32,15.896,N/A,Budinsky,#23,22,1,MFK Karvina,Midfield - Attacking Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-budinsky/profil/spieler/187591,https://img.a.transfermarkt.technology/portrait/small/187591-1703615084.png?lm=1,N/A,27.03.1992,Praha,1.SK Prostejov
2,Vladimir Misinsky,Vladimír Mišinský,110,37,1,8.491,N/A,Misinsky,Unknown,14,0,MFK Karvina,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/vladimir-misinsky/profil/spieler/62790,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.07.1986,Unknown,Retired
3,Martin Opic,Unknown,64,29,0,4.833,N/A,Opic,Unknown,14,1,MFK Karvina,Attack - Centre-Forward,"1,90 m",Czech Republic,cz,https://www.transfermarkt.us/martin-opic/profil/spieler/82169,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.09.1977,Bohumín,Retired
4,Tomas Wagner,Tomáš Wágner,73,27,9,5.623,N/A,Wagner,Unknown,11,0,MFK Karvina,Attack - Centre-Forward,"1,90 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-wagner/profil/spieler/112951,https://img.a.transfermarkt.technology/portrait/small/112951-1701282640.png?lm=1,N/A,06.03.1990,Praha,FK Pribram
5,Elvist Ciku,Unknown,114,22,6,8.347,N/A,Ciku,Unknown,10,0,MFK Karvina,Attack - Left Winger,"1,79 m",Albania,al,https://www.transfermarkt.us/elvist-ciku/profil/spieler/131636,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.08.1986,Shkodër,SK Hranice
6,Lubomir Urgela,Ľubomír Urgela,59,19,1,4.064,N/A,Urgela,Unknown,4,0,MFK Karvina,Attack - Centre-Forward,"1,92 m",Slovakia,sk,https://www.transfermarkt.us/lubomir-urgela/profil/spieler/120194,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.01.1990,Žiar nad Hronom,OFK Hlinik nad Hronom
7,Vladan Milosavljev,Владан Милосављев,99,18,0,6.800,N/A,Milosavljev,Unknown,14,0,MFK Karvina,Attack - Left Winger,"1,72 m",Serbia,rs,https://www.transfermarkt.us/vladan-milosavljev/profil/spieler/47074,https://img.a.transfermarkt.technology/portrait/small/47074-1554284488.png?lm=1,N/A,01.02.1987,Belgrad,FK Usce Novi Beograd
8,Matej Fiala,Matěj Fiala,85,17,1,5.059,N/A,Fiala,Unknown,5,0,MFK Karvina,Attack - Second Striker,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/matej-fiala/profil/spieler/259535,https://img.a.transfermarkt.technology/portrait/small/259535-1424357397.jpg?lm=1,N/A,12.02.1990,Unknown,FC TVD Slavicin
9,Amar Memic,Amar Memić,80,16,9,5.401,N/A,Memic,#99,10,1,MFK Karvina,Attack - Right Winger,"1,76 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/amar-memic/profil/spieler/638990,https://img.a.transfermarkt.technology/portrait/small/638990-1703615342.png?lm=1,N/A,20.01.2001,Sarajevo,FC Viktoria Plzen
10,Michal Papadopulos,"Michal Papadopulos, Μίχαλ Παπαδόπουλος",86,15,8,5.408,N/A,Papadopulos,Unknown,16,0,MFK Karvina,Attack - Centre-Forward,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/michal-papadopulos/profil/spieler/9329,https://img.a.transfermarkt.technology/portrait/small/9329-1562143448.jpg?lm=1,N/A,14.04.1985,Ostrava,Retired
11,Tomas Jursa,Tomáš Jursa,133,14,0,9.478,N/A,Jursa,Unknown,22,0,MFK Karvina,Midfield - Central Midfield,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-jursa/profil/spieler/82165,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.03.1989,Karviná,SK Detmarovice
12,Rajmund Mikus,Rajmund Mikuš,114,12,13,7.693,N/A,Mikus,#10,8,1,MFK Karvina,Midfield - Left Midfield,"1,79 m",Slovakia,sk,https://www.transfermarkt.us/rajmund-mikus/profil/spieler/329401,https://img.a.transfermarkt.technology/portrait/small/329401-1703615012.png?lm=1,N/A,29.11.1995,Unknown,FK Dukla Prague
13,Ondrej Lingr,Ondřej Lingr,80,12,3,5.268,N/A,Lingr,#9,6,0,MFK Karvina,Midfield - Attacking Midfield,"1,75 m",Czech Republic,cz,https://www.transfermarkt.us/ondrej-lingr/profil/spieler/321195,https://img.a.transfermarkt.technology/portrait/small/321195-1697832656.png?lm=1,N/A,07.10.1998,Havířov,Houston Dynamo FC
14,Jaroslav Malek,Jaroslav Málek,38,11,11,2.411,N/A,Malek,#32,1,0,MFK Karvina,Midfield - Attacking Midfield,"1,69 m",Czech Republic,cz,https://www.transfermarkt.us/jaroslav-malek/profil/spieler/261917,https://img.a.transfermarkt.technology/portrait/small/261917-1710452981.png?lm=1,N/A,09.07.1991,Unknown,SK Lisen
15,Filip Vecheta,Unknown,24,11,2,1.442,N/A,Vecheta,#13,3,0,MFK Karvina,Attack - Centre-Forward,"1,94 m",Czech Republic,cz,https://www.transfermarkt.us/filip-vecheta/profil/spieler/652051,https://img.a.transfermarkt.technology/portrait/small/652051-1703023646.png?lm=1,N/A,15.02.2003,Hollabrunn,MFK Karvina
16,Rafiu Durosinmi,Rafiu Adekunle Durosinmi,39,10,6,2.369,N/A,Durosinmi,#17,11,0,MFK Karvina,Attack - Centre-Forward,"1,92 m",Nigeria,ng,https://www.transfermarkt.us/rafiu-durosinmi/profil/spieler/935760,https://img.a.transfermarkt.technology/portrait/small/935760-1696496799.jpg?lm=1,N/A,01.01.2003,Lagos,FC Viktoria Plzen
17,Erik Puchel,Unknown,80,10,8,3.943,N/A,Puchel,Unknown,3,0,MFK Karvina,Midfield - Left Midfield,"1,74 m",Czech Republic,cz,https://www.transfermarkt.us/erik-puchel/profil/spieler/272400,https://img.a.transfermarkt.technology/portrait/small/272400-1618486900.png?lm=1,N/A,15.05.1996,Unknown,FK Petrvald na Morave
18,Adeleke Akinyemi,Adeleke Akinola Akinyemi,47,10,3,2.428,N/A,Akinyemi,#27,2,0,MFK Karvina,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/adeleke-akinyemi/profil/spieler/153138,https://img.a.transfermarkt.technology/portrait/small/153138-1703615444.png?lm=1,N/A,11.08.1998,Lagos,Ilves Tampere
19,Dávid Guba,Unknown,56,10,4,2.606,N/A,Guba,Unknown,5,0,MFK Karvina,Attack - Right Winger,"1,81 m",Slovakia,sk,https://www.transfermarkt.us/david-guba/profil/spieler/112459,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.06.1991,Humenné,FCU Winklarn
