rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lallianzuala Chhangte,Unknown,103,35,19,8.310,N/A,Chhangte,#7,7,0,Mumbai City FC,Attack - Right Winger,"1,66 m",India,in,https://www.transfermarkt.us/lallianzuala-chhangte/profil/spieler/425586,https://img.a.transfermarkt.technology/portrait/small/425586-1710931776.JPG?lm=1,N/A,06.08.1997,"Lunglei, Mizoram",Mumbai City FC
2,Bipin Singh,Bipin Singh Thounajam,156,27,16,10.310,N/A,Singh,#29,5,0,Mumbai City FC,Attack - Left Winger,"1,72 m",India,in,https://www.transfermarkt.us/bipin-singh/profil/spieler/416250,https://img.a.transfermarkt.technology/portrait/small/416250-1708694100.jpg?lm=1,N/A,10.03.1995,"---, Manipur",Mumbai City FC
3,Jorge Pereyra Díaz,Jorge Rolando Pereyra Díaz,53,27,10,4.030,N/A,Pereyra Díaz,#30,15,1,Mumbai City FC,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/jorge-pereyra-diaz/profil/spieler/129660,https://img.a.transfermarkt.technology/portrait/small/129660-1701332013.jpg?lm=1,N/A,05.08.1990,La Rioja,Bengaluru FC
4,Vikram Partap Singh,विक्रम प्रताप सिंह,113,17,6,5.032,N/A,Partap Singh,#6,20,0,Mumbai City FC,Attack - Right Winger,"1,69 m",India,in,https://www.transfermarkt.us/vikram-partap-singh/profil/spieler/642350,https://img.a.transfermarkt.technology/portrait/small/642350-1708538390.jpg?lm=1,N/A,16.01.2002,"---, Chandigarh",Mumbai City FC
5,Greg Stewart,Unknown,45,17,18,3.743,N/A,Stewart,#10,7,0,Mumbai City FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/greg-stewart/profil/spieler/156775,https://img.a.transfermarkt.technology/portrait/small/156775-1727283563.JPG?lm=1,N/A,17.03.1990,Stirling,Mohun Bagan Super Giant
6,Modou Sougou,Pape Amodou Sougou,32,15,3,2.643,N/A,Sougou,Unknown,8,0,Mumbai City FC,Attack - Right Winger,"1,80 m",Senegal,sn,https://www.transfermarkt.us/modou-sougou/profil/spieler/33831,https://img.a.transfermarkt.technology/portrait/small/s_33831_244_2012_2.jpg?lm=1,N/A,18.12.1984,Fissel,Retired
7,Adam Le Fondre,Glenville Adam James le Fondre,23,11,1,1.625,N/A,Le Fondre,Unknown,4,0,Mumbai City FC,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/adam-le-fondre/profil/spieler/46106,https://img.a.transfermarkt.technology/portrait/small/46106-1646998479.jpg?lm=1,N/A,02.12.1986,Stockport,FC United of Manchester
8,Nikolaos Karelis,Νικόλαος Καρέλης,19,10,2,1.478,N/A,Karelis,#9,1,0,Mumbai City FC,Attack - Centre-Forward,"1,73 m",Greece,gr,https://www.transfermarkt.us/nikolaos-karelis/profil/spieler/63487,https://img.a.transfermarkt.technology/portrait/small/63487-1478246322.jpg?lm=1,N/A,24.02.1992,Heraklion,Mumbai City FC
9,Igor Angulo,Igor Angulo Albóniga,20,10,2,1.396,N/A,Angulo,Unknown,0,0,Mumbai City FC,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/igor-angulo/profil/spieler/29115,https://img.a.transfermarkt.technology/portrait/small/29115-1550678037.png?lm=1,N/A,26.01.1984,Bilbao,Retired
10,Mourtada Fall,Unknown,68,8,3,5.402,N/A,Fall,#15,9,0,Mumbai City FC,Defender - Centre-Back,"1,92 m",Senegal,sn,https://www.transfermarkt.us/mourtada-fall/profil/spieler/147271,https://img.a.transfermarkt.technology/portrait/small/147271-1712335650.png?lm=1,N/A,26.12.1987,Dakar,Odisha FC
