rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jacques Visschers,Unknown,277,121,14,23.719,N/A,Visschers,Unknown,0,0,NAC Breda,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/jacques-visschers/profil/spieler/620350,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.12.1940,Amsterdam,---
2,Leo Canjels,Leonardus Josephus Adrianus Canjels,151,121,0,13.455,N/A,Canjels,Unknown,0,0,NAC Breda,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/leo-canjels/profil/spieler/151868,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.1933,Princenhage,---
3,Louis Overbeeke,Unknown,161,63,0,14.445,N/A,Overbeeke,Unknown,0,0,NAC Breda,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/louis-overbeeke/profil/spieler/153783,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.09.1930,Woensdrecht,---
4,Matthew Amoah,Unknown,131,57,12,10.727,N/A,Amoah,Unknown,14,0,NAC Breda,Attack - Centre-Forward,,Ghana,gh,https://www.transfermarkt.us/matthew-amoah/profil/spieler/4429,https://img.a.transfermarkt.technology/portrait/small/4429-1589538461.jpg?lm=1,N/A,24.10.1980,Tema,Retired
5,Martien Vreijsen,Nicolaas Martinus Hubertus Johannes Vreijsen,224,56,41,19.303,N/A,Vreijsen,Unknown,6,1,NAC Breda,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/martien-vreijsen/profil/spieler/154256,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.11.1955,Breda,Retired
6,Addie Brouwers,Adrianus Gerardus Hubertus Brouwers,334,55,65,29.501,N/A,Brouwers,Unknown,3,0,NAC Breda,Midfield - Left Midfield,,Netherlands,nl,https://www.transfermarkt.us/addie-brouwers/profil/spieler/151824,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.01.1946,Breda,Retired
7,Anthony Lurling,Unknown,249,47,46,20.306,N/A,Lurling,Unknown,33,2,NAC Breda,Midfield - Attacking Midfield,,Netherlands,nl,https://www.transfermarkt.us/anthony-lurling/profil/spieler/4158,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1977,Den Bosch,Retired
8,Earnie Stewart,Earnest Lee Stewart Jr.,179,46,26,14.574,N/A,Stewart,Unknown,12,0,NAC Breda,Attack - Centre-Forward,"1,76 m",United States,us,https://www.transfermarkt.us/earnie-stewart/profil/spieler/4463,https://img.a.transfermarkt.technology/portrait/small/4463-1410857729.jpg?lm=1,N/A,28.03.1969,Veghel,Retired
9,Pierre van Hooijdonk,Petrus Ferdinandus Johannes van Hooijdonk,71,44,1,6.343,N/A,van Hooijdonk,Unknown,4,0,NAC Breda,Attack - Centre-Forward,"1,93 m",Netherlands,nl,https://www.transfermarkt.us/pierre-van-hooijdonk/profil/spieler/3520,https://img.a.transfermarkt.technology/portrait/small/3520-1598262558.jpg?lm=1,N/A,29.11.1969,Steenbergen,Retired
10,Guus van der Borgt,Unknown,103,41,6,8.806,N/A,van der Borgt,Unknown,0,0,NAC Breda,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/guus-van-der-borgt/profil/spieler/301446,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.11.1962,Steenbergen,Retired
11,Archil Arveladze,არჩილ არველაძე,77,41,10,6.175,N/A,Arveladze,Unknown,0,1,NAC Breda,Attack - Centre-Forward,,Georgia,ge,https://www.transfermarkt.us/archil-arveladze/profil/spieler/30,https://img.a.transfermarkt.technology/portrait/small/30-1490100806.jpg?lm=1,N/A,22.02.1973,Tiflis,Retired
12,Hein van Gastel,Hendricus van Gastel,211,41,0,18.815,N/A,van Gastel,Unknown,0,0,NAC Breda,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/hein-van-gastel/profil/spieler/240775,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.04.1938,Breda,Retired
13,Cock Luyten,Cock Luyten,332,37,4,29.500,N/A,Luyten,Unknown,0,0,NAC Breda,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/cock-luyten/profil/spieler/221357,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.10.1939,Breda,Retired
14,Graham Arnold,Graham James Arnold,65,36,4,5.664,N/A,Arnold,Unknown,5,0,NAC Breda,Attack - Centre-Forward,"1,79 m",Australia,au,https://www.transfermarkt.us/graham-arnold/profil/spieler/158582,https://img.a.transfermarkt.technology/portrait/small/158582-1634051736.jpg?lm=1,N/A,03.08.1963,Sydney,Retired
15,Frans Bouwmeester sr.,Unknown,175,35,20,15.426,N/A,Bouwmeester sr.,Unknown,0,0,NAC Breda,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/frans-bouwmeester-sr-/profil/spieler/151815,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.05.1940,Breda,Retired
16,Wim Groenewegen,Unknown,92,35,0,8.190,N/A,Groenewegen,Unknown,0,0,NAC Breda,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/wim-groenewegen/profil/spieler/865606,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.04.1937,Middelburg,---
17,John Lammers,Unknown,77,35,0,6.401,N/A,Lammers,Unknown,5,0,NAC Breda,Attack - Centre-Forward,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/john-lammers/profil/spieler/221394,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.12.1963,Tilburg,Retired
18,Tom Smits,Unknown,228,32,28,19.944,N/A,Smits,Unknown,8,0,NAC Breda,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/tom-smits/profil/spieler/188830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.01.1953,Unknown,Retired
19,Glen Salmon,Glen George Salmon,85,31,4,5.124,N/A,Salmon,Unknown,2,0,NAC Breda,Attack - Centre-Forward,"1,80 m",South Africa,za,https://www.transfermarkt.us/glen-salmon/profil/spieler/4650,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.12.1977,Salisbury,Retired
20,Bertus Quaars,Hubertus Frederikus Johannes Quaars,390,31,34,34.617,N/A,Quaars,Unknown,16,0,NAC Breda,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/bertus-quaars/profil/spieler/188777,https://img.a.transfermarkt.technology/portrait/small/s_188777_123_2012_1.jpg?lm=1,N/A,17.06.1947,Breda,Retired
