rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Taylor Twellman,Taylor Timothy Twellman,201,112,26,17.476,N/A,Twellman,Unknown,13,1,New England Revolution,Attack - Centre-Forward,,United States,us,https://www.transfermarkt.us/taylor-twellman/profil/spieler/38772,https://img.a.transfermarkt.technology/portrait/small/38772-1586203769.jpg?lm=1,N/A,29.02.1980,"Minneapolis, Minnesota",Retired
2,Lee Nguyen,Nguyễn Thế Anh Lee,222,55,36,18.012,N/A,Nguyen,Unknown,26,0,New England Revolution,Midfield - Attacking Midfield,"1,72 m",United States,us,https://www.transfermarkt.us/lee-nguyen/profil/spieler/37604,https://img.a.transfermarkt.technology/portrait/small/37604-1583576577.jpg?lm=1,N/A,07.10.1986,"Richardson, Texas",Retired
3,Diego Fagúndez,Diego Santiago Fagúndez Pepe,278,54,42,18.107,N/A,Fagúndez,#7,29,1,New England Revolution,Attack - Left Winger,"1,71 m",Uruguay,uy,https://www.transfermarkt.us/diego-fagundez/profil/spieler/170100,https://img.a.transfermarkt.technology/portrait/small/170100-1740776268.jpg?lm=1,N/A,14.02.1995,Montevideo,Los Angeles Galaxy
4,Teal Bunbury,Teal Alexander Bunbury,252,53,23,16.135,N/A,Bunbury,#12,29,0,New England Revolution,Attack - Centre-Forward,"1,88 m",United States,us,https://www.transfermarkt.us/teal-bunbury/profil/spieler/141217,https://img.a.transfermarkt.technology/portrait/small/141217-1740672724.jpg?lm=1,N/A,27.02.1990,"Hamilton, Ontario",Nashville SC
5,Gustavo Bou,Gustavo Leonardo Bou,115,51,20,8.969,N/A,Bou,Unknown,8,0,New England Revolution,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/gustavo-bou/profil/spieler/71608,https://img.a.transfermarkt.technology/portrait/small/71608-1678478326.jpg?lm=1,N/A,18.02.1990,Concordia,Club Defensores del Barrio Nébel
6,Carles Gil,Carles Gil de Pareja Vicent,185,46,56,15.575,N/A,Gil,#10,25,0,New England Revolution,Midfield - Attacking Midfield,"1,71 m",Spain,es,https://www.transfermarkt.us/carles-gil/profil/spieler/127987,https://img.a.transfermarkt.technology/portrait/small/127987-1740678567.jpg?lm=1,N/A,22.11.1992,Valencia,New England Revolution
7,Steve Ralston,Unknown,234,45,60,20.413,N/A,Ralston,Unknown,18,0,New England Revolution,Midfield - Right Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/steve-ralston/profil/spieler/39898,https://img.a.transfermarkt.technology/portrait/small/39898-1586368036.jpg?lm=1,N/A,14.06.1974,"Oakville, Missouri",Retired
8,Joe-Max Moore,Joseph Max Moore,100,43,23,8.327,N/A,Moore,Unknown,8,1,New England Revolution,Attack - Centre-Forward,,United States,us,https://www.transfermarkt.us/joe-max-moore/profil/spieler/1529,https://img.a.transfermarkt.technology/portrait/small/1529-1410437345.jpg?lm=1,N/A,23.02.1971,"Tulsa, Oklahoma",Retired
9,Pat Noonan,Unknown,137,43,22,10.228,N/A,Noonan,Unknown,11,0,New England Revolution,Attack - Centre-Forward,"1,83 m",United States,us,https://www.transfermarkt.us/pat-noonan/profil/spieler/39896,https://img.a.transfermarkt.technology/portrait/small/39896-1587235316.jpg?lm=1,N/A,02.08.1980,"Ballwin, Missouri",Retired
10,Shalrie Joseph,Shalrie Jamal Joseph,295,41,29,25.933,N/A,Joseph,Unknown,58,4,New England Revolution,Midfield - Defensive Midfield,"1,90 m",Grenada,gd,https://www.transfermarkt.us/shalrie-joseph/profil/spieler/39892,https://img.a.transfermarkt.technology/portrait/small/39892-1520951106.jpg?lm=1,N/A,24.05.1978,St. George’s,Retired
11,Juan Agudelo,Juan Sebastián Agudelo,169,36,14,10.236,N/A,Agudelo,#17,25,0,New England Revolution,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/juan-agudelo/profil/spieler/131171,https://img.a.transfermarkt.technology/portrait/small/131171-1678710385.JPG?lm=1,N/A,23.11.1992,Manizales,San Antonio FC
12,Adam Buksa,Unknown,73,35,7,5.204,N/A,Buksa,#18,8,0,New England Revolution,Attack - Centre-Forward,"1,91 m",Poland,pl,https://www.transfermarkt.us/adam-buksa/profil/spieler/267160,https://img.a.transfermarkt.technology/portrait/small/267160-1725875279.jpg?lm=1,N/A,12.07.1996,Kraków,FC Midtjylland
13,Kelyn Rowe,Kelyn Jaynes Rowe,245,35,41,17.100,N/A,Rowe,Unknown,24,0,New England Revolution,Midfield - Central Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/kelyn-rowe/profil/spieler/183118,https://img.a.transfermarkt.technology/portrait/small/183118-1647636259.jpg?lm=1,N/A,02.12.1991,"Federal Way, Washington",Retired
14,Wolde Harris,Wolde Sealassie Amefika Jaha Harris,102,27,12,6.861,N/A,Harris,Unknown,3,0,New England Revolution,Attack - Centre-Forward,"1,78 m",Jamaica,jm,https://www.transfermarkt.us/wolde-harris/profil/spieler/142393,https://img.a.transfermarkt.technology/portrait/small/142393-1589963109.jpg?lm=1,N/A,26.01.1974,Kingston,Retired
