rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bradley Wright-Phillips,Bradley Edward Wright-Phillips,240,126,31,18.493,N/A,Wright-Phillips,Unknown,29,0,New York Red Bulls,Attack - Centre-Forward,"1,73 m",England,unknown,https://www.transfermarkt.us/bradley-wright-phillips/profil/spieler/28813,https://img.a.transfermarkt.technology/portrait/small/28813-1618657476.jpg?lm=1,N/A,12.03.1985,London,Des Moines Menace
2,Juan Pablo Ángel,Juan Pablo Ángel Arango,111,61,8,9.626,N/A,Ángel,Unknown,9,1,New York Red Bulls,Attack - Centre-Forward,"1,85 m",Colombia,co,https://www.transfermarkt.us/juan-pablo-angel/profil/spieler/3278,https://img.a.transfermarkt.technology/portrait/small/3278-1591807425.jpg?lm=1,N/A,24.10.1975,Medellín,Retired
3,Thierry Henry,Thierry Daniel Henry,135,52,40,11.486,N/A,Henry,Unknown,19,2,New York Red Bulls,Attack - Centre-Forward,"1,88 m",France,fr,https://www.transfermarkt.us/thierry-henry/profil/spieler/3207,https://img.a.transfermarkt.technology/portrait/small/3207-1683199668.jpg?lm=1,N/A,17.08.1977,Les Ulis,Retired
4,Daniel Royer,Unknown,156,50,19,10.394,N/A,Royer,Unknown,8,1,New York Red Bulls,Attack - Left Winger,"1,77 m",Austria,at,https://www.transfermarkt.us/daniel-royer/profil/spieler/74762,https://img.a.transfermarkt.technology/portrait/small/74762-1618763847.jpg?lm=1,N/A,22.05.1990,Schladming,Retired
5,Giovanni Savarese,Giovanni Savarese Rubinaccio,96,44,5,6.458,N/A,Savarese,Unknown,8,0,New York Red Bulls,Attack - Centre-Forward,"1,83 m",Venezuela,ve,https://www.transfermarkt.us/giovanni-savarese/profil/spieler/252143,https://img.a.transfermarkt.technology/portrait/small/252143-1579451516.jpg?lm=1,N/A,14.07.1970,Caracas,Retired
6,Clint Mathis,Unknown,102,42,18,8.128,N/A,Mathis,Unknown,22,3,New York Red Bulls,Midfield - Attacking Midfield,,United States,us,https://www.transfermarkt.us/clint-mathis/profil/spieler/15644,https://img.a.transfermarkt.technology/portrait/small/15644-1713983120.jpg?lm=1,N/A,25.11.1976,"Conyers, Georgia",Retired
7,Amado Guevara,Unknown,112,34,30,9.729,N/A,Guevara,Unknown,23,0,New York Red Bulls,Midfield - Attacking Midfield,"1,80 m",Honduras,hn,https://www.transfermarkt.us/amado-guevara/profil/spieler/30598,https://img.a.transfermarkt.technology/portrait/small/30598-1606767743.jpg?lm=1,N/A,02.05.1976,Tegucigalpa,Retired
8,Lewis Morgan,Lewis Anthony Morgan,80,31,10,6.403,N/A,Morgan,#9,3,0,New York Red Bulls,Attack - Left Winger,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/lewis-morgan/profil/spieler/311351,https://img.a.transfermarkt.technology/portrait/small/311351-1740944110.jpg?lm=1,N/A,30.09.1996,Paisley,New York Red Bulls
9,John Wolyniec,Unknown,155,29,15,8.385,N/A,Wolyniec,Unknown,10,0,New York Red Bulls,Attack - Centre-Forward,"1,88 m",United States,us,https://www.transfermarkt.us/john-wolyniec/profil/spieler/30608,https://img.a.transfermarkt.technology/portrait/small/30608-1587802465.jpg?lm=1,N/A,24.01.1977,"Staten Island, New York",Retired
10,Adolfo Valencia,Adolfo José Valencia Mosquera,56,26,11,4.076,N/A,Valencia,Unknown,6,0,New York Red Bulls,Attack - Centre-Forward,,Colombia,co,https://www.transfermarkt.us/adolfo-valencia/profil/spieler/84610,https://img.a.transfermarkt.technology/portrait/small/84610-1589232893.jpg?lm=1,N/A,06.02.1968,Buenaventura,Retired
11,Lloyd Sam,Lloyd Ekow Sam,126,24,22,8.638,N/A,Sam,Unknown,14,1,New York Red Bulls,Attack - Right Winger,"1,73 m",Ghana,gh,https://www.transfermarkt.us/lloyd-sam/profil/spieler/12131,https://img.a.transfermarkt.technology/portrait/small/12131-1582661645.jpg?lm=1,N/A,27.09.1984,Leeds,Retired
12,Mike Magee,Michael Magee,134,23,13,7.951,N/A,Magee,Unknown,12,1,New York Red Bulls,Attack - Centre-Forward,"1,76 m",United States,us,https://www.transfermarkt.us/mike-magee/profil/spieler/30602,https://img.a.transfermarkt.technology/portrait/small/30602-1587246232.jpg?lm=1,N/A,02.09.1984,"Chicago, Illinois",Retired
13,Rodrigo Faria,Unknown,52,23,5,3.824,N/A,Faria,Unknown,5,0,New York Red Bulls,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/rodrigo-faria/profil/spieler/222270,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.02.1977,Rio de Janeiro,Retired
14,Sacha Kljestan,Sacha Bryan Klještan,121,22,37,10.001,N/A,Kljestan,Unknown,17,1,New York Red Bulls,Midfield - Attacking Midfield,"1,85 m",United States,us,https://www.transfermarkt.us/sacha-kljestan/profil/spieler/39475,https://img.a.transfermarkt.technology/portrait/small/39475-1646080078.JPG?lm=1,N/A,09.09.1985,"Huntington Beach, California",Des Moines Menace
15,Dane Richards,Dane O'Brian Richards,173,22,29,13.181,N/A,Richards,Unknown,26,0,New York Red Bulls,Midfield - Right Midfield,"1,70 m",Jamaica,jm,https://www.transfermarkt.us/dane-richards/profil/spieler/51019,https://img.a.transfermarkt.technology/portrait/small/51019-1606851707.jpg?lm=1,N/A,14.12.1983,Montego Bay,Retired
