rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Goran Roce,Unknown,147,30,4,10.205,N/A,Roce,Unknown,25,0,NK Istra 1961,Attack - Left Winger,"1,86 m",Croatia,hr,https://www.transfermarkt.us/goran-roce/profil/spieler/32929,https://img.a.transfermarkt.technology/portrait/small/s_32929_420_2014_05_18_1.jpg?lm=1,N/A,12.04.1986,Pula,Retired
2,Dejan Radonjic,Dejan Radonjić,59,26,3,4.318,N/A,Radonjic,Unknown,16,0,NK Istra 1961,Attack - Centre-Forward,"1,90 m",Croatia,hr,https://www.transfermarkt.us/dejan-radonjic/profil/spieler/67856,https://img.a.transfermarkt.technology/portrait/small/67856-1569556789.png?lm=1,N/A,23.07.1990,Tettnang,Retired
3,Dion Beljo,Dion Drena Beljo,37,20,4,2.939,N/A,Beljo,#7,3,0,NK Istra 1961,Attack - Centre-Forward,"1,95 m",Croatia,hr,https://www.transfermarkt.us/dion-beljo/profil/spieler/618350,https://img.a.transfermarkt.technology/portrait/small/618350-1726051132.jpg?lm=1,N/A,01.03.2002,Zagreb,Rapid Vienna
4,Sime Grzan,Šime Gržan,124,20,11,9.564,N/A,Grzan,#43,14,0,NK Istra 1961,Defender - Right-Back,"1,72 m",Croatia,hr,https://www.transfermarkt.us/sime-grzan/profil/spieler/186647,https://img.a.transfermarkt.technology/portrait/small/186647-1663607810.jpg?lm=1,N/A,06.04.1994,Zadar,HNK Sibenik
5,Asim Sehic,Asim Šehić,51,19,3,4.283,N/A,Sehic,Unknown,5,1,NK Istra 1961,Attack - Centre-Forward,"1,80 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/asim-sehic/profil/spieler/27564,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.06.1981,Kalesija,Retired
6,Sandi Krizman,Sandi Križman,61,19,8,5.297,N/A,Krizman,Unknown,6,0,NK Istra 1961,Attack - Centre-Forward,"1,79 m",Croatia,hr,https://www.transfermarkt.us/sandi-krizman/profil/spieler/47637,https://img.a.transfermarkt.technology/portrait/small/47637-1661521586.png?lm=1,N/A,17.08.1989,Pula,NK Muntic
7,Ante Erceg,Unknown,44,18,4,3.354,N/A,Erceg,#50,16,0,NK Istra 1961,Attack - Centre-Forward,"1,80 m",Croatia,hr,https://www.transfermarkt.us/ante-erceg/profil/spieler/131303,https://img.a.transfermarkt.technology/portrait/small/131303-1600971363.jpg?lm=1,N/A,12.12.1989,Split,HNK Gorica
8,Antonio Ivancic,Antonio Ivančić,99,13,5,6.145,N/A,Ivancic,#20,6,1,NK Istra 1961,Midfield - Attacking Midfield,"1,82 m",Croatia,hr,https://www.transfermarkt.us/antonio-ivancic/profil/spieler/388145,https://img.a.transfermarkt.technology/portrait/small/388145-1736615085.jpg?lm=1,N/A,25.05.1995,Zagreb,HSK Zrinjski Mostar
9,Slavko Blagojevic,Slavko Blagojević,202,12,15,15.443,N/A,Blagojevic,#7,66,0,NK Istra 1961,Midfield - Defensive Midfield,"1,79 m",Croatia,hr,https://www.transfermarkt.us/slavko-blagojevic/profil/spieler/46021,https://img.a.transfermarkt.technology/portrait/small/46021-1732990417.jpg?lm=1,N/A,21.03.1987,Otok,NK Istra 1961
10,Matej Vuk,Unknown,84,11,5,5.364,N/A,Vuk,#15,6,0,NK Istra 1961,Attack - Left Winger,"1,83 m",Croatia,hr,https://www.transfermarkt.us/matej-vuk/profil/spieler/371004,https://img.a.transfermarkt.technology/portrait/small/371004-1732990484.jpg?lm=1,N/A,10.06.2000,Čakovec,NK Varazdin
