rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Nino Bule,Unknown,70,28,10,6.157,N/A,Bule,Unknown,14,1,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/nino-bule/profil/spieler/18262,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.03.1976,Capljina,Retired
2,Mirko Marić,Mirko Marić,94,28,7,5.321,N/A,Marić,#99,5,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/mirko-maric/profil/spieler/215649,https://img.a.transfermarkt.technology/portrait/small/215649-1661764396.jpg?lm=1,N/A,16.05.1995,Mostar,Venezia FC
3,Sandro Kulenovic,Sandro Kulenović,72,24,8,5.076,N/A,Kulenovic,#17,8,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,91 m",Croatia,hr,https://www.transfermarkt.us/sandro-kulenovic/profil/spieler/357778,https://img.a.transfermarkt.technology/portrait/small/357778-1605123186.jpg?lm=1,N/A,04.12.1999,Zagreb,GNK Dinamo Zagreb
4,Robert Mudrazija,Robert Mudražija,59,22,8,4.114,N/A,Mudrazija,#8,9,0,NK Lokomotiva Zagreb,Midfield - Attacking Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/robert-mudrazija/profil/spieler/339584,https://img.a.transfermarkt.technology/portrait/small/339584-1741972344.jpg?lm=1,N/A,05.05.1997,Zagreb,NK Lokomotiva Zagreb
5,Indrit Tuci,Unknown,105,21,11,5.222,N/A,Tuci,#11,13,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,91 m",Albania,al,https://www.transfermarkt.us/indrit-tuci/profil/spieler/675857,https://img.a.transfermarkt.technology/portrait/small/675857-1708671924.jpg?lm=1,N/A,14.09.2000,Lezhe,AC Sparta Prague
6,Franko Andrijasevic,Franko Andrijašević,51,21,6,4.245,N/A,Andrijasevic,#11,10,0,NK Lokomotiva Zagreb,Midfield - Attacking Midfield,"1,88 m",Croatia,hr,https://www.transfermarkt.us/franko-andrijasevic/profil/spieler/107377,https://img.a.transfermarkt.technology/portrait/small/107377-1489422144.jpg?lm=1,N/A,22.06.1991,Split,Zhejiang FC
7,Lirim Kastrati,Lirim Kastrati,99,21,11,7.353,N/A,Kastrati,#10,7,0,NK Lokomotiva Zagreb,Attack - Right Winger,"1,74 m",Kosovo,unknown,https://www.transfermarkt.us/lirim-kastrati/profil/spieler/531218,https://img.a.transfermarkt.technology/portrait/small/531218-1627914925.jpg?lm=1,N/A,16.01.1999,Ogošte / Hogosht,Fehérvár FC
8,Duje Cop,Duje Čop,45,21,5,3.383,N/A,Cop,#9,6,0,NK Lokomotiva Zagreb,Attack - Centre-Forward,"1,84 m",Croatia,hr,https://www.transfermarkt.us/duje-cop/profil/spieler/46415,https://img.a.transfermarkt.technology/portrait/small/46415-1616873828.jpg?lm=1,N/A,01.02.1990,Vinkovci,HNK Rijeka
9,Andrej Kramaric,Andrej Kramarić,45,20,9,3.927,N/A,Kramaric,#27,4,0,NK Lokomotiva Zagreb,Midfield - Attacking Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/andrej-kramaric/profil/spieler/46580,https://img.a.transfermarkt.technology/portrait/small/46580-1657201316.jpg?lm=1,N/A,19.06.1991,Zagreb,TSG 1899 Hoffenheim
10,Myrto Uzuni,Unknown,69,20,16,5.846,N/A,Uzuni,#10,9,1,NK Lokomotiva Zagreb,Attack - Left Winger,"1,78 m",Albania,al,https://www.transfermarkt.us/myrto-uzuni/profil/spieler/315289,https://img.a.transfermarkt.technology/portrait/small/315289-1740778782.jpg?lm=1,N/A,31.05.1995,Berat,Austin FC
