rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ramón Miérez,Ramón Nazareno Miérez,152,63,14,11.891,N/A,Miérez,#11,23,1,NK Osijek,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/ramon-mierez/profil/spieler/435022,https://img.a.transfermarkt.technology/portrait/small/435022-1709749605.jpg?lm=1,N/A,13.05.1997,Resistencia,Al-Jazira Club
2,Mirko Marić,Mirko Marić,113,53,18,9.068,N/A,Marić,#99,8,0,NK Osijek,Attack - Centre-Forward,"1,88 m",Croatia,hr,https://www.transfermarkt.us/mirko-maric/profil/spieler/215649,https://img.a.transfermarkt.technology/portrait/small/215649-1661764396.jpg?lm=1,N/A,16.05.1995,Mostar,Venezia FC
3,Antonio Perosevic,Antonio Perošević,138,37,12,9.119,N/A,Perosevic,#10,28,2,NK Osijek,Attack - Left Winger,"1,80 m",Croatia,hr,https://www.transfermarkt.us/antonio-perosevic/profil/spieler/149228,https://img.a.transfermarkt.technology/portrait/small/149228-1592155922.jpg?lm=1,N/A,06.03.1992,Split,NK BSK Bijelo Brdo
4,Josip Barisic,Josip Barišić,157,33,10,9.238,N/A,Barisic,Unknown,11,0,NK Osijek,Attack - Centre-Forward,"1,86 m",Croatia,hr,https://www.transfermarkt.us/josip-barisic/profil/spieler/34546,https://img.a.transfermarkt.technology/portrait/small/34546-1447927793.jpg?lm=1,N/A,14.11.1986,Osijek,Retired
5,Ivan Milicevic,Ivan Miličević,126,25,16,8.473,N/A,Milicevic,Unknown,9,1,NK Osijek,Attack - Centre-Forward,"1,81 m",Croatia,hr,https://www.transfermarkt.us/ivan-milicevic/profil/spieler/49947,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.02.1988,Osijek,SG Waldmünchen/Geigant
6,Petar Bockaj,Petar Bočkaj,149,24,29,10.489,N/A,Bockaj,#12,23,0,NK Osijek,Defender - Left-Back,"1,79 m",Croatia,hr,https://www.transfermarkt.us/petar-bockaj/profil/spieler/292666,https://img.a.transfermarkt.technology/portrait/small/292666-1712087021.jpg?lm=1,N/A,23.07.1996,Zagreb,GNK Dinamo Zagreb
7,Mijo Caktas,Mijo Caktaš,70,24,4,4.748,N/A,Caktas,#11,11,0,NK Osijek,Midfield - Attacking Midfield,"1,79 m",Croatia,hr,https://www.transfermarkt.us/mijo-caktas/profil/spieler/197032,https://img.a.transfermarkt.technology/portrait/small/197032-1707386837.png?lm=1,N/A,08.05.1992,Split,Kocaelispor
8,Muzafer Ejupi,Музафер Ејупи,78,23,4,5.044,N/A,Ejupi,Unknown,9,0,NK Osijek,Attack - Centre-Forward,"1,85 m",North Macedonia,mk,https://www.transfermarkt.us/muzafer-ejupi/profil/spieler/70920,https://img.a.transfermarkt.technology/portrait/small/70920-1425641382.jpg?lm=1,N/A,16.09.1988,Skopje,Retired
9,Vedran Niksic,Vedran Nikšić,71,22,5,3.720,N/A,Niksic,Unknown,4,0,NK Osijek,Attack - Centre-Forward,"1,83 m",Croatia,hr,https://www.transfermarkt.us/vedran-niksic/profil/spieler/37631,https://img.a.transfermarkt.technology/portrait/small/s_37631_6055_2010_1.jpg?lm=1,N/A,05.05.1987,Osijek,NK Tomislav Livana
10,László Kleinheisler,Unknown,131,21,15,9.243,N/A,Kleinheisler,#8,15,0,NK Osijek,Midfield - Attacking Midfield,"1,73 m",Hungary,hu,https://www.transfermarkt.us/laszlo-kleinheisler/profil/spieler/220656,https://img.a.transfermarkt.technology/portrait/small/220656-1735060592.jpg?lm=1,N/A,08.04.1994,Kazincbarcika,Grazer AK 1902
