rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Miljenko Mumlek,Unknown,115,43,26,9.992,N/A,Mumlek,Unknown,20,1,NK Varazdin,Midfield - Central Midfield,"1,78 m",Croatia,hr,https://www.transfermarkt.us/miljenko-mumlek/profil/spieler/13477,https://img.a.transfermarkt.technology/portrait/small/13477-1617012975.jpg?lm=1,N/A,21.11.1972,Varazdin,Retired
2,Domagoj Drozdek,Domagoj Drožđek,103,37,7,7.549,N/A,Drozdek,#25,11,0,NK Varazdin,Attack - Centre-Forward,"1,80 m",Croatia,hr,https://www.transfermarkt.us/domagoj-drozdek/profil/spieler/240247,https://img.a.transfermarkt.technology/portrait/small/240247-1732282878.png?lm=1,N/A,20.03.1996,Varaždin,Tractor FC
3,Leon Benko,Unknown,93,37,1,5.881,N/A,Benko,Unknown,21,0,NK Varazdin,Attack - Centre-Forward,"1,82 m",Croatia,hr,https://www.transfermarkt.us/leon-benko/profil/spieler/27824,https://img.a.transfermarkt.technology/portrait/small/27824-1460581295.jpg?lm=1,N/A,11.11.1983,Varazdin,Retired
4,Fran Brodic,Fran Brodić,62,25,7,4.650,N/A,Brodic,#9,4,0,NK Varazdin,Attack - Centre-Forward,"1,80 m",Croatia,hr,https://www.transfermarkt.us/fran-brodic/profil/spieler/226060,https://img.a.transfermarkt.technology/portrait/small/226060-1665500747.png?lm=1,N/A,08.01.1997,Zagreb,Újpest FC
5,Enes Novinic,Enes Novinić,82,25,5,5.399,N/A,Novinic,Unknown,12,0,NK Varazdin,Attack - Centre-Forward,"1,80 m",Croatia,hr,https://www.transfermarkt.us/enes-novinic/profil/spieler/27902,https://img.a.transfermarkt.technology/portrait/small/s_27902_2231_2012_1.jpg?lm=1,N/A,18.07.1985,Cakovec,NK Vatrogasac Gornje Mekusje
6,Dejan Glavica,Unknown,110,24,2,6.563,N/A,Glavica,Unknown,12,1,NK Varazdin,Midfield - Attacking Midfield,"1,72 m",Croatia,hr,https://www.transfermarkt.us/dejan-glavica/profil/spieler/135118,https://img.a.transfermarkt.technology/portrait/small/135118-1422784546.jpg?lm=1,N/A,20.08.1991,Varaždin,NK Varteks (2011)
7,Goran Mujanovic,Goran Mujanović,99,22,7,8.446,N/A,Mujanovic,Unknown,16,0,NK Varazdin,Attack - Right Winger,"1,76 m",Croatia,hr,https://www.transfermarkt.us/goran-mujanovic/profil/spieler/27898,https://img.a.transfermarkt.technology/portrait/small/s_27898_144_2014_05_18_1.jpg?lm=1,N/A,29.09.1983,Varazdin,Retired
8,Josip Golubar,Unknown,120,18,9,9.673,N/A,Golubar,Unknown,23,0,NK Varazdin,Midfield - Attacking Midfield,"1,87 m",Croatia,hr,https://www.transfermarkt.us/josip-golubar/profil/spieler/77703,https://img.a.transfermarkt.technology/portrait/small/77703-1558120387.jpg?lm=1,N/A,04.03.1985,Krkanec,NK Buducnost Vidovec
9,Michele Sego,Michele Šego,107,17,22,8.089,N/A,Sego,#15,11,1,NK Varazdin,Attack - Right Winger,"1,78 m",Croatia,hr,https://www.transfermarkt.us/michele-sego/profil/spieler/371012,https://img.a.transfermarkt.technology/portrait/small/371012-1736611722.png?lm=1,N/A,05.08.2000,Split,HNK Hajduk Split
10,Igor Postonjski,Unknown,87,17,11,7.096,N/A,Postonjski,#8,20,0,NK Varazdin,Midfield - Defensive Midfield,"1,77 m",Croatia,hr,https://www.transfermarkt.us/igor-postonjski/profil/spieler/312715,https://img.a.transfermarkt.technology/portrait/small/312715-1665498700.png?lm=1,N/A,04.02.1995,Zabok,Tractor FC
11,Matija Smrekar,Unknown,69,16,9,4.677,N/A,Smrekar,Unknown,14,0,NK Varazdin,Attack - Centre-Forward,"1,85 m",Croatia,hr,https://www.transfermarkt.us/matija-smrekar/profil/spieler/49664,https://img.a.transfermarkt.technology/portrait/small/s_49664_790_2012_1.jpg?lm=1,N/A,08.04.1989,Zabok,NK Mladost Zabok
12,Nikola Safaric,Nikola Šafarić,86,15,6,6.458,N/A,Safaric,Unknown,5,3,NK Varazdin,Midfield - Central Midfield,"1,68 m",Croatia,hr,https://www.transfermarkt.us/nikola-safaric/profil/spieler/27926,https://img.a.transfermarkt.technology/portrait/small/s_27926_6056_2012_1.jpg?lm=1,N/A,11.03.1981,Cakovec,Retired
13,Davor Vugrinec,Unknown,51,14,11,4.362,N/A,Vugrinec,Unknown,3,0,NK Varazdin,Attack - Centre-Forward,"1,79 m",Croatia,hr,https://www.transfermarkt.us/davor-vugrinec/profil/spieler/15328,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.03.1975,Varazdin,Retired
14,Mario Sacer,Mario Sačer,92,14,5,5.262,N/A,Sacer,Unknown,16,0,NK Varazdin,Attack - Centre-Forward,"1,77 m",Croatia,hr,https://www.transfermarkt.us/mario-sacer/profil/spieler/89593,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.11.1990,Varazdin,NK Podravina Ludbreg
15,Tonio Teklic,Tonio Teklić,74,13,9,5.702,N/A,Teklic,#91,8,1,NK Varazdin,Midfield - Attacking Midfield,"1,82 m",Croatia,hr,https://www.transfermarkt.us/tonio-teklic/profil/spieler/510241,https://img.a.transfermarkt.technology/portrait/small/510241-1695671496.png?lm=1,N/A,09.09.1999,Split,Erzurumspor FK
16,Dominik Glavina,Unknown,71,13,3,4.447,N/A,Glavina,Unknown,6,0,NK Varazdin,Attack - Second Striker,"1,82 m",Croatia,hr,https://www.transfermarkt.us/dominik-glavina/profil/spieler/148397,https://img.a.transfermarkt.technology/portrait/small/148397-1548141723.jpg?lm=1,N/A,06.12.1992,Cakovec,SV Neuberg
