rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ruslan Stepanyuk,Степанюк Руслан Юрійович,91,32,14,7.715,N/A,Stepanyuk,#7,9,0,NK Veres Rivne,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ruslan-stepanyuk/profil/spieler/222079,https://img.a.transfermarkt.technology/portrait/small/222079-1723642222.png?lm=1,N/A,16.01.1992,"Vesele, Dnipropetrovsk Oblast",NK Veres Rivne
2,Mykhaylo Shestakov,Шестаков Михайло Сергійович,103,24,2,4.490,N/A,Shestakov,#99,15,0,NK Veres Rivne,Attack - Centre-Forward,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/mykhaylo-shestakov/profil/spieler/321165,https://img.a.transfermarkt.technology/portrait/small/321165-1616756213.png?lm=1,N/A,12.04.1990,"Ladyzhyn, Vinnytsya Oblast",SC Vilkhivtsi (Zakarpattya Oblast)
3,Mykhaylo Sergiychuk,Сергійчук Михайло Миколайович,99,21,9,5.411,N/A,Sergiychuk,#13,19,1,NK Veres Rivne,Attack - Centre-Forward,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/mykhaylo-sergiychuk/profil/spieler/243841,https://img.a.transfermarkt.technology/portrait/small/243841-1616756160.png?lm=1,N/A,29.07.1991,"Kostyantynivka, Rivne Oblast",FC Trostyanets
4,Mykola Gayduchyk,Гайдучик Микола Михайлович,104,19,13,5.608,N/A,Gayduchyk,#89,4,0,NK Veres Rivne,Attack - Centre-Forward,"1,88 m",Ukraine,ua,https://www.transfermarkt.us/mykola-gayduchyk/profil/spieler/860701,https://img.a.transfermarkt.technology/portrait/small/860701-1723642301.png?lm=1,N/A,30.12.1999,"Zdolbuniv, Rivne Oblast",NK Veres Rivne
5,Aleksey Snigirev,Снигирёв Алексей Анатольевич,37,18,0,3.202,N/A,Snigirev,Unknown,0,0,NK Veres Rivne,Attack - Centre-Forward,Unknown,Russia,unknown,https://www.transfermarkt.us/aleksey-snigirev/profil/spieler/430252,https://img.a.transfermarkt.technology/portrait/small/430252-1676211343.jpg?lm=1,N/A,19.01.1968,Pskov,Retired
6,Oleksandr Palyanytsya,Паляниця Олександр Віталійович,69,17,3,5.776,N/A,Palyanytsya,Unknown,5,0,NK Veres Rivne,Attack - Centre-Forward,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-palyanytsya/profil/spieler/142526,https://img.a.transfermarkt.technology/portrait/small/142526-1634648971.jpg?lm=1,N/A,29.02.1972,Zhytomyr,Retired
7,Sergiy Voznyuk,Вознюк Сергій Васильович,90,16,0,7.803,N/A,Voznyuk,Unknown,8,0,NK Veres Rivne,Attack,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/sergiy-voznyuk/profil/spieler/1015194,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.09.1974,Rivne,Retired
8,Vitaliy Dakhnovskyi,Дахновський Віталій Олегович,122,14,19,7.433,N/A,Dakhnovskyi,#11,24,2,NK Veres Rivne,Midfield - Right Midfield,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/vitaliy-dakhnovskyi/profil/spieler/688714,https://img.a.transfermarkt.technology/portrait/small/688714-1723642120.png?lm=1,N/A,10.02.1999,"Pyatnytsya, Lviv Oblast",NK Veres Rivne
9,Gennadiy Pasich,Пасіч Геннадій Анатолійович,93,13,12,7.246,N/A,Pasich,#11,22,0,NK Veres Rivne,Midfield - Left Midfield,"1,74 m",Ukraine,ua,https://www.transfermarkt.us/gennadiy-pasich/profil/spieler/315236,https://img.a.transfermarkt.technology/portrait/small/315236-1720636803.png?lm=1,N/A,13.07.1993,"Dniprodzerzhynsk, Dnipropetrovsk Oblast",LNZ Cherkasy
10,Vladyslav Sharay,Шарай Владислав Геннадійович,85,12,5,4.522,N/A,Sharay,#77,16,1,NK Veres Rivne,Attack - Left Winger,"1,75 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-sharay/profil/spieler/520400,https://img.a.transfermarkt.technology/portrait/small/520400-1723642244.png?lm=1,N/A,25.05.1997,"Romny, Sumy Oblast",NK Veres Rivne
