rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bjorn Ruytinx,Unknown,248,77,22,16.901,N/A,Ruytinx,Unknown,69,1,Oud-Heverlee Leuven,Attack - Centre-Forward,"1,85 m",Belgium,be,https://www.transfermarkt.us/bjorn-ruytinx/profil/spieler/33130,https://img.a.transfermarkt.technology/portrait/small/33130-1617091108.jpg?lm=1,N/A,18.08.1980,Herk-de-Stad,Retired
2,Mathieu Maertens,Unknown,216,47,20,16.383,N/A,Maertens,#33,40,1,Oud-Heverlee Leuven,Midfield - Attacking Midfield,"1,85 m",Belgium,be,https://www.transfermarkt.us/mathieu-maertens/profil/spieler/310131,https://img.a.transfermarkt.technology/portrait/small/310131-1713337167.png?lm=1,N/A,27.03.1995,Unknown,Oud-Heverlee Leuven
3,Thomas Henry,Unknown,79,45,12,6.792,N/A,Henry,#20,13,0,Oud-Heverlee Leuven,Attack - Centre-Forward,"1,91 m",France,fr,https://www.transfermarkt.us/thomas-henry/profil/spieler/412513,https://img.a.transfermarkt.technology/portrait/small/412513-1663671645.jpg?lm=1,N/A,20.09.1994,Argenteuil,Palermo FC
4,Jovan Kostovski,Јован Костовски,123,35,5,7.654,N/A,Kostovski,Unknown,17,3,Oud-Heverlee Leuven,Attack - Centre-Forward,"1,88 m",North Macedonia,mk,https://www.transfermarkt.us/jovan-kostovski/profil/spieler/26980,https://img.a.transfermarkt.technology/portrait/small/s_26980_77_2010_1.jpg?lm=1,N/A,19.04.1987,Skopje,Retired
5,Jordan Remacle,Unknown,97,35,32,8.325,N/A,Remacle,Unknown,14,1,Oud-Heverlee Leuven,Attack - Right Winger,"1,75 m",Belgium,be,https://www.transfermarkt.us/jordan-remacle/profil/spieler/30671,https://img.a.transfermarkt.technology/portrait/small/30671-1487768431.jpg?lm=1,N/A,14.02.1987,Verviers,Retired
6,Hamdi Harbaoui,حمدي الحرباوي,33,25,9,2.942,N/A,Harbaoui,Unknown,8,0,Oud-Heverlee Leuven,Attack - Centre-Forward,"1,86 m",Tunisia,tn,https://www.transfermarkt.us/hamdi-harbaoui/profil/spieler/49841,https://img.a.transfermarkt.technology/portrait/small/49841-1459236252.jpg?lm=1,N/A,05.01.1985,Bizerte,Retired
7,Toni Brogno,Antonio Brogno,60,25,0,4.572,N/A,Brogno,Unknown,11,0,Oud-Heverlee Leuven,Attack - Second Striker,"1,67 m",Belgium,be,https://www.transfermarkt.us/toni-brogno/profil/spieler/13277,https://img.a.transfermarkt.technology/portrait/small/13277-1537869793.jpg?lm=1,N/A,19.07.1973,Marchienne,Retired
8,Ibou,Unknown,54,21,12,4.288,N/A,Ibou,Unknown,3,0,Oud-Heverlee Leuven,Attack - Left Winger,"1,82 m",The Gambia,unknown,https://www.transfermarkt.us/ibou/profil/spieler/29855,https://img.a.transfermarkt.technology/portrait/small/29855-1487691778.jpg?lm=1,N/A,07.09.1986,Serekunda,Retired
9,Esteban Casagolda,Esteban Casagolda Collazo,75,20,4,4.228,N/A,Casagolda,#9,5,0,Oud-Heverlee Leuven,Attack - Centre-Forward,"1,87 m",Belgium,be,https://www.transfermarkt.us/esteban-casagolda/profil/spieler/45506,https://img.a.transfermarkt.technology/portrait/small/45506-1476111335.jpg?lm=1,N/A,05.01.1987,Brussel,Crossing Schaerbeek
10,Jón Dagur Thorsteinsson,Jón Dagur Þorsteinsson,76,20,11,4.966,N/A,Thorsteinsson,#24,17,0,Oud-Heverlee Leuven,Attack - Left Winger,"1,77 m",Iceland,is,https://www.transfermarkt.us/jon-dagur-thorsteinsson/profil/spieler/331739,https://img.a.transfermarkt.technology/portrait/small/331739-1713338601.png?lm=1,N/A,26.11.1998,Reykjavík,Hertha BSC
