rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Herman Heskamp,Unknown,205,98,29,15.403,N/A,Heskamp,Unknown,0,0,PEC Zwolle,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/herman-heskamp/profil/spieler/549680,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.02.1947,Glanerbrug,Retired
2,Arne Slot,Arend Martijn Slot,195,61,30,15.640,N/A,Slot,Unknown,17,0,PEC Zwolle,Midfield - Attacking Midfield,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/arne-slot/profil/spieler/4456,https://img.a.transfermarkt.technology/portrait/small/4456-1732093965.jpg?lm=1,N/A,17.09.1978,Bergentheim,Retired
3,Ben Hendriks,Unknown,342,58,17,28.941,N/A,Hendriks,Unknown,1,0,PEC Zwolle,Defender - Sweeper,Unknown,Netherlands,nl,https://www.transfermarkt.us/ben-hendriks/profil/spieler/242709,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1946,Zwolle,Retired
4,Lennart Thy,Unknown,113,53,11,8.471,N/A,Thy,#9,4,0,PEC Zwolle,Attack - Centre-Forward,"1,84 m",Germany,de,https://www.transfermarkt.us/lennart-thy/profil/spieler/23553,https://img.a.transfermarkt.technology/portrait/small/23553-1720730838.jpg?lm=1,N/A,25.02.1992,Frechen,Lion City Sailors
5,Ron Jans,Unknown,170,53,14,13.936,N/A,Jans,Unknown,4,0,PEC Zwolle,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/ron-jans/profil/spieler/243467,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.09.1958,Zwolle,Retired
6,Jan Hoogendoorn,Jan Maarten Hoogendoorn,111,45,9,9.075,N/A,Hoogendoorn,Unknown,2,0,PEC Zwolle,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-hoogendoorn/profil/spieler/421457,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.08.1946,Epe,Retired
7,Peter van der Hengst,Unknown,138,43,10,11.997,N/A,van der Hengst,Unknown,6,1,PEC Zwolle,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/peter-van-der-hengst/profil/spieler/150901,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.06.1959,Amsterdam,Retired
8,Koko Hoekstra,Uiltje Hoekstra,183,41,21,16.055,N/A,Hoekstra,Unknown,6,0,PEC Zwolle,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/koko-hoekstra/profil/spieler/242623,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.07.1948,Leeuwarden,Retired
9,Bram van Polen,Unknown,511,39,34,41.548,N/A,van Polen,Unknown,84,2,PEC Zwolle,Defender - Right-Back,"1,79 m",Netherlands,nl,https://www.transfermarkt.us/bram-van-polen/profil/spieler/41583,https://img.a.transfermarkt.technology/portrait/small/41583-1673436121.jpg?lm=1,N/A,11.10.1985,Nijkerk,Retired
10,Mustafa Saymak,Unknown,234,37,16,14.947,N/A,Saymak,#20,13,0,PEC Zwolle,Midfield - Central Midfield,"1,69 m",Türkiye,tr,https://www.transfermarkt.us/mustafa-saymak/profil/spieler/166959,https://img.a.transfermarkt.technology/portrait/small/166959-1661354016.png?lm=1,N/A,11.02.1993,Deventer,Aliaga FK
11,Albert van der Haar,Unknown,300,33,24,25.541,N/A,van der Haar,Unknown,12,0,PEC Zwolle,Midfield - Defensive Midfield,,Netherlands,nl,https://www.transfermarkt.us/albert-van-der-haar/profil/spieler/7303,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.12.1975,Meppel,Retired
12,Lody Kragt,Unknown,166,33,9,13.809,N/A,Kragt,Unknown,1,0,PEC Zwolle,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/lody-kragt/profil/spieler/593568,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.08.1948,Unknown,Retired
13,Jan Rorije,Lammert Jan Rorije,223,30,29,18.932,N/A,Rorije,Unknown,1,0,PEC Zwolle,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-rorije/profil/spieler/476273,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.12.1946,Heerde,---
14,Sjoerd Ars,Unknown,39,29,7,3.457,N/A,Ars,Unknown,5,0,PEC Zwolle,Attack - Centre-Forward,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/sjoerd-ars/profil/spieler/12115,https://img.a.transfermarkt.technology/portrait/small/12115-1470001928.jpg?lm=1,N/A,15.04.1984,Terborg,Retired
15,Yuri Banhoffer,Uruguay Gustavo Graffigna Banhoffer,117,29,16,8.845,N/A,Banhoffer,Unknown,2,0,PEC Zwolle,Attack,"1,80 m",Uruguay,uy,https://www.transfermarkt.us/yuri-banhoffer/profil/spieler/420932,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1948,Montevideo,---
16,Dirk-Jan Derksen,Unknown,66,29,9,4.487,N/A,Derksen,Unknown,3,0,PEC Zwolle,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/dirk-jan-derksen/profil/spieler/21487,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.06.1972,Tiel,Retired
17,Puck van der Horst,Gerrit A. van der Horst,263,28,18,22.531,N/A,van der Horst,Unknown,0,0,PEC Zwolle,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/puck-van-der-horst/profil/spieler/458999,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1946,Zwolle,Retired
