rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dániel Gazdag,Unknown,160,72,24,12.931,N/A,Gazdag,#10,23,0,Philadelphia Union,Midfield - Attacking Midfield,"1,78 m",Hungary,hu,https://www.transfermarkt.us/daniel-gazdag/profil/spieler/249030,https://img.a.transfermarkt.technology/portrait/small/249030-1740839409.jpg?lm=1,N/A,02.03.1996,Nyíregyháza,Philadelphia Union
2,Sébastien Le Toux,Unknown,189,53,46,14.525,N/A,Le Toux,Unknown,8,0,Philadelphia Union,Attack - Centre-Forward,"1,85 m",France,fr,https://www.transfermarkt.us/sebastien-le-toux/profil/spieler/23944,https://img.a.transfermarkt.technology/portrait/small/23944-1602951574.jpg?lm=1,N/A,10.01.1984,Mont-Saint-Aignan,Retired
3,Julián Carranza,Julián Simón Carranza,95,43,20,7.418,N/A,Carranza,#19,21,1,Philadelphia Union,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/julian-carranza/profil/spieler/491707,https://img.a.transfermarkt.technology/portrait/small/491707-1711203825.jpg?lm=1,N/A,22.05.2000,Oncativo,Feyenoord Rotterdam
4,Kacper Przybylko,Kacper Przybyłko,96,40,14,8.008,N/A,Przybylko,#93,9,0,Philadelphia Union,Attack - Centre-Forward,"1,92 m",Poland,pl,https://www.transfermarkt.us/kacper-przybylko/profil/spieler/86030,https://img.a.transfermarkt.technology/portrait/small/86030-1738931092.JPG?lm=1,N/A,25.03.1993,Bielefeld,FC Lugano
5,C.J. Sapong,Charles Nana Kwabena Sapong,135,38,14,10.427,N/A,Sapong,Unknown,11,1,Philadelphia Union,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/c-j-sapong/profil/spieler/174724,https://img.a.transfermarkt.technology/portrait/small/174724-1688634788.jpg?lm=1,N/A,27.12.1988,"Manassas, Virginia",Without Club
6,Mikael Uhre,Mikael Brandhof Uhre,126,38,20,8.070,N/A,Uhre,#7,12,0,Philadelphia Union,Attack - Centre-Forward,"1,88 m",Denmark,dk,https://www.transfermarkt.us/mikael-uhre/profil/spieler/264423,https://img.a.transfermarkt.technology/portrait/small/264423-1740840326.jpg?lm=1,N/A,30.09.1994,Skovlund,Philadelphia Union
7,Cory Burke,Cory Lamar Crossgill Burke,110,30,12,5.007,N/A,Burke,#99,12,1,Philadelphia Union,Attack - Centre-Forward,"1,93 m",Jamaica,jm,https://www.transfermarkt.us/cory-burke/profil/spieler/408051,https://img.a.transfermarkt.technology/portrait/small/408051-1710581245.jpg?lm=1,N/A,28.12.1991,Kingston,Lexington SC
8,Alejandro Bedoya,Unknown,291,29,30,22.773,N/A,Bedoya,#11,62,0,Philadelphia Union,Midfield - Central Midfield,"1,82 m",United States,us,https://www.transfermarkt.us/alejandro-bedoya/profil/spieler/111783,https://img.a.transfermarkt.technology/portrait/small/111783-1740839155.jpg?lm=1,N/A,29.04.1987,"Englewood, New Jersey",Philadelphia Union
9,Jack McInerney,John Seamus McInerney,101,28,4,5.516,N/A,McInerney,Unknown,12,2,Philadelphia Union,Attack - Centre-Forward,"1,75 m",United States,us,https://www.transfermarkt.us/jack-mcinerney/profil/spieler/131186,https://img.a.transfermarkt.technology/portrait/small/131186-1524393118.jpg?lm=1,N/A,05.08.1992,"Chattanooga, Tennessee",Retired
10,Sérgio Santos,Sérgio Henrique Santos Gomes,89,22,13,4.704,N/A,Santos,#17,13,0,Philadelphia Union,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/sergio-santos/profil/spieler/370561,https://img.a.transfermarkt.technology/portrait/small/370561-1741201143.jpg?lm=1,N/A,04.09.1994,Belo Horizonte,FC Cincinnati
