rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jiaqi Chen,陈佳奇,102,30,0,6.510,N/A,Chen,#17,5,1,Qingdao Hainiu,Attack - Centre-Forward,"1,83 m",China,cn,https://www.transfermarkt.us/jiaqi-chen/profil/spieler/251950,https://img.a.transfermarkt.technology/portrait/small/251950-1662745702.jpg?lm=1,N/A,04.02.1993,Unknown,Dalian K'un City
2,Yibo Sha,沙一博,198,28,0,14.531,N/A,Sha,#5,33,1,Qingdao Hainiu,Defender - Centre-Back,"1,85 m",China,cn,https://www.transfermarkt.us/yibo-sha/profil/spieler/211353,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1991,Unknown,Qingdao Hainiu
3,Kingsley Onuegbu,Unknown,32,27,8,2.574,N/A,Onuegbu,Unknown,0,0,Qingdao Hainiu,Attack - Centre-Forward,"1,92 m",Nigeria,ng,https://www.transfermarkt.us/kingsley-onuegbu/profil/spieler/45986,https://img.a.transfermarkt.technology/portrait/small/45986-1500294274.jpg?lm=1,N/A,05.03.1986,Kaduna,Without Club
4,Long Zheng,郑龙,197,26,22,13.962,N/A,Zheng,#27,16,2,Qingdao Hainiu,Midfield - Left Midfield,"1,78 m",China,cn,https://www.transfermarkt.us/long-zheng/profil/spieler/133815,https://img.a.transfermarkt.technology/portrait/small/133815-1588750587.jpg?lm=1,N/A,15.04.1988,"Qingdao, Shandong",Qingdao Hainiu
5,Ning Jiang,姜宁,138,25,8,10.488,N/A,Jiang,Unknown,14,1,Qingdao Hainiu,Attack - Left Winger,"1,76 m",China,cn,https://www.transfermarkt.us/ning-jiang/profil/spieler/81820,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.09.1986,Qingdao,Retired
6,Jian Liu,刘健,168,24,3,14.767,N/A,Liu,Unknown,38,0,Qingdao Hainiu,Defender - Centre-Back,"1,80 m",China,cn,https://www.transfermarkt.us/jian-liu/profil/spieler/63546,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.01.1985,Zibo,Retired
7,Jianrong Zhu,朱建荣,154,20,7,6.483,N/A,Zhu,Unknown,15,0,Qingdao Hainiu,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/jianrong-zhu/profil/spieler/211164,https://img.a.transfermarkt.technology/portrait/small/211164-1564397514.jpg?lm=1,N/A,12.07.1991,Qingdao,Retired
8,Bruno Meneghel,Unknown,41,19,4,3.491,N/A,Bruno Meneghel,Unknown,5,0,Qingdao Hainiu,Attack - Centre-Forward,"1,68 m",Brazil,br,https://www.transfermarkt.us/bruno-meneghel/profil/spieler/67966,https://img.a.transfermarkt.technology/portrait/small/s_67966_2863_2010_1.jpg?lm=1,N/A,03.06.1987,Vitória,Retired
9,Bo Qu,曲波,54,18,8,4.586,N/A,Qu,Unknown,7,2,Qingdao Hainiu,Attack - Right Winger,"1,82 m",China,cn,https://www.transfermarkt.us/bo-qu/profil/spieler/172426,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.07.1981,Tianjin,Retired
10,Shiyu Zhu,朱世玉,135,18,5,7.206,N/A,Zhu,#10,17,0,Qingdao Hainiu,Midfield - Attacking Midfield,"1,76 m",China,cn,https://www.transfermarkt.us/shiyu-zhu/profil/spieler/211432,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.04.1991,Unknown,Dalian K'un City
11,Wenneng Xie,谢文能,47,17,5,3.581,N/A,Xie,#23,4,0,Qingdao Hainiu,Attack - Right Winger,"1,75 m",China,cn,https://www.transfermarkt.us/wenneng-xie/profil/spieler/824087,https://img.a.transfermarkt.technology/portrait/small/824087-1729003567.jpg?lm=1,N/A,06.02.2001,Unknown,Shandong Taishan
12,Xiufu Wang,王秀富,86,13,0,3.968,N/A,Wang,#9,8,0,Qingdao Hainiu,Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/xiufu-wang/profil/spieler/281518,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1993,Unknown,YEDA Xinhaizhongtian
13,Jiajun Xu,许嘉俊,47,12,1,2.137,N/A,Xu,#29,3,0,Qingdao Hainiu,Midfield - Left Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/jiajun-xu/profil/spieler/424912,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.05.1995,Unknown,Dingnan United
14,Evans Kangwa,Evans Dondo Kangwa,53,12,10,4.023,N/A,Kangwa,#80,2,0,Qingdao Hainiu,Attack - Left Winger,"1,75 m",Zambia,zm,https://www.transfermarkt.us/evans-kangwa/profil/spieler/212415,https://img.a.transfermarkt.technology/portrait/small/212415-1634134896.png?lm=1,N/A,09.10.1992,Kasama,Abha Club
15,Zeyang Wang,王泽阳,46,12,0,3.230,N/A,Wang,#11,3,0,Qingdao Hainiu,Midfield - Defensive Midfield,"1,88 m",China,cn,https://www.transfermarkt.us/zeyang-wang/profil/spieler/317146,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.02.1995,Unknown,YEDA Xinhaizhongtian
16,Wenjie Song,宋文杰,130,12,10,6.080,N/A,Song,#19,5,1,Qingdao Hainiu,Attack - Right Winger,"1,85 m",China,cn,https://www.transfermarkt.us/wenjie-song/profil/spieler/211354,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.12.1990,Qingdao,Qingdao Hainiu
17,Wei Wang,王伟,78,11,6,6.364,N/A,Wang,#21,9,0,Qingdao Hainiu,Defender - Left-Back,"1,83 m",China,cn,https://www.transfermarkt.us/wei-wang/profil/spieler/252106,https://img.a.transfermarkt.technology/portrait/small/252106-1564397330.jpg?lm=1,N/A,22.06.1989,"Dalian, Liaoning",Ningbo Fioren
18,Xu Sun,孙旭,172,11,3,13.702,N/A,Sun,#28,24,1,Qingdao Hainiu,Defender - Centre-Back,"1,88 m",China,cn,https://www.transfermarkt.us/xu-sun/profil/spieler/317141,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1995,Unknown,Lanzhou Longyuan Athletic
19,Martin Boakye,Unknown,30,10,2,2.597,N/A,Boakye,#45,6,0,Qingdao Hainiu,Attack - Centre-Forward,"1,90 m",Italy,it,https://www.transfermarkt.us/martin-boakye/profil/spieler/421302,https://img.a.transfermarkt.technology/portrait/small/421302-1738066596.png?lm=1,N/A,10.02.1995,Valdagno,Buriram United
20,Cristian Danalache,Cristian Costin Dănălache,19,10,2,1.582,N/A,Danalache,Unknown,2,0,Qingdao Hainiu,Attack - Centre-Forward,"1,90 m",Romania,ro,https://www.transfermarkt.us/cristian-danalache/profil/spieler/48830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.07.1982,Bukarest,Retired
21,Zheng Zou,邹正,144,9,5,11.943,N/A,Zou,Unknown,23,0,Qingdao Hainiu,Defender - Left-Back,"1,78 m",China,cn,https://www.transfermarkt.us/zheng-zou/profil/spieler/211165,https://img.a.transfermarkt.technology/portrait/small/211165-1563267357.jpg?lm=1,N/A,07.02.1988,"Qingdao, Shandong",Retired
22,Yihao Zhong,钟义浩,72,8,1,4.580,N/A,Zhong,#7,14,0,Qingdao Hainiu,Attack - Right Winger,"1,78 m",China,cn,https://www.transfermarkt.us/yihao-zhong/profil/spieler/317154,https://img.a.transfermarkt.technology/portrait/small/317154-1563350091.jpg?lm=1,N/A,23.03.1996,Unknown,Henan FC
23,Junshuai Liu,刘军帅,90,8,1,7.227,N/A,Liu,#3,19,1,Qingdao Hainiu,Defender - Centre-Back,"1,85 m",China,cn,https://www.transfermarkt.us/junshuai-liu/profil/spieler/337995,https://img.a.transfermarkt.technology/portrait/small/337995-1564578904.jpg?lm=1,N/A,10.01.1995,"Qingdao, Shandong",Qingdao Hainiu
24,Elvis Saric,Elvis Sarić,62,7,8,5.199,N/A,Saric,#7,13,0,Qingdao Hainiu,Midfield - Central Midfield,"1,80 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/elvis-saric/profil/spieler/194022,https://img.a.transfermarkt.technology/portrait/small/194022-1486308010.png?lm=1,N/A,21.07.1990,Dubrovnik,Qingdao Hainiu
25,Aleksandar Rodic,Aleksandar Rodič,25,7,2,2.199,N/A,Rodic,Unknown,6,0,Qingdao Hainiu,Attack - Centre-Forward,"1,87 m",Slovenia,si,https://www.transfermarkt.us/aleksandar-rodic/profil/spieler/24569,https://img.a.transfermarkt.technology/portrait/small/24569-1448961263.jpg?lm=1,N/A,26.12.1979,Kozarska Dubica,Retired
26,Xingyu Wu,吴星宇,24,7,0,1.398,N/A,Wu,#27,3,0,Qingdao Hainiu,Midfield,"1,70 m",China,cn,https://www.transfermarkt.us/xingyu-wu/profil/spieler/661982,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.03.2000,Unknown,Guangdong GZ-Power
27,Eddie Hernández,Eddie Gabriel Hernández Padilla,23,7,1,1.912,N/A,Hernández,#20,5,0,Qingdao Hainiu,Attack - Centre-Forward,"1,95 m",Honduras,hn,https://www.transfermarkt.us/eddie-hernandez/profil/spieler/188463,https://img.a.transfermarkt.technology/portrait/small/188463-1740663929.jpg?lm=1,N/A,27.02.1991,Trujillo,Olancho FC
28,Felicio Brown,Felicio Ananda Brown Steinert,23,7,1,1.618,N/A,Brown,#10,5,0,Qingdao Hainiu,Attack - Centre-Forward,"1,89 m",Costa Rica,cr,https://www.transfermarkt.us/felicio-brown/profil/spieler/67064,https://img.a.transfermarkt.technology/portrait/small/67064-1712337044.png?lm=1,N/A,28.08.1991,Berlin,Yanbian Longding
29,Chigozie Udoji,Chigozie Shaloze Udoji,25,6,5,2.079,N/A,Udoji,Unknown,3,1,Qingdao Hainiu,Attack - Centre-Forward,"1,72 m",Bulgaria,bg,https://www.transfermarkt.us/chigozie-udoji/profil/spieler/49038,https://img.a.transfermarkt.technology/portrait/small/49038-1638214537.png?lm=1,N/A,16.07.1986,Lagos,Without Club
30,Bo Song,宋博,96,6,5,5.801,N/A,Song,#23,18,0,Qingdao Hainiu,Midfield - Defensive Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/bo-song/profil/spieler/211162,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.12.1986,"Qingdao, Shandong",Qingdao Gangfan
31,Benedict Akwuegbu,Unknown,21,6,0,1.495,N/A,Akwuegbu,Unknown,3,0,Qingdao Hainiu,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/benedict-akwuegbu/profil/spieler/5007,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.11.1974,Lagos,Retired
32,Reis,Deivdy Reis Marques do Nascimento,26,6,4,1.937,N/A,Reis,Unknown,3,1,Qingdao Hainiu,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/reis/profil/spieler/128934,https://img.a.transfermarkt.technology/portrait/small/s_128934_2035_2012_1.jpg?lm=1,N/A,04.07.1988,Juiz de Fora,Without Club
33,Weicheng Liu,刘鍏成,108,6,0,6.981,N/A,Liu,#14,20,0,Qingdao Hainiu,Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/weicheng-liu/profil/spieler/279973,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1998,Unknown,Nantong Zhiyun
34,Jianwen Wang,王建文,28,5,7,2.297,N/A,Wang,#26,2,0,Qingdao Hainiu,Midfield - Attacking Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/jianwen-wang/profil/spieler/279732,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1988,Unknown,Jiangxi Lushan
35,Éber,Unknown,20,5,0,1.370,N/A,Éber,Unknown,1,0,Qingdao Hainiu,Attack - Centre-Forward,"1,91 m",Brazil,br,https://www.transfermarkt.us/eber/profil/spieler/55482,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.09.1981,Caxias do Sul,Retired
36,Ibrahim Kane,Unknown,23,5,8,1.229,N/A,Kane,#11,2,0,Qingdao Hainiu,Midfield - Right Midfield,"1,75 m",Mali,ml,https://www.transfermarkt.us/ibrahim-kane/profil/spieler/543380,https://img.a.transfermarkt.technology/portrait/small/543380-1611773793.png?lm=1,N/A,23.06.2000,Unknown,Vorskla Poltava
37,Jiangshan Yao,姚江山,142,5,10,9.998,N/A,Yao,Unknown,29,0,Qingdao Hainiu,Midfield - Attacking Midfield,"1,75 m",China,cn,https://www.transfermarkt.us/jiangshan-yao/profil/spieler/211308,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.07.1987,"Qingdao, Shandong",Retired
38,Chien-ming Wang,王建明 ; 왕건명,80,5,15,6.033,N/A,Wang,#25,3,0,Qingdao Hainiu,Defender - Right-Back,"1,80 m",Chinese Taipei,unknown,https://www.transfermarkt.us/chien-ming-wang/profil/spieler/574898,https://img.a.transfermarkt.technology/portrait/small/574898-1718171954.jpg?lm=1,N/A,04.07.1993,"Seogwipo, Jeju",Guangdong GZ-Power
39,Ziming Wang,王子铭,40,5,2,2.980,N/A,Wang,#20,5,0,Qingdao Hainiu,Attack - Centre-Forward,"1,87 m",China,cn,https://www.transfermarkt.us/ziming-wang/profil/spieler/317148,https://img.a.transfermarkt.technology/portrait/small/317148-1563441841.jpg?lm=1,N/A,05.08.1996,"Qingdao, Shandong",Beijing Guoan
40,Jianqing Mao,毛剑卿,18,5,4,1.210,N/A,Mao,Unknown,1,0,Qingdao Hainiu,Attack - Left Winger,"1,85 m",China,cn,https://www.transfermarkt.us/jianqing-mao/profil/spieler/63548,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.08.1986,Shanghai,Retired
41,Jun Wang,王君,35,5,1,2.594,N/A,Wang,#22,11,0,Qingdao Hainiu,Midfield - Attacking Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/jun-wang/profil/spieler/218222,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.04.1990,"Dalian, Liaoning",Wuhan Lianzhen
42,Ismaël Fofana,Ismaël Béko Fofana,26,5,2,2.006,N/A,Fofana,Unknown,3,0,Qingdao Hainiu,Attack - Centre-Forward,"1,82 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/ismael-fofana/profil/spieler/39184,https://img.a.transfermarkt.technology/portrait/small/39184-1549541892.jpg?lm=1,N/A,08.09.1988,Abidjan,Without Club
43,Aziz Ibragimov,Азиз Шакирович Ибрагимов,39,4,2,3.045,N/A,Ibragimov,Unknown,5,0,Qingdao Hainiu,Attack - Centre-Forward,"1,79 m",Uzbekistan,uz,https://www.transfermarkt.us/aziz-ibragimov/profil/spieler/63610,https://img.a.transfermarkt.technology/portrait/small/63610-1586502950.png?lm=1,N/A,21.07.1986,Tashkent,Retired
44,Abdul Aziz Nikiema,Unknown,27,4,4,1.878,N/A,Nikiema,Unknown,3,0,Qingdao Hainiu,Midfield - Left Midfield,"1,71 m",Burkina Faso,bf,https://www.transfermarkt.us/abdul-aziz-nikiema/profil/spieler/45117,https://img.a.transfermarkt.technology/portrait/small/s_45117_3348_2010_1.jpg?lm=1,N/A,12.06.1985,Ouagadougou,Retired
45,Kai Li,李凯,21,4,0,1.527,N/A,Li,Unknown,7,0,Qingdao Hainiu,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/kai-li/profil/spieler/201761,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.07.1989,Qingdao,Huzhou Meiqi
46,Zhi Xiao,肖智,19,4,0,1.132,N/A,Xiao,Unknown,0,0,Qingdao Hainiu,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/zhi-xiao/profil/spieler/148184,https://img.a.transfermarkt.technology/portrait/small/148184-1563265599.jpg?lm=1,N/A,28.05.1985,"Luoyang, Henan",Retired
47,Dumitru Mitu,Unknown,26,4,7,1.984,N/A,Mitu,Unknown,4,0,Qingdao Hainiu,Midfield - Right Midfield,"1,80 m",Romania,ro,https://www.transfermarkt.us/dumitru-mitu/profil/spieler/20828,https://img.a.transfermarkt.technology/portrait/small/20828-1712831689.jpg?lm=1,N/A,13.02.1975,Bukarest,Retired
48,Xianlin Pu,蒲先林,63,4,0,4.103,N/A,Pu,Unknown,17,0,Qingdao Hainiu,Attack,"1,80 m",China,cn,https://www.transfermarkt.us/xianlin-pu/profil/spieler/264418,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.01.1995,Unknown,Retired
49,Stjepan Jukic,Stjepan Jukić,27,4,7,2.170,N/A,Jukic,Unknown,8,1,Qingdao Hainiu,Midfield - Attacking Midfield,"1,81 m",Croatia,hr,https://www.transfermarkt.us/stjepan-jukic/profil/spieler/27540,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.12.1979,Đakovo,Retired
50,Marko Saric,Марко Шарић,11,4,0,412.000,N/A,Saric,#88,0,0,Qingdao Hainiu,Attack - Centre-Forward,"1,88 m",Serbia,rs,https://www.transfermarkt.us/marko-saric/profil/spieler/440828,https://img.a.transfermarkt.technology/portrait/small/440828-1606163404.jpg?lm=1,N/A,28.11.1998,Zemun,FK Napredak Krusevac
51,Peng Li,栗鹏,131,4,0,10.846,N/A,Li,#5,21,2,Qingdao Hainiu,Defender - Centre-Back,"1,87 m",China,cn,https://www.transfermarkt.us/peng-li/profil/spieler/211159,https://img.a.transfermarkt.technology/portrait/small/211159-1564395625.jpg?lm=1,N/A,29.08.1990,Unknown,Liaoning Tieren
52,Joel Griffiths,Joel Michael Griffiths,8,4,0,629.000,N/A,Griffiths,Unknown,0,0,Qingdao Hainiu,Attack - Right Winger,"1,81 m",Australia,au,https://www.transfermarkt.us/joel-griffiths/profil/spieler/9552,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1979,Sydney,Retired
53,Hua'nan Zhang,张华楠,35,3,0,1.503,N/A,Zhang,#7,2,0,Qingdao Hainiu,Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/huanan-zhang/profil/spieler/425193,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.02.1997,"Qingdao, Shandong",Qingdao May Wind
54,Wei Zhang,张卫,27,3,2,2.366,N/A,Zhang,#2,1,0,Qingdao Hainiu,Defender - Left-Back,"1,77 m",China,cn,https://www.transfermarkt.us/wei-zhang/profil/spieler/254642,https://img.a.transfermarkt.technology/portrait/small/254642-1563435194.jpg?lm=1,N/A,28.03.1993,"Shangqiu, Henan",Shenzhen Peng City
55,Yang Xu,徐洋,33,3,4,1.690,N/A,Xu,Unknown,0,0,Qingdao Hainiu,Midfield - Left Midfield,"1,72 m",China,cn,https://www.transfermarkt.us/yang-xu/profil/spieler/148185,https://img.a.transfermarkt.technology/portrait/small/148185-1566207518.jpg?lm=1,N/A,18.06.1987,"Qingdao, Shandong",Without Club
56,Jingjie Xu,许景杰,62,3,0,4.083,N/A,Xu,#18,10,0,Qingdao Hainiu,Defender - Centre-Back,"1,85 m",China,cn,https://www.transfermarkt.us/jingjie-xu/profil/spieler/211355,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.02.1986,Unknown,Qingdao Madison
