rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Camilo Sanvezzo,Camilo da Silva Sanvezzo,165,69,14,11.662,N/A,Sanvezzo,Unknown,36,0,Querétaro FC,Attack - Centre-Forward,"1,70 m",Brazil,br,https://www.transfermarkt.us/camilo-sanvezzo/profil/spieler/172285,https://img.a.transfermarkt.technology/portrait/small/172285-1691697574.jpg?lm=1,N/A,21.07.1988,Presidente Prudente,Retired
2,Mauro Gerk,Mauro Néstor Gerk Larrea,116,62,2,9.244,N/A,Gerk,Unknown,7,0,Querétaro FC,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/mauro-gerk/profil/spieler/66837,https://img.a.transfermarkt.technology/portrait/small/s_66837_28185_2012_11_05_1.jpg?lm=1,N/A,09.05.1977,Coronel Dorrego,Retired
3,Ángel Sepúlveda,Ángel Baltazar Sepúlveda Sánchez,196,41,23,12.619,N/A,Sepúlveda,#9,18,0,Querétaro FC,Attack - Centre-Forward,"1,82 m",Mexico,mx,https://www.transfermarkt.us/angel-sepulveda/profil/spieler/160700,https://img.a.transfermarkt.technology/portrait/small/160700-1544359275.png?lm=1,N/A,15.02.1991,Apatzingán,CD Cruz Azul
4,Emanuel Villa,Emanuel Alejandro Villa,93,36,9,6.897,N/A,Villa,Unknown,10,0,Querétaro FC,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/emanuel-villa/profil/spieler/54022,https://img.a.transfermarkt.technology/portrait/small/54022-1477559294.jpg?lm=1,N/A,24.02.1982,Casilda,Retired
5,Roberto Nurse,Roberto Antonio Nurse Anguiano,88,29,0,6.195,N/A,Nurse,Unknown,12,1,Querétaro FC,Attack - Centre-Forward,"1,84 m",Panama,pa,https://www.transfermarkt.us/roberto-nurse/profil/spieler/67476,https://img.a.transfermarkt.technology/portrait/small/67476-1523606490.jpg?lm=1,N/A,16.12.1983,Mexico City,Retired
6,Isaac Romo,Isaac Romo González,122,25,5,7.663,N/A,Romo,Unknown,18,2,Querétaro FC,Attack - Centre-Forward,"1,92 m",Mexico,mx,https://www.transfermarkt.us/isaac-romo/profil/spieler/53770,https://img.a.transfermarkt.technology/portrait/small/53770-1471615694.jpg?lm=1,N/A,23.03.1983,Guadalajara,Retired
7,Carlos Bueno,Carlos Héber Bueno Suárez,48,23,4,4.023,N/A,Bueno,Unknown,21,0,Querétaro FC,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/carlos-bueno/profil/spieler/33439,https://img.a.transfermarkt.technology/portrait/small/33439-1711627876.jpg?lm=1,N/A,10.05.1980,Artigas,Retired
8,Carlos Casartelli,Carlos David Casartelli Torregrosa,33,21,0,2.625,N/A,Casartelli,Unknown,7,1,Querétaro FC,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/carlos-casartelli/profil/spieler/78492,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.11.1974,Villa Angela,Retired
9,Jorge Collazo,Jorge Alberto Collazo Rodríguez,80,17,0,5.835,N/A,Collazo,Unknown,20,0,Querétaro FC,Midfield,,Mexico,mx,https://www.transfermarkt.us/jorge-collazo/profil/spieler/67455,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.09.1977,Mexico City,Retired
10,Margarito González,Margarito González Manzanarez,182,16,5,14.388,N/A,González,Unknown,30,4,Querétaro FC,Defender - Centre-Back,"1,82 m",Mexico,mx,https://www.transfermarkt.us/margarito-gonzalez/profil/spieler/67465,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.03.1979,Cruz Grande,Retired
11,Pablo Barrera,Pablo Édson Barrera Acosta,137,15,20,10.791,N/A,Barrera,#8,12,0,Querétaro FC,Attack - Right Winger,"1,75 m",Mexico,mx,https://www.transfermarkt.us/pablo-barrera/profil/spieler/51079,https://img.a.transfermarkt.technology/portrait/small/51079-1670274964.jpeg?lm=1,N/A,21.06.1987,Tlalnepantla,Querétaro FC
12,William,Unknown,72,14,6,5.287,N/A,William,Unknown,16,0,Querétaro FC,Midfield - Central Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/william/profil/spieler/53365,https://img.a.transfermarkt.technology/portrait/small/53365-1580381871.jpg?lm=1,N/A,20.11.1986,São Paulo,Retired
13,Emilio López,Emilio López Navarro,131,13,8,8.504,N/A,López,Unknown,18,0,Querétaro FC,Midfield - Left Midfield,"1,67 m",Mexico,mx,https://www.transfermarkt.us/emilio-lopez/profil/spieler/50953,https://img.a.transfermarkt.technology/portrait/small/50953-1453728373.png?lm=1,N/A,10.05.1986,Guadalajara,Retired
14,Edgar Benítez,Edgar Milciades Benítez Santander,102,12,12,5.887,N/A,Benítez,#11,5,1,Querétaro FC,Attack - Left Winger,"1,76 m",Paraguay,py,https://www.transfermarkt.us/edgar-benitez/profil/spieler/90147,https://img.a.transfermarkt.technology/portrait/small/90147-1652212896.jpg?lm=1,N/A,08.11.1987,Repatriación,Club Rubio Ñú (Asunción)
15,Wilberto Cosme,Wilberto Cosme Mosquera,32,11,5,2.654,N/A,Cosme,Unknown,7,0,Querétaro FC,Attack - Centre-Forward,"1,78 m",Colombia,co,https://www.transfermarkt.us/wilberto-cosme/profil/spieler/91050,https://img.a.transfermarkt.technology/portrait/small/s_91050_4774_2014_01_19_1.jpg?lm=1,N/A,22.07.1984,Padilla,Without Club
16,Ricardo Jesus,Ricardo Jesus da Silva,29,11,0,1.835,N/A,Jesus,Unknown,2,0,Querétaro FC,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/ricardo-jesus/profil/spieler/45597,https://img.a.transfermarkt.technology/portrait/small/45597-1425395617.jpg?lm=1,N/A,16.05.1985,Campinas,Retired
17,Aké Loba,Aké Arnaud Loba,48,11,2,2.605,N/A,Loba,Unknown,1,0,Querétaro FC,Attack - Centre-Forward,"1,80 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/ake-loba/profil/spieler/515512,https://img.a.transfermarkt.technology/portrait/small/515512-1646125673.jpg?lm=1,N/A,01.04.1998,Divo,Without Club
