rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lisandro López,Unknown,232,79,24,18.070,N/A,López,Unknown,19,2,Racing Club,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/lisandro-lopez/profil/spieler/27661,https://img.a.transfermarkt.technology/portrait/small/27661-1618606866.JPG?lm=1,N/A,02.03.1983,Rafael Obligado,Retired
2,Diego Milito,Diego Alberto Milito,219,59,25,14.732,N/A,Milito,Unknown,12,1,Racing Club,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/diego-milito/profil/spieler/22202,https://img.a.transfermarkt.technology/portrait/small/22202-1463994498.jpg?lm=1,N/A,12.06.1979,Bernal,Retired
3,Gustavo Bou,Gustavo Leonardo Bou,110,46,22,8.396,N/A,Bou,Unknown,15,0,Racing Club,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/gustavo-bou/profil/spieler/71608,https://img.a.transfermarkt.technology/portrait/small/71608-1678478326.jpg?lm=1,N/A,18.02.1990,Concordia,Club Defensores del Barrio Nébel
4,Gabriel Hauche,Gabriel Agustín Hauche,245,43,31,15.366,N/A,Hauche,Unknown,24,5,Racing Club,Attack - Centre-Forward,"1,69 m",Argentina,ar,https://www.transfermarkt.us/gabriel-hauche/profil/spieler/54845,https://img.a.transfermarkt.technology/portrait/small/54845-1694004068.JPG?lm=1,N/A,27.11.1986,Remedios de Escalada,CA Temperley
5,Adrián Martínez,Adrián Emmanuel Martínez,60,36,9,4.631,N/A,Martínez,#9,18,1,Racing Club,Attack - Centre-Forward,"1,76 m",Argentina,ar,https://www.transfermarkt.us/adrian-martinez/profil/spieler/598769,https://img.a.transfermarkt.technology/portrait/small/598769-1724351256.png?lm=1,N/A,07.07.1992,Campana,Racing Club
6,Maximiliano Estévez,Carlos Maximiliano Estévez,147,32,16,9.458,N/A,Estévez,Unknown,25,6,Racing Club,Attack - Left Winger,"1,64 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-estevez/profil/spieler/34378,https://img.a.transfermarkt.technology/portrait/small/34378-1705512414.JPG?lm=1,N/A,02.06.1977,Buenos Aires,Retired
7,Enzo Copetti,Enzo Nahuel Copetti,96,31,8,7.210,N/A,Copetti,#9,18,1,Racing Club,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/enzo-copetti/profil/spieler/504254,https://img.a.transfermarkt.technology/portrait/small/504254-1742571191.png?lm=1,N/A,16.01.1996,Sáenz Peña,CA Rosario Central
8,Facundo Sava,Unknown,66,29,3,5.170,N/A,Sava,Unknown,12,0,Racing Club,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/facundo-sava/profil/spieler/3709,https://img.a.transfermarkt.technology/portrait/small/3709-1692034713.JPG?lm=1,N/A,07.03.1974,Ituzaingó,Retired
9,Lautaro Martínez,Lautaro Javier Martínez,62,27,6,3.934,N/A,Martínez,#10,11,0,Racing Club,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/lautaro-martinez/profil/spieler/406625,https://img.a.transfermarkt.technology/portrait/small/406625-1695024988.jpg?lm=1,N/A,22.08.1997,Bahía Blanca,Inter Milan
10,Matías Rojas,Matías Nicolás Rojas Romero,126,26,13,7.468,N/A,Rojas,#7,22,0,Racing Club,Midfield - Attacking Midfield,"1,80 m",Paraguay,py,https://www.transfermarkt.us/matias-rojas/profil/spieler/417327,https://img.a.transfermarkt.technology/portrait/small/417327-1725258410.jpg?lm=1,N/A,03.11.1995,Asunción,CA River Plate
11,Luciano Vietto,Luciano Darío Vietto,94,25,8,6.105,N/A,Vietto,#10,11,1,Racing Club,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/luciano-vietto/profil/spieler/214316,https://img.a.transfermarkt.technology/portrait/small/214316-1698422207.jpeg?lm=1,N/A,05.12.1993,Balnearía,Racing Club
12,Roger Martínez,Roger Beyker Martínez Tobinson,80,24,3,3.965,N/A,Martínez,#38,11,1,Racing Club,Attack - Centre-Forward,"1,80 m",Colombia,co,https://www.transfermarkt.us/roger-martinez/profil/spieler/285771,https://img.a.transfermarkt.technology/portrait/small/285771-1724348495.png?lm=1,N/A,23.06.1994,Cartagena de Indias,Al-Taawoun FC
13,Teófilo Gutiérrez,Teófilo Antonio Gutiérrez Roncancio,41,21,4,3.485,N/A,Gutiérrez,#29,8,1,Racing Club,Attack - Centre-Forward,"1,77 m",Colombia,co,https://www.transfermarkt.us/teofilo-gutierrez/profil/spieler/77066,https://img.a.transfermarkt.technology/portrait/small/77066-1739283136.JPG?lm=1,N/A,17.05.1985,Barranquilla,Junior FC
14,Marcos Acuña,Marcos Javier Acuña,109,20,26,7.493,N/A,Acuña,#21,17,1,Racing Club,Defender - Left-Back,"1,72 m",Argentina,ar,https://www.transfermarkt.us/marcos-acuna/profil/spieler/60410,https://img.a.transfermarkt.technology/portrait/small/60410-1668181014.jpg?lm=1,N/A,28.10.1991,Zapala,CA River Plate
15,Ricardo Centurión,Adrián Ricardo Centurión,93,19,14,6.892,N/A,Centurión,Unknown,15,1,Racing Club,Attack - Left Winger,"1,74 m",Argentina,ar,https://www.transfermarkt.us/ricardo-centurion/profil/spieler/230058,https://img.a.transfermarkt.technology/portrait/small/230058-1677584061.JPG?lm=1,N/A,19.01.1993,Avellaneda,Without Club
16,Maxi Moralez,Maximiliano Nicolás Moralez,113,17,12,7.461,N/A,Moralez,#10,21,2,Racing Club,Midfield - Attacking Midfield,"1,59 m",Argentina,ar,https://www.transfermarkt.us/maxi-moralez/profil/spieler/30687,https://img.a.transfermarkt.technology/portrait/small/30687-1740921053.jpg?lm=1,N/A,27.02.1987,Granadero Baigorria,New York City FC
17,José Manuel Chatruc,Unknown,112,17,11,7.723,N/A,Chatruc,Unknown,25,1,Racing Club,Midfield - Right Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/jose-manuel-chatruc/profil/spieler/6574,https://img.a.transfermarkt.technology/portrait/small/6574-1705512250.JPG?lm=1,N/A,09.11.1976,Buenos Aires,Retired
18,Tomás Chancalay,Tomás Alejandro Chancalay,80,17,9,5.245,N/A,Chancalay,#7,11,3,Racing Club,Attack - Left Winger,"1,79 m",Argentina,ar,https://www.transfermarkt.us/tomas-chancalay/profil/spieler/533565,https://img.a.transfermarkt.technology/portrait/small/533565-1740678384.jpg?lm=1,N/A,01.01.1999,Viale,New England Revolution
19,Norberto Raffo,Norberto Santiago Raffo,23,15,0,1.742,N/A,Raffo,Unknown,0,0,Racing Club,Attack,Unknown,Argentina,ar,https://www.transfermarkt.us/norberto-raffo/profil/spieler/726197,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.04.1939,Avellaneda,---
20,Mariano González,Mariano Nicolás González,76,14,11,5.562,N/A,González,Unknown,10,0,Racing Club,Attack - Right Winger,"1,75 m",Argentina,ar,https://www.transfermarkt.us/mariano-gonzalez/profil/spieler/21409,https://img.a.transfermarkt.technology/portrait/small/21409-1462376826.jpg?lm=1,N/A,05.05.1981,Tandil,Retired
21,Javier Correa,Marcelo Javier Correa,41,14,1,2.437,N/A,Correa,#9,6,0,Racing Club,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/javier-correa/profil/spieler/130413,https://img.a.transfermarkt.technology/portrait/small/130413-1637605535.JPG?lm=1,N/A,23.10.1992,Córdoba,CSD Colo-Colo
22,Sebastián Romero,Sebastián Ariel Romero,123,14,11,10.290,N/A,Romero,Unknown,24,2,Racing Club,Midfield - Left Midfield,"1,71 m",Argentina,ar,https://www.transfermarkt.us/sebastian-romero/profil/spieler/30691,https://img.a.transfermarkt.technology/portrait/small/30691-1692027690.JPG?lm=1,N/A,27.04.1978,Berisso,Retired
23,Milovan Mirosevic,Milovan Petar Mirošević Albornoz,97,13,3,5.717,N/A,Mirosevic,Unknown,17,0,Racing Club,Midfield - Attacking Midfield,"1,80 m",Chile,cl,https://www.transfermarkt.us/milovan-mirosevic/profil/spieler/30686,https://img.a.transfermarkt.technology/portrait/small/30686-1671630015.jpg?lm=1,N/A,20.06.1980,Vitacura,Retired
24,Juan Fernando Quintero,Juan Fernando Quintero Paniagua,54,13,11,3.279,N/A,Quintero,#8,3,0,Racing Club,Midfield - Attacking Midfield,"1,68 m",Colombia,co,https://www.transfermarkt.us/juan-fernando-quintero/profil/spieler/122582,https://img.a.transfermarkt.technology/portrait/small/122582-1724348990.png?lm=1,N/A,18.01.1993,Medellín,CD América de Cali
25,Matías Zaracho,Federico Matías Javier Zaracho,104,13,12,6.887,N/A,Zaracho,#11,15,0,Racing Club,Midfield - Attacking Midfield,"1,71 m",Argentina,ar,https://www.transfermarkt.us/matias-zaracho/profil/spieler/480774,https://img.a.transfermarkt.technology/portrait/small/480774-1662403009.jpg?lm=1,N/A,10.03.1998,Wilde,Racing Club
26,Bruno Zuculini,Unknown,148,12,7,10.378,N/A,Zuculini,#36,32,2,Racing Club,Midfield - Defensive Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/bruno-zuculini/profil/spieler/115507,https://img.a.transfermarkt.technology/portrait/small/115507-1724349249.png?lm=1,N/A,02.04.1993,Escobar,Racing Club
