rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,James Tavernier,James Henry Tavernier,504,130,141,44.506,N/A,Tavernier,#2,57,0,Rangers FC,Defender - Right-Back,"1,82 m",England,unknown,https://www.transfermarkt.us/james-tavernier/profil/spieler/62094,https://img.a.transfermarkt.technology/portrait/small/62094-1663162918.jpg?lm=1,N/A,31.10.1991,Bradford,Rangers FC
2,Kris Boyd,Unknown,221,126,26,14.774,N/A,Boyd,Unknown,26,0,Rangers FC,Attack - Centre-Forward,"1,85 m",Scotland,unknown,https://www.transfermarkt.us/kris-boyd/profil/spieler/12729,https://img.a.transfermarkt.technology/portrait/small/12729-1590138504.jpg?lm=1,N/A,18.08.1983,Irvine,Retired
3,Alfredo Morelos,Alfredo José Morelos Aviléz,269,124,57,18.904,N/A,Morelos,#9,59,4,Rangers FC,Attack - Centre-Forward,"1,77 m",Colombia,co,https://www.transfermarkt.us/alfredo-morelos/profil/spieler/338962,https://img.a.transfermarkt.technology/portrait/small/338962-1737411718.JPG?lm=1,N/A,21.06.1996,Cereté,Atlético Nacional
4,Kenny Miller,Kenneth Miller,294,111,58,20.159,N/A,Miller,Unknown,19,1,Rangers FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/kenny-miller/profil/spieler/4750,https://img.a.transfermarkt.technology/portrait/small/4750-1601202749.jpg?lm=1,N/A,23.12.1979,Edinburgh,Retired
5,Nacho Novo,Ignacio Javier Gómez Novo,241,70,21,13.428,N/A,Novo,Unknown,23,2,Rangers FC,Attack - Right Winger,"1,75 m",Spain,es,https://www.transfermarkt.us/nacho-novo/profil/spieler/12844,https://img.a.transfermarkt.technology/portrait/small/12844-1613312502.jpg?lm=1,N/A,26.03.1979,Ferrol,Retired
6,Jörg Albertz,Unknown,188,69,8,14.398,N/A,Albertz,Unknown,8,1,Rangers FC,Midfield - Left Midfield,"1,84 m",Germany,de,https://www.transfermarkt.us/jorg-albertz/profil/spieler/1125,https://img.a.transfermarkt.technology/portrait/small/1125-1461224205.jpg?lm=1,N/A,29.01.1971,Mönchengladbach,Retired
7,Lee McCulloch,Lee Henry McCulloch,297,68,33,24.186,N/A,McCulloch,Unknown,68,4,Rangers FC,Defender - Centre-Back,"1,85 m",Scotland,unknown,https://www.transfermarkt.us/lee-mcculloch/profil/spieler/11360,https://img.a.transfermarkt.technology/portrait/small/s_11360_124_2013_07_25_1.jpg?lm=1,N/A,14.05.1978,Bellshill,Retired
8,Ally McCoist,Alistair Murdoch McCoist,116,64,0,8.476,N/A,McCoist,Unknown,3,1,Rangers FC,Attack - Centre-Forward,,Scotland,unknown,https://www.transfermarkt.us/ally-mccoist/profil/spieler/101126,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.09.1962,Bellshill,Retired
9,Barry Ferguson,Unknown,410,58,29,35.589,N/A,Ferguson,Unknown,53,1,Rangers FC,Midfield - Defensive Midfield,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/barry-ferguson/profil/spieler/10251,https://img.a.transfermarkt.technology/portrait/small/10251-1416905659.jpg?lm=1,N/A,02.02.1978,Hamilton,Retired
10,Peter Løvenkrands,Peter Rosenkrands Løvenkrands,173,53,23,11.355,N/A,Løvenkrands,Unknown,13,0,Rangers FC,Attack - Centre-Forward,"1,79 m",Denmark,dk,https://www.transfermarkt.us/peter-lovenkrands/profil/spieler/9620,https://img.a.transfermarkt.technology/portrait/small/9620-1664349975.jpg?lm=1,N/A,29.01.1980,Hørsholm,Retired
11,Rod Wallace,Rodney Seymour Wallace,114,51,15,9.297,N/A,Wallace,Unknown,4,1,Rangers FC,Attack - Centre-Forward,"1,70 m",England,unknown,https://www.transfermarkt.us/rod-wallace/profil/spieler/13803,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.10.1969,London,Retired
12,Shota Arveladze,შოთა არველაძე,123,51,8,8.904,N/A,Arveladze,Unknown,4,0,Rangers FC,Attack - Centre-Forward,"1,81 m",Georgia,ge,https://www.transfermarkt.us/shota-arveladze/profil/spieler/9487,https://img.a.transfermarkt.technology/portrait/small/9487-1490100364.jpg?lm=1,N/A,22.02.1973,Tiflis,Retired
13,Michael Mols,Michael Alexander Mols,135,47,11,9.288,N/A,Mols,Unknown,10,1,Rangers FC,Attack - Centre-Forward,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/michael-mols/profil/spieler/3512,https://img.a.transfermarkt.technology/portrait/small/3512-1584372208.jpg?lm=1,N/A,17.12.1970,Amsterdam,Retired
14,Cyriel Dessers,Cyriel Kolawole Dessers,100,45,16,6.141,N/A,Dessers,#9,6,0,Rangers FC,Attack - Centre-Forward,"1,85 m",Nigeria,ng,https://www.transfermarkt.us/cyriel-dessers/profil/spieler/317806,https://img.a.transfermarkt.technology/portrait/small/317806-1727380662.jpg?lm=1,N/A,08.12.1994,Tongeren,Rangers FC
