rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Franz Binder,Unknown,314,391,1,28.355,N/A,Binder,Unknown,0,2,Rapid Vienna,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/franz-binder/profil/spieler/260211,https://img.a.transfermarkt.technology/portrait/small/260211-1643121006.jpg?lm=1,N/A,01.12.1911,Unknown,---
2,Hans Krankl,Johann Krankl,448,333,0,39.529,N/A,Krankl,Unknown,31,3,Rapid Vienna,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/hans-krankl/profil/spieler/78388,https://img.a.transfermarkt.technology/portrait/small/78388-1466159673.jpg?lm=1,N/A,14.02.1953,Wien,Retired
3,Robert Dienst,Unknown,322,322,0,28.819,N/A,Dienst,Unknown,5,1,Rapid Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/robert-dienst/profil/spieler/137185,https://img.a.transfermarkt.technology/portrait/small/137185-1588853707.jpg?lm=1,N/A,01.03.1928,Unknown,---
4,Franz Weselik,Unknown,226,218,0,20.516,N/A,Weselik,Unknown,0,2,Rapid Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/franz-weselik/profil/spieler/260214,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.04.1903,Wien,---
5,Matthias Kaburek,Unknown,215,205,0,19.372,N/A,Kaburek,Unknown,0,1,Rapid Vienna,Attack,Unknown,Austria,at,https://www.transfermarkt.us/matthias-kaburek/profil/spieler/260213,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.02.1911,Wien,---
6,Rudolf Flögel,Unknown,455,199,0,40.315,N/A,Flögel,Unknown,2,0,Rapid Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/rudolf-flogel/profil/spieler/247065,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1939,Wien,Retired
7,Richard Kuthan,Unknown,268,177,0,24.168,N/A,Kuthan,Unknown,0,0,Rapid Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/richard-kuthan/profil/spieler/260552,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.07.1891,Wien,---
8,Alfred Körner,Unknown,317,174,2,28.484,N/A,Körner,Unknown,1,1,Rapid Vienna,Attack - Left Winger,,Austria,at,https://www.transfermarkt.us/alfred-korner/profil/spieler/137198,https://img.a.transfermarkt.technology/portrait/small/137198-1579792306.jpg?lm=1,N/A,14.02.1926,Wien,---
9,Ferdinand Wesely,Unknown,261,164,0,23.669,N/A,Wesely,Unknown,0,1,Rapid Vienna,Attack - Left Winger,Unknown,Austria,at,https://www.transfermarkt.us/ferdinand-wesely/profil/spieler/233198,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.05.1897,Unknown,---
10,Josef Uridil,Unknown,117,141,1,10.558,N/A,Uridil,Unknown,0,0,Rapid Vienna,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/josef-uridil/profil/spieler/260553,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.12.1895,Wien,---
