rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Oskar Rohr,Unknown,134,120,0,12.120,N/A,Rohr,Unknown,0,0,RC Strasbourg Alsace,Attack,Unknown,Germany,de,https://www.transfermarkt.us/oskar-rohr/profil/spieler/324268,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.04.1912,Mannheim,---
2,Albert Gemmrich,Unknown,232,91,0,19.919,N/A,Gemmrich,Unknown,3,1,RC Strasbourg Alsace,Attack - Left Winger,"1,75 m",France,fr,https://www.transfermarkt.us/albert-gemmrich/profil/spieler/319936,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.02.1955,Haguenau,Retired
3,Didier Monczuk,Unknown,117,85,0,9.582,N/A,Monczuk,Unknown,3,0,RC Strasbourg Alsace,Attack - Centre-Forward,,France,fr,https://www.transfermarkt.us/didier-monczuk/profil/spieler/466623,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.02.1961,Aulnay-sous-Bois,Retired
4,Gérard Hausser,Unknown,282,79,0,25.123,N/A,Hausser,Unknown,0,1,RC Strasbourg Alsace,Attack - Left Winger,,France,fr,https://www.transfermarkt.us/gerard-hausser/profil/spieler/97841,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.10.1941,Strasbourg,Retired
5,Francis Piasecki,Unknown,339,78,17,29.993,N/A,Piasecki,Unknown,12,0,RC Strasbourg Alsace,Midfield - Attacking Midfield,,France,fr,https://www.transfermarkt.us/francis-piasecki/profil/spieler/266490,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1951,Talange,---
6,Casimir Koza,Casimir Kozakiewicz,136,74,0,12.300,N/A,Koza,Unknown,0,0,RC Strasbourg Alsace,Midfield - Right Midfield,"1,82 m",France,fr,https://www.transfermarkt.us/casimir-koza/profil/spieler/749262,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.01.1935,Fouquières-lès-Lens,---
7,Ernst Stojaspal,Unknown,110,64,0,9.990,N/A,Stojaspal,Unknown,0,0,RC Strasbourg Alsace,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/ernst-stojaspal/profil/spieler/129717,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1925,Wien,---
8,Philippe Piat,Unknown,161,61,0,14.433,N/A,Piat,Unknown,0,0,RC Strasbourg Alsace,Attack,"1,75 m",France,fr,https://www.transfermarkt.us/philippe-piat/profil/spieler/682531,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.06.1942,Casablanca,Retired
9,José Farias,José Urben Farias,163,61,0,14.730,N/A,Farias,Unknown,0,0,RC Strasbourg Alsace,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/jose-farias/profil/spieler/516330,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.04.1937,San Carlos de Bolívar,---
10,Edmond Haan,Unknown,258,59,0,23.194,N/A,Haan,Unknown,0,2,RC Strasbourg Alsace,Attack - Left Winger,"1,71 m",France,fr,https://www.transfermarkt.us/edmond-haan/profil/spieler/173474,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.05.1924,Schorndorf,---
11,Frank Leboeuf,Franck Alain James Lebœuf,223,55,9,20.101,N/A,Leboeuf,Unknown,39,1,RC Strasbourg Alsace,Defender - Centre-Back,"1,83 m",France,fr,https://www.transfermarkt.us/frank-leboeuf/profil/spieler/5314,https://img.a.transfermarkt.technology/portrait/small/s_5314_123_2013_10_30_1.jpg?lm=1,N/A,22.01.1968,Marseille,Retired
12,Ludovic Ajorque,Unknown,151,51,19,11.226,N/A,Ajorque,#19,20,1,RC Strasbourg Alsace,Attack - Centre-Forward,"1,96 m",France,fr,https://www.transfermarkt.us/ludovic-ajorque/profil/spieler/283994,https://img.a.transfermarkt.technology/portrait/small/283994-1692000251.jpg?lm=1,N/A,25.02.1994,Saint-Joseph,Stade Brestois 29
13,Peter Reichert,Unknown,112,50,5,9.774,N/A,Reichert,Unknown,1,0,RC Strasbourg Alsace,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/peter-reichert/profil/spieler/81742,https://img.a.transfermarkt.technology/portrait/small/81742-1460647389.jpg?lm=1,N/A,04.08.1961,Bretten,Retired
14,Fritz Keller,Frédéric Keller,122,49,0,11.025,N/A,Keller,Unknown,0,1,RC Strasbourg Alsace,Attack - Right Winger,,France,fr,https://www.transfermarkt.us/fritz-keller/profil/spieler/237987,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1913,Straßburg,---
15,David Zitelli,Unknown,157,48,3,11.890,N/A,Zitelli,Unknown,20,0,RC Strasbourg Alsace,Attack - Centre-Forward,"1,82 m",France,fr,https://www.transfermarkt.us/david-zitelli/profil/spieler/79572,https://img.a.transfermarkt.technology/portrait/small/79572-1641483657.png?lm=1,N/A,30.10.1968,Longwy,Retired
16,Danijel Ljuboja,Данијел Љубоја,138,46,1,10.378,N/A,Ljuboja,Unknown,18,0,RC Strasbourg Alsace,Attack - Centre-Forward,,Serbia,rs,https://www.transfermarkt.us/danijel-ljuboja/profil/spieler/5630,https://img.a.transfermarkt.technology/portrait/small/5630-1720053859.jpg?lm=1,N/A,04.09.1978,Vinkovci,Retired
17,Marc Molitor,Unknown,97,46,2,8.605,N/A,Molitor,Unknown,0,0,RC Strasbourg Alsace,Attack - Second Striker,"1,74 m",France,fr,https://www.transfermarkt.us/marc-molitor/profil/spieler/298412,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.09.1948,Straßburg,Retired
