rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Raúl Tamudo,Raúl Tamudo Montero,385,140,19,28.525,N/A,Tamudo,Unknown,72,1,RCD Espanyol Barcelona,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/raul-tamudo/profil/spieler/7899,https://img.a.transfermarkt.technology/portrait/small/s_7899_367_2013_04_03_1.jpg?lm=1,N/A,19.10.1977,Santa Coloma de Gramanet,Retired
2,Rafa Marañón,Rafael Carlos Marañón González,274,117,1,23.489,N/A,Marañón,Unknown,8,0,RCD Espanyol Barcelona,Attack - Centre-Forward,"1,74 m",Spain,es,https://www.transfermarkt.us/rafa-maranon/profil/spieler/135100,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.07.1948,Olite,Retired
3,Julián Arcas,Julián Arcas Sánchez,214,97,2,19.218,N/A,Arcas,Unknown,0,1,RCD Espanyol Barcelona,Attack,"1,73 m",Spain,es,https://www.transfermarkt.us/julian-arcas/profil/spieler/313953,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.01.1926,Vélez-Blanco,---
4,Ángel Calvo,Ángel Calvo Olascoaga,129,73,0,11.670,N/A,Calvo,Unknown,0,0,RCD Espanyol Barcelona,Attack,Unknown,Spain,es,https://www.transfermarkt.us/angel-calvo/profil/spieler/313974,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.03.1919,Barakaldo,---
5,Javier Marcet,Francisco Javier Marcet Mundo,160,65,3,14.430,N/A,Marcet,Unknown,0,0,RCD Espanyol Barcelona,Attack - Centre-Forward,"1,77 m",Spain,es,https://www.transfermarkt.us/javier-marcet/profil/spieler/314045,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.11.1928,Terrassa,---
6,Luis García,Luis García Fernández,261,62,25,20.554,N/A,García,Unknown,59,1,RCD Espanyol Barcelona,Midfield - Central Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/luis-garcia/profil/spieler/8006,https://img.a.transfermarkt.technology/portrait/small/8006-1487773771.jpg?lm=1,N/A,06.02.1981,Oviedo,Retired
7,Gabriel Jorge,Gabriel Jorge Sosa,180,60,0,16.220,N/A,Jorge,Unknown,0,0,RCD Espanyol Barcelona,Attack,Unknown,Spain,es,https://www.transfermarkt.us/gabriel-jorge/profil/spieler/514360,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1916,Santa Cruz de Tenerife,---
8,Michel Pineda,Michel Pineda Ozaeta,199,58,0,14.794,N/A,Pineda,Unknown,20,0,RCD Espanyol Barcelona,Attack - Centre-Forward,"1,82 m",France,fr,https://www.transfermarkt.us/michel-pineda/profil/spieler/255176,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.06.1964,Gien,Retired
9,Javi Puado,Javier Puado Díaz,203,55,17,13.893,N/A,Puado,#7,23,0,RCD Espanyol Barcelona,Attack - Left Winger,"1,77 m",Spain,es,https://www.transfermarkt.us/javi-puado/profil/spieler/408471,https://img.a.transfermarkt.technology/portrait/small/408471-1698158226.jpg?lm=1,N/A,25.05.1998,Barcelona,RCD Espanyol Barcelona
10,Rosendo Hernández,Rosendo Hernández González,131,54,1,11.835,N/A,Hernández,Unknown,0,0,RCD Espanyol Barcelona,Attack,Unknown,Spain,es,https://www.transfermarkt.us/rosendo-hernandez/profil/spieler/248800,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.03.1922,Santa Cruz de Tenerife,---
