rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Samuel Eto'o,Samuel Eto'o Fils,162,70,19,13.268,N/A,Eto'o,Unknown,30,5,RCD Mallorca,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/samuel-etoo/profil/spieler/4257,https://img.a.transfermarkt.technology/portrait/small/4257-1683640611.jpg?lm=1,N/A,10.03.1981,Douala,Retired
2,Abdón Prats,Abdón Prats Bastidas,263,55,11,10.592,N/A,Prats,#9,27,0,RCD Mallorca,Attack - Centre-Forward,"1,81 m",Spain,es,https://www.transfermarkt.us/abdon-prats/profil/spieler/177452,https://img.a.transfermarkt.technology/portrait/small/177452-1696950061.jpg?lm=1,N/A,07.12.1992,Artà,RCD Mallorca
3,Juan Arango,Juan Fernando Arango Sáenz,195,49,19,15.864,N/A,Arango,Unknown,19,0,RCD Mallorca,Midfield - Left Midfield,,Venezuela,ve,https://www.transfermarkt.us/juan-arango/profil/spieler/26063,https://img.a.transfermarkt.technology/portrait/small/26063-1588074868.jpg?lm=1,N/A,16.05.1980,Maracay,Retired
4,Víctor Casadesús,Víctor Casadesús Castaño,236,46,23,14.693,N/A,Casadesús,Unknown,34,0,RCD Mallorca,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/victor-casadesus/profil/spieler/35540,https://img.a.transfermarkt.technology/portrait/small/35540-1447314965.jpg?lm=1,N/A,28.02.1985,Algaida,Without Club
5,Lago Júnior,Junior Waka Lible Lago,206,36,13,14.557,N/A,Júnior,#7,24,1,RCD Mallorca,Attack - Left Winger,"1,80 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/lago-junior/profil/spieler/100722,https://img.a.transfermarkt.technology/portrait/small/100722-1583332916.jpg?lm=1,N/A,31.12.1990,Yamoussoukro,Racing Santander
6,Vedat Muriqi,Unknown,112,35,11,8.978,N/A,Muriqi,#7,20,3,RCD Mallorca,Attack - Centre-Forward,"1,94 m",Kosovo,unknown,https://www.transfermarkt.us/vedat-muriqi/profil/spieler/256267,https://img.a.transfermarkt.technology/portrait/small/256267-1627914833.jpg?lm=1,N/A,24.04.1994,Prizren,RCD Mallorca
7,Dani Güiza,Daniel González Güiza,50,32,8,3.665,N/A,Güiza,#19,5,0,RCD Mallorca,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/dani-guiza/profil/spieler/8186,https://img.a.transfermarkt.technology/portrait/small/8186-1488373654.jpg?lm=1,N/A,17.08.1980,Jerez de la Frontera,UD Roteña
8,Dani Rodríguez,Daniel José Rodríguez Vázquez,272,32,38,19.793,N/A,Rodríguez,#14,53,0,RCD Mallorca,Midfield - Attacking Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/dani-rodriguez/profil/spieler/139435,https://img.a.transfermarkt.technology/portrait/small/139435-1583332711.jpg?lm=1,N/A,06.06.1988,Betanzos,RCD Mallorca
9,Ariel Ibagaza,Ariel Miguel Santiago Ibagaza,245,30,33,17.598,N/A,Ibagaza,Unknown,46,1,RCD Mallorca,Midfield - Attacking Midfield,"1,66 m",Argentina,ar,https://www.transfermarkt.us/ariel-ibagaza/profil/spieler/7682,https://img.a.transfermarkt.technology/portrait/small/s_7682_683_2012_1.jpg?lm=1,N/A,27.10.1976,Buenos Aires,Retired
10,Miguel Ángel Nadal,Miguel Ángel Nadal Homar,305,29,2,25.743,N/A,Nadal,Unknown,31,2,RCD Mallorca,Defender - Centre-Back,"1,87 m",Spain,es,https://www.transfermarkt.us/miguel-angel-nadal/profil/spieler/7676,https://img.a.transfermarkt.technology/portrait/small/s_7676_123_2014_01_03_1.jpg?lm=1,N/A,28.07.1966,Manacor,Retired
11,Goran Milojevic,Гopaн Mилojeвић,69,28,0,5.941,N/A,Milojevic,Unknown,8,0,RCD Mallorca,Midfield,Unknown,Serbia,rs,https://www.transfermarkt.us/goran-milojevic/profil/spieler/217596,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.12.1964,Arandjelovac,Retired
